,L1A_abduct,L1A_flex,L1A_rot,L1B_flex,L1B_rot,L1C_flex,L1C_rot,L1D_flex,L2A_abduct,L2A_flex,L2A_rot,L2B_flex,L2B_rot,L2C_flex,L2C_rot,L2D_flex,L3A_abduct,L3A_flex,L3A_rot,L3B_flex,L3B_rot,L3C_flex,L3C_rot,L3D_flex,R1A_abduct,R1A_flex,R1A_rot,R1B_flex,R1B_rot,R1C_flex,R1C_rot,R1D_flex,R2A_abduct,R2A_flex,R2A_rot,R2B_flex,R2B_rot,R2C_flex,R2C_rot,R2D_flex,R3A_abduct,R3A_flex,R3A_rot,R3B_flex,R3B_rot,R3C_flex,R3C_rot,R3D_flex
x_vel,0.18253753392891436,0.09847896810613677,0.12624127506518235,-0.4076412005521239,0.44412745476750004,-0.32051223986196387,-0.16134003623802307,0.07269822849166674,0.1272036660498928,-0.22323757287270268,0.17050563048551617,-0.2393061201682427,-0.09106228418175742,0.11698121429320166,-0.0751757664613783,0.31476375215516506,-0.1351837838292216,-0.2719519550707441,-0.2169038462408218,-0.14391015018419986,-0.22059522253593167,-0.1556384109622213,-0.23350573026809474,0.3169919877723058,0.1280394194502604,0.1149686114156932,-0.22912884093390506,-0.3799963642088497,-0.42941455153880853,-0.29233089668177603,0.05725699122691865,0.14097113744491135,0.17427687612014484,0.18454438850769517,-0.24102772976036688,-0.23338519288835569,0.11495953318706428,0.025078876322138358,0.07780508307466806,0.34916139730657814,0.2813998412262824,0.023770567674304292,0.11086001023409756,-0.1066906838029605,0.24942799936181712,-0.1353500544207514,0.24318648512283522,0.278833021822056
y_vel,-0.13054828017524508,-0.013500874022491107,0.006531341574613106,0.15055672289777328,-0.17445098080217275,0.15686371438893112,0.12328664605005586,0.02073515388659579,-0.062353893918935616,-0.022444008533230732,0.11056650604110958,0.02442613317739987,-0.0796041892149021,-0.09623211926153118,0.14276716359484953,-0.09489639730262282,0.07516935803975033,0.17040753612685325,0.21705111422209225,-0.00784877502505346,0.01063642522874387,0.06415001817069622,0.19794750087681837,-0.10017718428616482,-0.10857756333742757,-0.04246993187113151,0.1494486902539127,0.11998259858676617,0.06963334652821153,0.10162316810005896,0.046818891386492555,-0.014204368931372606,-0.1580919811037546,0.00048234460520718293,0.15686956778128186,0.004185681090734449,-0.16874863486847066,-0.03210418623341016,0.0379603641202421,-0.1311000992828157,-0.13509358442250594,0.025146697366191666,0.08088014247475539,-0.05013442208617703,-0.09345790625996939,0.01794359012439343,-0.017140687452004474,-0.10706179996923039
z_vel,0.25813060139412985,-0.16347582382319858,0.1256012944234913,-0.14556939138964306,-0.11506467432529545,-0.12503396154409083,0.03931270104121839,-0.027396457355606214,0.1291104169333943,-0.42259597525359704,0.3664594296427078,0.20058166757843923,-0.5365062878367102,0.236125754871163,0.28171180705506393,0.2772203996310216,0.2875267042816512,-0.13011323877799966,0.43593965356555914,0.11496159712300656,-0.2612355286039418,0.05086245090387251,0.25368852406575865,0.004299101103669787,0.060007327730192815,-0.00644230965419382,0.07782257500672403,-0.09093172036934472,-0.24338638500628834,0.03221923987251726,0.06366257678859026,0.10857284030563955,-0.051054425658230984,0.4397033334982026,0.13069685912228945,-0.40514421094490183,-0.44101106808507473,-0.3295675480701578,0.18109972191571738,-0.17268086041213893,-0.05022279615745342,0.45873431632218054,0.5157444081030645,-0.3215710370851449,-0.024755402640186188,-0.14026730182936187,0.298268323852522,0.049452177281789036
x_vel_lag_plus_1,0.17710773727275828,0.10623776081772861,0.12336568459031563,-0.4006244263707193,0.4418061177774195,-0.3121029484345556,-0.16137339054704825,0.07791929250646719,0.12646215492860857,-0.2222369703636943,0.16871617309105938,-0.24048283528266318,-0.08982940431162371,0.11621510042238165,-0.0763792358270813,0.31383497623692697,-0.13404950773503702,-0.2722664321363103,-0.21754678739585875,-0.1465053651615748,-0.22175731129010953,-0.16180112177039607,-0.23197985123759154,0.31206119097639773,0.1238377850858296,0.1202202354751061,-0.22809129840832956,-0.37473193754846484,-0.4265436493876162,-0.2857509774366072,0.05665148655203053,0.1451002321073514,0.17350898287973915,0.18716340322195152,-0.23744917686763145,-0.23542529066307782,0.11135390747925539,0.02490704829058703,0.08007696310819916,0.34814615144479993,0.2818589000045027,0.021508429362321824,0.10846073101559328,-0.10694248909924242,0.25101728587678224,-0.13891583974508478,0.24157776472648035,0.27520128799377885
y_vel_lag_plus_1,-0.1294054731724317,-0.014060862677920952,0.009059909274732972,0.1470994331533277,-0.1721078827279771,0.15788211673434124,0.12643011898513842,0.022591468216411795,-0.06115995683736121,-0.022164327626465505,0.09733840812497163,0.032503624916774394,-0.07307824835835694,-0.07954359593483107,0.13946335668497883,-0.08685862398821982,0.07830343077826533,0.169900080033097,0.2170275941413431,-0.00023772566533804108,0.010153880388553988,0.07410954616903703,0.19618666471754023,-0.0977068965168861,-0.10754143980643581,-0.041974287319749996,0.15612240615601833,0.12032078046000139,0.0684680049749152,0.09913264266620257,0.05228232614428762,-0.016650842628841117,-0.15803219214868067,-0.0027621857001416364,0.14093817769610462,-0.002299432100617433,-0.15993088860228938,-0.04756003044740356,0.03511657901213138,-0.13772726339688762,-0.1327274876959552,0.02492897780700414,0.08000795814359282,-0.056746656460706146,-0.09209225797204025,0.009460866984398249,-0.021244924851649742,-0.10922892488651577
z_vel_lag_plus_1,0.25773404225002433,-0.16419096264672028,0.12599943094402197,-0.1472373547936256,-0.11583136849988318,-0.1288593423302985,0.03443018437068071,-0.02876760083827598,0.12624033306407836,-0.4185076278649611,0.3611833196621318,0.1985742295115053,-0.5311861431609056,0.23479453065571654,0.27398371646868946,0.2782302110094852,0.2842747165281884,-0.12849479323904595,0.43030794120135896,0.11227221117568914,-0.2580853452063014,0.052114851065523896,0.24559017959665425,0.006752967082065394,0.06003046063883831,-0.006222472934591554,0.0763002649640796,-0.08789474083484335,-0.24149974535445928,0.03626213601083199,0.05751883008858763,0.10838264961178737,-0.0496726885832565,0.43540824527675837,0.12663948597491737,-0.40111920224782727,-0.437024243228531,-0.32765061126180495,0.176835544029568,-0.17283125784265468,-0.048969349235626125,0.45346636711706667,0.5081801232815119,-0.3166254860424609,-0.023897904810274623,-0.1408371036233693,0.2920014666442144,0.04704709846958152
x_vel_lag_minus_1,0.18857289565664187,0.08950866098108506,0.12948009440420585,-0.4150102220559952,0.44590472439450174,-0.32854317724436877,-0.16087760702635168,0.06629573428199395,0.12790524031363773,-0.22432935109180077,0.17273905274534254,-0.23788705714094344,-0.09287050205703487,0.11681693750174726,-0.07358215968555369,0.3137268794043684,-0.13531971490384592,-0.2719587525306917,-0.21612527127463102,-0.1406262054517727,-0.21966616556599702,-0.14940523279526152,-0.23356313407212248,0.3211066985207208,0.1332820549181833,0.10787231062102347,-0.23021876214359188,-0.3860943383917767,-0.4319158098493501,-0.29922453953810424,0.05742483510459988,0.13516722168539314,0.1750379317375048,0.18178373640164863,-0.24500505585098334,-0.23097602813170193,0.11890524224630944,0.02502572665528079,0.07494147774166084,0.34851294573038455,0.28130474930084126,0.024973316270940123,0.11329082406199213,-0.10570311902444772,0.24786801233616287,-0.13182288860870994,0.2437941594283327,0.28135630286894003
y_vel_lag_minus_1,-0.1294719328061681,-0.015935461528737035,0.005341210204828315,0.15131764781738247,-0.17568826721481393,0.15206329546301992,0.1208387587332066,0.016597665351195924,-0.06333074560421871,-0.022780862120882782,0.1234453317632019,0.015367622265677307,-0.08495385549471107,-0.11187916334764557,0.14676101966988253,-0.10270631917426443,0.07226996858037901,0.17100283093221424,0.21613177064493672,-0.016102503535197234,0.010859944093615096,0.05325318066116968,0.1993704391474555,-0.10415959244841737,-0.11149708909220071,-0.039876894003180154,0.14389417892883857,0.12210894316037758,0.07179310870177363,0.10697618436199927,0.04143357504450699,-0.009801908448533193,-0.15788573551534635,0.0032346683620963434,0.17307324750908473,0.011783554005913048,-0.17650797827635295,-0.017115667536821245,0.04115429728836369,-0.12358077195679498,-0.13657505370140025,0.0253507313090874,0.08194546368715971,-0.04273511009919955,-0.09471585200100865,0.02780521624064625,-0.012433822055840196,-0.1020118042366814
z_vel_lag_minus_1,0.25844180631015123,-0.16296032096953184,0.1248300067825841,-0.14393586290787527,-0.11414080193505757,-0.12122171301350405,0.04397710063598208,-0.02643621393723541,0.13168984057574806,-0.4259255742394649,0.37099594580157563,0.2024989458493113,-0.5408129021196614,0.2374668782235797,0.28877805855874156,0.27597776826535264,0.28992615627721785,-0.13165661346272753,0.4411201758712892,0.11717451914047215,-0.2641562085974855,0.04960392964983738,0.2616594308965251,0.0021607754586813626,0.05986914961943749,-0.006641061566714311,0.07912666326473672,-0.09383921262760878,-0.24485177535473457,0.02842681966086556,0.06963742591629422,0.1089196416933734,-0.05218897800922025,0.4434359614666217,0.13440485268267768,-0.40865639758430405,-0.4440912389393484,-0.33119027467768963,0.18521690156499723,-0.17220850577106137,-0.05125160286770488,0.4633940777270997,0.5223892936625354,-0.32576801763163055,-0.025581063523036098,-0.13944301839083698,0.30424111932147563,0.05197944221339023
x_vel_lag_plus_2,0.17205408573584682,0.11334400159312362,0.1210375408031054,-0.39447845586508723,0.44024313137238924,-0.3042697686932005,-0.1613175544971856,0.08235549813544885,0.1258805133149046,-0.22127160678944152,0.1672031082664787,-0.2416153837126071,-0.08875239393101762,0.11535870757376884,-0.07753989838898344,0.3127370928758847,-0.13283489591555353,-0.2726015087711064,-0.21757487724662575,-0.14837806715920632,-0.22227909375183363,-0.16710595159606406,-0.2302935003058238,0.30768996737150117,0.12010560558165305,0.12476287629522892,-0.2270834543081803,-0.3703366889089787,-0.42419605028727475,-0.2798621470554417,0.055830513643898225,0.14844188641518838,0.17276986322526766,0.1895462071589038,-0.23431457224515745,-0.23738442459491219,0.1079388102525894,0.024873748744936693,0.08203489419758384,0.347005819425681,0.2820786749726217,0.019401548566487927,0.1060615549712012,-0.10684732740915737,0.251794399414293,-0.1421877728336089,0.239986461613442,0.27186377912183474
