,L1A_abduct,L1A_flex,L1A_rot,L1B_flex,L1B_rot,L1C_flex,L1C_rot,L1D_flex,L2A_abduct,L2A_flex,L2A_rot,L2B_flex,L2B_rot,L2C_flex,L2C_rot,L2D_flex,L3A_abduct,L3A_flex,L3A_rot,L3B_flex,L3B_rot,L3C_flex,L3C_rot,L3D_flex,R1A_abduct,R1A_flex,R1A_rot,R1B_flex,R1B_rot,R1C_flex,R1C_rot,R1D_flex,R2A_abduct,R2A_flex,R2A_rot,R2B_flex,R2B_rot,R2C_flex,R2C_rot,R2D_flex,R3A_abduct,R3A_flex,R3A_rot,R3B_flex,R3B_rot,R3C_flex,R3C_rot,R3D_flex
R-F-TaG_x,-0.021589639055315645,0.05674218613777819,-0.018202819129508004,0.13247121409885632,-0.1850987961535041,0.07195419151400864,-0.014597074568820166,-0.0013839994629405862,0.04032523934638475,0.013256143774258515,-0.08210505512029417,0.14629636605519475,-0.05100312841435245,0.06360194501365135,0.03029693564778747,-0.010521467642493853,-0.04516545867441463,0.04172084821487028,-0.10731004727041088,0.12080440821147846,0.14583967897273784,0.05048044073864721,-0.0408301263485719,0.007079600709152443,0.3805759586881898,-0.4919404033652791,-0.6915091906585022,-0.13480485707207526,0.363712910561673,-0.23598832518450777,-0.5925614481498639,-0.3309813706928655,-0.026318672062175662,0.014523052147831091,0.03212409548922147,0.05256916429415556,-0.051583619545444374,0.1407664447614004,-0.048111027018443484,0.0484834765127926,-0.05771748216346144,0.1401384958739979,0.08043651454258677,-0.14799937677346953,0.05060136697783591,-0.08527907541617394,0.034387171894364806,-0.03494125636286804
R-F-TaG_y,0.04953690585041221,-0.03580804287714918,-0.06576603079367915,-0.05414754974713495,0.09727547972780519,-0.017676112895320752,-0.0578621400764909,0.0651249987803739,0.04243237820877039,-0.05578181554596484,-0.014660524211386418,-0.0663071777894111,0.04737887300196994,-0.042212071304342604,-0.06588555921114046,-0.0032570199112507106,0.010190596811122157,-0.08666022665554145,0.009135000194277584,-0.015838868257459914,-0.08011639539813845,-0.07600752789927485,0.06666370628803311,-0.059376359039231545,-0.6498122681278572,0.88970441298435,0.8468156318132359,0.3890317433131491,-0.30359205076258844,0.6814334569560377,0.5584424628872381,0.6582217744948343,0.04664377071366585,-0.03672941972792491,-0.09968483940795746,0.04056790783112807,0.12169166699171008,-0.0633928610268569,-0.05264526489377158,0.027178313675445917,0.015188953485150902,-0.10655260255624084,-0.22539228812478632,0.19694952323436524,-0.11755616039102162,0.14727828767524015,-0.109174501311537,0.009787690382321442
R-F-TaG_z,0.3812551148008465,-0.17348407800433718,0.06397049761377388,-0.23697615937779246,0.13210837979091597,-0.20597897679545632,-0.12749573858069618,-0.14915015428806266,0.2193113679996421,-0.12795466753194853,0.14221807420647856,-0.0551430820856436,-0.2035874084177123,-0.06581388328410762,0.05061439622327309,-0.10795668871787358,-0.11382568266971944,-0.12253412841715548,-0.1518482200435021,0.23116941566232688,-0.006219785039072745,0.05524088849297342,-0.08504793087462344,0.08509663131743761,0.6049012423735664,-0.5092115516926526,-0.5093655515347284,-0.7401888194584019,-0.3834421447472239,-0.5966015737325299,-0.2921406571724487,-0.39861501012797995,0.32332532010619053,0.07123458879077955,0.04476719573539104,-0.17903477851720706,-0.1396260229688386,0.028588405013295085,0.14746680629217465,0.10068450793039824,-0.08762428994581872,0.1684426189157232,0.10442932508733847,-0.22988279741786571,0.18996832690264304,-0.2085818179373229,0.09832205190756597,-0.017718805936063297
R-M-TaG_x,0.06528821483515719,-0.07804971651605254,-0.06193246135685425,-0.05175445898371677,0.028911314655879233,-0.1378593014629358,-0.12655425479238444,-0.09285414981279337,0.08686214837288365,-0.07686600466853767,-0.027803055078119157,0.02736310312224082,-0.05923795334665726,-0.045416101518888134,-0.0034304919847152437,-0.03857584559460053,0.01675236924963073,0.025116744688937126,-0.17763862995180144,0.27880174343173897,0.23546192892093526,0.2273290158072908,-0.17910110380142763,0.20299988903655475,0.04068437618702116,-0.0657528177635197,-0.13144308883820918,-0.05147098883737866,0.04884349731005854,-0.027381137208985554,-0.07563240220877682,-0.0024051212560580867,-0.10489540962890215,0.2185903760840902,0.589249766201662,-0.21687385866808906,-0.6945841590007877,0.4061579105271652,0.466463799858725,0.36298153764653707,-0.12142053602361505,0.14252322524277067,-0.07157933683846052,-0.006153024895895001,0.007003024082562311,-0.01503853790564658,-0.03788923734224972,-0.08510388736354241
R-M-TaG_y,0.14440641819137212,-0.1307705952991134,-0.007391174049136672,-0.1554608179343417,0.10857931113755385,-0.18813179649247014,-0.11879343698800027,-0.12539941119275322,0.05814270918321939,-0.03460697088678761,0.05334105064525611,-0.023354161310285653,-0.0859557671452461,-0.05727452208074997,0.004432588507349393,-0.052196475454609655,0.06334582537403789,-0.015486133083587861,-0.03211760411454172,0.13697556324401533,0.04573778043761016,0.14220175553177117,-0.15812749655924527,0.1646597249555349,0.15460721300121022,-0.1640522723424419,-0.1825633445541853,-0.15438627932125507,0.04945934667562873,-0.13358867178499653,-0.1023067984740818,-0.05032018424890435,-0.06005710776431785,0.40721602961034903,0.6323418537766541,-0.6541989214215919,-0.877279990787541,-0.06602561175662788,0.7617468463727649,-0.006538418222326084,-0.057818234195020225,0.029723654945484245,-0.06734052021081029,-0.008048185534281414,0.11241298381225817,-0.09370128814960157,-0.04361842108454573,-0.03668192076514568
R-M-TaG_z,-0.07757347532659596,0.007821108934700574,-0.0402052770003611,0.06194934368974074,-0.06771643872972281,0.05528999795417759,-0.023165888968042544,0.06486983755488744,-0.08829559858731266,0.06265163549986849,-0.04327281543678101,0.12881954123151096,-0.044623170640713056,0.02370611623052458,0.07651755711574412,-0.02979480280914894,-0.005177498481901523,-0.12462766086647264,0.13401598794669803,0.011596157050880173,-0.109355933615938,-0.03107349701766464,0.13809210348677187,-0.05403620759571814,-0.08948337946746078,-0.03378468447893223,-0.09054643221760154,-0.02012635233724788,-0.01757759310877911,-0.010359953151368301,-0.11485321109995882,0.00903931907433886,-0.3003731973496733,0.1394146560360882,-0.5541569923134947,-0.3490309605121909,0.17170143222132872,-0.4451523923977274,-0.27787707975087644,-0.45748477544685273,0.04050804332224306,0.12131854980333433,0.06071001305890753,-0.21302826507472253,0.06495975435078312,-0.06658632596236876,0.012306135455113066,-0.04156529437800256
R-H-TaG_x,0.096705654561543,-0.10414645739193924,0.12595443894102773,-0.07095021117543407,-0.012619357385921943,-0.054256782630000666,0.050599382576054404,-0.035572799457029215,0.08291985519134255,-0.11465435089393408,0.09147154392003694,-0.007065047940213164,-0.11309234220208184,-0.046595344924786904,0.0712799591262757,-0.03129892886316209,-0.07422571783048335,0.042711164544408015,0.05454651792378083,0.25610511007222964,0.11895615214312426,0.20063792414393095,-0.010265310293839758,0.16832495294228875,0.22269971572300015,-0.2560051971949277,-0.19573431602094282,-0.23686473021837023,-0.09927994337920136,-0.24904683463401106,-0.08039211182791128,-0.22372252884649355,-0.02014528207638476,0.09916380625620443,-0.1231003162690201,0.030983774033400927,0.030073854291970264,0.1152587367721371,-0.10054167110140978,0.1067444397210798,-0.08966260592271011,0.6623161615147858,0.8073005461801954,-0.6558944844497289,0.16175198726232998,-0.20185127555719867,0.7502344276922713,-0.14944904646179571
R-H-TaG_y,0.34154826504579117,-0.14904860833790803,0.13248706195090412,-0.1740532422177636,0.05387233801142085,-0.07830001846311727,0.012219547005089933,-0.04413696270389087,0.2684438413395596,-0.20903801301588953,0.12751757044644116,-0.044667479741705395,-0.20381478769505174,-0.05265237391631025,0.06177614847430095,-0.11798433700247253,-0.12382525221537265,-0.06954025762635807,-0.04336179109426989,0.24104968005884445,-0.014475203607376903,0.060804828593230095,0.0022209470747918494,0.0481132165103099,0.36738673511411135,-0.19094847838775367,-0.1759836774040606,-0.22415896579995995,-0.022493244610402505,-0.19645809562110172,-0.08303082165005095,-0.17401801609266035,0.3823039016520326,-0.032619102903861705,-0.16601240180311452,0.013534968631083135,0.15415470942373738,0.01501889586021455,-0.06781067906808977,-0.014878297834177913,-0.11026059211161149,0.3337408955070873,0.41075100388212143,-0.5200168078498939,0.23735226016117258,-0.5501178478168629,0.27353173470489933,-0.10584271184018314
R-H-TaG_z,-0.36863820371501504,0.08871734775254964,-0.0016423016177293534,0.17780295977767543,-0.1520052024581736,0.08590592319015032,0.0996367280772833,0.06988056164603534,-0.26379685712184225,0.12735381242943422,0.03291866129039712,0.07551038674402206,0.020369819324659814,-0.00520551568397097,0.14967796123485944,-0.017600639280883606,0.1297516117801411,0.07531675091640627,0.2423957225877499,-0.20109473308229064,-0.13422367238658506,-0.03261223054570709,0.15504404639163014,-0.0388567299669541,-0.24493202160421784,-0.025151155510445822,-0.0029595672098044427,0.13131495566399465,0.031506241080280266,0.07330048074298491,-0.05207487887443574,0.06805708348457891,-0.5142506551190684,0.1595236221417548,-0.0834322916691613,0.026895502511264564,0.014824398918368903,-0.06223377860559422,-0.09955032042728594,-0.06927113838077503,0.23938863664066778,-0.06490150850602522,0.2668327487196822,-0.4014362808734124,0.3307268474615278,-0.2358345905236949,0.11827806615543558,-0.3677832944189397
L-F-TaG_x,-0.013918736867557626,-0.27136285551119393,-0.6367502376415735,-0.034122411233530554,0.04561409565752586,-0.43587864185317876,-0.7557657360853136,-0.3564648079927915,-0.05038997469548417,0.1407537167921657,-0.22564558360149412,0.2107624369956139,0.07383498934648308,0.16383093258619422,-0.027409400491269817,0.10930323318456851,0.05009394445809425,0.0868242149096883,-0.14354491719805393,0.05873922011517602,0.20132939374880968,0.04635477765927625,-0.047141930685116115,-0.02071612731450285,-0.20134372573582374,0.12121106192709188,-0.020043264671433244,0.1880493248398372,0.1234952156742532,0.16592701205374105,-0.09456200955161304,0.08535572039001846,-0.14450342305973574,0.0618206592180081,0.11278072905454874,0.11779952649337053,-0.0667909149356914,0.14370292043146277,-0.02872858017037588,0.08198613166209866,0.00410328084492733,0.0024322324739452605,-0.15531941740386818,0.10480868895424549,-0.10518516107828932,0.06953163181048064,-0.13999952558478,-0.043550641943779056
