Feature,Joint Angle,Correlation
R-F-TaG_y,R1A_flex,0.88970441298435
R-M-TaG_y,R2B_rot,-0.877279990787541
R-F-TaG_y,R1A_rot,0.8468156318132359
L-M-TaG_y,L2B_rot,0.8322213828013223
L-F-TaG_z,L1B_rot,0.8173278560444304
L-M-TaG_y,L2C_rot,-0.8161319913532276
L-F-TaG_z,L1B_flex,-0.8158729073071064
R-H-TaG_x,R3A_rot,0.8073005461801954
L-H-TaG_z,L3B_flex,-0.7979007405857254
L-H-TaG_y,L3A_rot,-0.7938754837894564
L-H-TaG_x,L3C_rot,0.7927510348510965
L-M-TaG_z,L2B_flex,-0.7809353442178373
R-M-TaG_y,R2C_rot,0.7617468463727649
L-F-TaG_x,L1C_rot,-0.7557657360853136
R-H-TaG_x,R3C_rot,0.7502344276922713
R-F-TaG_z,R1B_flex,-0.7401888194584019
L-M-TaG_y,L2A_rot,-0.7252908145966674
L-F-TaG_y,L1C_flex,0.724357403841086
R-M-TaG_x,R2B_rot,-0.6945841590007877
R-F-TaG_x,R1A_rot,-0.6915091906585022
L-H-TaG_y,L3B_rot,0.6908809247453473
L-H-TaG_x,L3B_rot,-0.6865611019921027
R-F-TaG_y,R1C_flex,0.6814334569560377
L-H-TaG_y,L3C_rot,-0.6628748956750979
R-H-TaG_x,R3A_flex,0.6623161615147858
R-F-TaG_y,R1D_flex,0.6582217744948343
R-H-TaG_x,R3B_flex,-0.6558944844497289
L-M-TaG_x,L2C_rot,-0.655877899844305
R-M-TaG_y,R2B_flex,-0.6541989214215919
L-F-TaG_z,L1A_abduct,0.6524373952138189
R-F-TaG_y,R1A_abduct,-0.6498122681278572
L-F-TaG_x,L1A_rot,-0.6367502376415735
R-M-TaG_y,R2A_rot,0.6323418537766541
L-M-TaG_x,L2C_flex,-0.6312461329148493
L-F-TaG_y,L1D_flex,0.6272497812340051
L-M-TaG_z,L2C_flex,-0.6152173277155447
L-H-TaG_y,L3A_flex,0.6110776207992369
R-F-TaG_z,R1A_abduct,0.6049012423735664
L-F-TaG_y,L1A_flex,0.6045509543493539
R-F-TaG_z,R1C_flex,-0.5966015737325299
L-F-TaG_z,L1A_flex,-0.5956709696835463
R-F-TaG_x,R1C_rot,-0.5925614481498639
R-M-TaG_x,R2A_rot,0.589249766201662
L-M-TaG_x,L2B_rot,0.5843262586937358
L-H-TaG_z,L3B_rot,-0.5831688554333851
L-M-TaG_z,L2A_rot,0.5655305435138627
