Feature,Joint Angle,Correlation
L-F-TaG_z,L1B_flex,-0.8384330989274468
L-M-TaG_y,L2B_rot,0.8264524416071394
R-F-TaG_z,R1B_rot,-0.8206096044133908
R-F-TaG_z,R1B_flex,-0.8165082746391115
L-F-TaG_y,L1A_flex,0.8148209349726984
L-H-TaG_x,L3A_rot,0.7915796375145973
R-H-TaG_x,R3B_rot,-0.7900669225374356
L-F-TaG_y,L1A_rot,-0.7734963949162678
R-M-TaG_y,R2B_rot,-0.7645477297787779
L-M-TaG_y,L2C_rot,-0.7353291072470953
R-F-TaG_y,R1A_flex,0.6970211495576452
R-H-TaG_x,R3A_rot,0.6822761745007281
L-M-TaG_z,L2B_flex,-0.6804806909338522
L-H-TaG_x,L3C_rot,0.6754492947136604
L-H-TaG_x,L3B_flex,0.6733143361496116
R-M-TaG_y,R2C_rot,0.6710617565885019
R-F-TaG_y,R1C_flex,0.6687324999465372
L-H-TaG_z,L3B_flex,-0.6657808367662613
R-H-TaG_y,R3A_rot,0.6621239245126386
L-F-TaG_z,L1B_rot,0.6526442711100284
R-H-TaG_x,R3C_flex,0.6521105353186597
R-H-TaG_x,R3C_rot,0.6505928300049272
L-M-TaG_x,L2B_rot,-0.6477997778195694
R-F-TaG_z,R1A_abduct,0.6414706984073624
L-M-TaG_y,L2A_rot,-0.6380046103322973
R-M-TaG_z,R2B_flex,-0.6369424059135214
R-M-TaG_z,R2A_rot,-0.6362926245226294
L-F-TaG_z,L1A_abduct,0.6266147726693722
R-M-TaG_x,R2C_flex,0.62369513253697
R-H-TaG_z,L2A_abduct,-0.6231448977426399
R-H-TaG_y,R3B_rot,-0.5898664475404118
L-M-TaG_x,L2C_rot,0.5883452558586264
L-F-TaG_y,L1C_flex,0.5746892859201304
R-H-TaG_y,R3C_rot,0.5738712544218418
L-H-TaG_z,R2A_abduct,-0.5568815107775938
L-M-TaG_y,L2B_flex,-0.5538649816057786
L-F-TaG_x,L1A_rot,-0.5518470375772013
R-F-TaG_x,R1C_rot,-0.5501710784002707
L-H-TaG_z,L2A_abduct,-0.5392979102540442
R-F-TaG_z,R2A_abduct,0.5381623941357673
R-F-TaG_z,R1C_flex,-0.5354707479903544
L-F-TaG_y,L1C_rot,-0.5325631071977609
L-F-TaG_z,L1C_flex,-0.5306880485397882
R-M-TaG_z,R2D_flex,-0.5285300672131048
R-M-TaG_z,R2C_flex,-0.526420366921654
L-H-TaG_y,L3C_flex,-0.524166529004933
L-F-TaG_z,R2A_abduct,0.5238489501271434
R-H-TaG_z,R2A_abduct,-0.5219141599314074
R-H-TaG_x,R3A_flex,0.5148039127894154
L-F-TaG_z,L2B_flex,-0.5132378018504031
L-H-TaG_y,L3A_rot,-0.5028673580447235
L-H-TaG_z,L3B_rot,-0.50222352323073
L-F-TaG_z,L2A_abduct,0.5008112441333704
R-H-TaG_z,R3D_flex,-0.49396637475660693
R-F-TaG_z,L2A_abduct,0.49118347553777086
R-H-TaG_y,R3A_flex,0.4800962204670161
L-F-TaG_y,L1A_abduct,-0.47697485513706395
L-F-TaG_x,L1C_rot,-0.4746523841894816
x_vel_ma20,L2B_flex,-0.46802926302425246
L-H-TaG_r,L1B_flex,0.4659331846141345
L-H-TaG_r,L2B_flex,0.4633696653103196
L-M-TaG_r,L1B_rot,-0.46165268299291307
L-F-TaG_z,R1A_abduct,0.46138092211556087
x_vel_lag_plus_10,L2B_flex,-0.46036480267668467
x_vel_ma20,L1B_rot,0.4598978461072991
x_vel_lag_plus_5,L2B_flex,-0.458575585794254
x_vel_lag_minus_20,L2B_flex,-0.45532283681596813
L-F-TaG_y,L1D_flex,0.4550983124647533
L-F-TaG_z,L1A_rot,0.4550045494618047
R-H-TaG_r,L1B_rot,-0.453378231516132
R-M-TaG_r,L1B_flex,0.45282023936464694
L-M-TaG_z,L2A_rot,0.45177615978838676
L-F-TaG_x,L1A_flex,0.45088062334913065
R-F-TaG_y,R1D_flex,0.45041096386116597
R-F-TaG_x,R1C_flex,0.45012155100285206
L-H-TaG_r,L1B_rot,-0.4479624128866574
R-M-TaG_r,L1B_rot,-0.4478695594362805
x_vel_lag_minus_10,L1B_flex,-0.44672730342345846
R-H-TaG_z,L2A_flex,0.4448021768592073
R-M-TaG_y,R2A_rot,0.4444086108579035
x_vel_lag_plus_3,L2B_flex,-0.44430631216415667
L-M-TaG_z,L1B_flex,-0.44170989865718685
R-H-TaG_z,L1A_abduct,-0.4414029397364617
R-F-TaG_r,L1B_flex,0.4410187346295104
R-H-TaG_z,R1A_abduct,-0.44099954681610004
L-M-TaG_x,L2D_flex,-0.44045276388087135
x_vel_lag_plus_20,L2B_flex,-0.43930488837387915
R-H-TaG_z,R3B_flex,-0.43902165836296053
x_vel_lag_minus_20,L1B_flex,-0.4355867577016885
L-H-TaG_z,R1A_abduct,-0.43550544096001576
x_vel_lag_plus_2,L2B_flex,-0.43452639152909767
L-M-TaG_x,L2B_flex,0.43371992165395173
x_vel_ma10,L1B_rot,0.4298250318517806
x_vel_lag_minus_10,L1B_rot,0.42946800113790556
x_vel_ma10,L2B_flex,-0.4291913956166823
x_vel_lag_minus_5,L1B_rot,0.4290408622084637
R-M-TaG_r,L2B_flex,0.4285597218660708
R-F-TaG_x,R1A_rot,-0.42710106463033315
R-H-TaG_r,L1B_flex,0.42566074860829894
x_vel_lag_plus_1,L2B_flex,-0.42387320475690765
R-F-TaG_r,L1B_rot,-0.42285012711825526
x_vel_lag_minus_10,L2B_flex,-0.42269347056184414
x_vel_lag_minus_20,L1B_rot,0.4219030937285147
x_vel_lag_minus_5,L1B_flex,-0.42177812618548205
L-M-TaG_r,L1B_flex,0.4213285448898911
x_vel_lag_minus_3,L1B_rot,0.42127851886978923
R-H-TaG_r,L2B_flex,0.4203943286304192
x_vel_ma5,L2B_flex,-0.418848547262066
x_vel_lag_minus_2,L1B_rot,0.4167867351471494
x_vel_ma5,L1B_rot,0.4144280090365775
xy_position,L2B_flex,-0.41366174510662257
xz_position,L2B_flex,-0.41366174510662257
L-H-TaG_x,L3A_flex,-0.41344442813701476
x_vel_lag_plus_10,L1B_rot,0.4122990965087452
x_vel_lag_minus_1,L1B_rot,0.41228969352303235
R-F-TaG_r,L2B_flex,0.41095503795878735
x_vel_lag_plus_5,L1B_rot,0.40993589513923456
x_vel_ma20,L1B_flex,-0.4097835215101525
L-F-TaG_x,L1A_abduct,-0.40885216082732856
L-M-TaG_r,R1B_rot,0.40798392839455044
R-M-TaG_x,R2B_flex,0.4072610197976582
L-F-TaG_z,L1A_flex,-0.40689482486976714
L-H-TaG_z,L3A_flex,-0.4063753629442532
x_vel_lag_plus_1,L1B_rot,0.40579008142360573
xy_velocity,L2B_flex,-0.40572469202715217
x_vel_lag_plus_3,L1B_rot,0.40542169443336057
R-M-TaG_r,R1B_rot,0.40508065819771966
x_vel_lag_plus_2,L1B_rot,0.4047790073843097
x_vel_lag_minus_1,L2B_flex,-0.40341093634742325
velocity_magnitude,L2B_flex,-0.39853606651550677
R-F-TaG_y,R1B_flex,0.3982762095875889
L-M-TaG_x,L2A_rot,0.3977958007874796
R-F-TaG_z,R1A_flex,-0.3970317886593765
x_vel_lag_minus_3,L1B_flex,-0.3966335407552524
xy_velocity,L1B_rot,0.39648599362876413
L-F-TaG_y,L1B_rot,0.3958913195356368
x_vel_lag_minus_2,L2B_flex,-0.3954370711631012
R-M-TaG_x,R2A_flex,-0.3946455287270822
xz_velocity,L2B_flex,-0.3932223310308586
R-H-TaG_r,R1B_rot,0.39125087927859015
x_vel_lag_minus_3,L2B_flex,-0.39002197959331336
x_vel_lag_minus_5,L2B_flex,-0.38819144450258936
x_vel_lag_plus_20,L1B_flex,-0.3880244125879871
R-H-TaG_z,L3A_flex,-0.3877564018035557
L-F-TaG_z,L1D_flex,-0.38638188116114097
L-M-TaG_z,L1B_rot,0.3845266602953123
L-F-TaG_r,R1B_rot,0.38299504194771816
x_vel_lag_minus_2,L1B_flex,-0.38172431132560797
L-H-TaG_r,R1B_rot,0.37814422915437557
x_vel_lag_plus_20,L1B_rot,0.3780659574726456
x_vel_ma10,L1B_flex,-0.3766885608543143
L-M-TaG_z,L2C_flex,-0.3765876284016036
R-H-TaG_y,R2A_flex,0.37629448767270807
R-H-TaG_z,R3B_rot,0.3758040465335236
L-F-TaG_r,L2B_flex,0.3754059507182808
