,L1A_abduct,L1A_flex,L1A_rot,L1B_flex,L1B_rot,L1C_flex,L1C_rot,L1D_flex,L2A_abduct,L2A_flex,L2A_rot,L2B_flex,L2B_rot,L2C_flex,L2C_rot,L2D_flex,L3A_abduct,L3A_flex,L3A_rot,L3B_flex,L3B_rot,L3C_flex,L3C_rot,L3D_flex,R1A_abduct,R1A_flex,R1A_rot,R1B_flex,R1B_rot,R1C_flex,R1C_rot,R1D_flex,R2A_abduct,R2A_flex,R2A_rot,R2B_flex,R2B_rot,R2C_flex,R2C_rot,R2D_flex,R3A_abduct,R3A_flex,R3A_rot,R3B_flex,R3B_rot,R3C_flex,R3C_rot,R3D_flex
L1A_abduct,1.0,-0.6169039529745318,0.4542596048376328,-0.6506381640348654,0.027395534214394494,-0.43855578855477445,-0.07196385420190778,-0.4081186162972022,0.7549948073445599,-0.29291043790772353,-0.06921087439643706,-0.03780877372581409,-0.13725038931847947,0.04164326936809107,-0.3106505279815837,-0.06657663964040993,0.05223287672045895,-0.12322993148319397,-0.16995803034905058,0.3671584086796419,-0.1633990854973147,-0.010207873857809864,-0.1480151603382272,-0.015600584488291686,0.6392605836526268,-0.1236281360913156,0.03309650850667328,-0.1363080116723834,0.12731435669675062,0.224184309919615,0.06968782214965054,0.09250751177436724,0.7489239987445795,0.2312521859735518,0.027944632577159553,0.26904342245458257,0.4293510542215745,0.013912817901661198,0.0674151495501727,0.019822854844509196,0.06598724014259798,0.19194184165626385,0.05720845521611806,-0.006038959501840716,0.188689544042979,-0.15532580546634697,0.04809363885281155,-0.04855562910898129
L1A_flex,-0.6169039529745318,1.0,-0.6358159707018748,0.692880728800287,0.015035188859433475,0.6084485770355808,-0.1677141971681639,0.5383819617743596,-0.08469607502899629,0.2755294655023662,-0.1802392669114331,0.19450100942921345,0.026672822031982294,0.23130405491554745,-0.11037625101204539,0.32720725564193864,-0.19212952958174692,0.3417752669327024,-0.14846846276132836,-0.12021625343510714,0.2511213578649851,-0.01802461194995723,-0.1947426515765844,0.23800721215654377,-0.146435913806591,0.24323281637233643,-0.2226854043220847,-0.06602432720537788,-0.24881239139965583,-0.2960015360278928,-0.04356435676786009,-0.05832251442395915,-0.058004737557996615,0.19586398425436935,0.14774562457763793,-0.04418846558701782,-0.38050163527220165,0.23959682713006636,0.1427114954411727,0.3136819082685243,0.07435613509030682,0.1851821254405194,-0.09664575837142629,0.1786638429626907,-0.2800260790504085,0.22174590537507105,0.16621927808323664,0.20918362361440204
L1A_rot,0.4542596048376328,-0.6358159707018748,1.0,-0.7547912859331932,0.23076606886576037,-0.6671314309319868,0.32210620891861547,-0.4425056797471753,0.13593707640923777,-0.29191292303389327,0.1385538624363096,-0.2783089857143641,0.15409960403339473,-0.12005081418016385,-0.0326728802794594,-0.1503422429266248,0.09829988562853825,-0.28249499843309017,0.17426063519656237,0.2484008916260109,-0.156803269025236,0.1955110189991288,-0.019162338254937888,0.0083289449423051,-0.008264222296405348,0.05854312799213653,0.2937127755262596,0.2213832508684051,0.15003391822104212,0.3104345087217419,0.13544890361963785,0.18683644890001794,0.1236486694723088,-0.17563940162517944,-0.18564114782739943,0.02108351250165531,0.34179907228993606,-0.1390465577170219,-0.12443243043028351,-0.07574077805255877,-0.12869297720581888,-0.0977264082932599,0.2092426046397089,-0.30736199625346305,0.263377204240743,-0.3002459927558326,-0.07206124409944119,-0.07442394742712953
L1B_flex,-0.6506381640348654,0.692880728800287,-0.7547912859331932,1.0,-0.5053713076538088,0.8212663548740597,0.08314363617041381,0.528003151419535,-0.351097966895973,0.31210175677512714,-0.07629153886674524,0.26738958063770246,-0.06682493142973114,0.035880399203836504,0.1444674017671847,0.05118835644876145,-0.050370453945019565,0.22603406303297896,-0.06194409075143314,-0.23184502358204664,0.19540996335247918,-0.13994188481233072,0.12516077283762858,-0.07988188699959484,-0.18971240511029494,0.0004923893907750442,-0.2514656695394715,-0.03736302386297301,-0.045268185070027785,-0.2583722567799549,-0.18419092417960733,-0.2019246558906974,-0.3081627504072297,0.06669052554369162,0.09606820568227664,-0.06927552526553753,-0.39451579447881496,0.04764362601676037,0.02821858120401402,-0.024515510741023847,0.07035429270201322,0.014786919782645128,-0.19771709927546982,0.2757175914812973,-0.283614237179786,0.290763320423835,-0.019122772497016053,0.02680573205035215
L1B_rot,0.027395534214394494,0.015035188859433475,0.23076606886576037,-0.5053713076538088,1.0,-0.4654030967392229,-0.34742275822186197,-0.19956023569383605,0.12237484483495097,-0.19071933209799666,0.07308690388451812,-0.23236822674145838,0.12509844307365428,0.09087144374382056,-0.1481569967507703,0.1600035261512653,-0.0880050644016602,-0.03394940658691066,-0.014245451999857193,0.04226517765066623,-0.03901592891109809,0.09448527096171794,-0.2579090793617862,0.24168518357743057,-0.07642406406943118,0.16720281928066874,0.10419641276561246,0.008425686339803218,-0.2256702456560319,-0.009362196406082924,0.21769200799654792,0.1775224463539127,0.07238770659925906,-0.011006204213539253,0.0019513315819805939,-0.09241736944804264,0.01149153189656497,0.09838518284338964,0.0889888109369215,0.23941094212749958,-0.070566771288965,0.02400226600594105,0.07516122603303627,-0.17426208944202806,0.09346317276091451,-0.1065713604438514,0.1358375981297521,0.1910391829987646
L1C_flex,-0.43855578855477445,0.6084485770355808,-0.6671314309319868,0.8212663548740597,-0.4654030967392229,1.0,0.0805851873605733,0.6299986361793274,-0.11757220212021526,0.17564621667490385,0.017217459523400782,0.15612285141760843,-0.19011877933953816,-0.07436958501226557,0.042960885560819506,-0.07643305054547332,-0.0203858652342578,0.15535128451197613,-0.16325539870569789,-0.18335503147985333,0.07924427533638764,-0.18104485925820682,0.04030551793948909,-0.09709145571311667,0.12406414642677016,-0.22250102925406673,-0.29680907040652765,-0.19988947099621293,0.03214126920401045,-0.24945430893623444,-0.09955843922349347,-0.237593811250495,-0.09027383657720082,0.18797634268570712,0.15978099044048977,-0.08600845157124072,-0.34047035482852117,0.002380161472646732,0.1281654074841068,-0.05494340280551092,0.03513121047203723,0.07968989716514431,-0.16978985753565162,0.23565653020753977,-0.20007946159768897,0.19581835038892026,-0.008360927951917315,-0.06742583696305281
L1C_rot,-0.07196385420190778,-0.1677141971681639,0.32210620891861547,0.08314363617041381,-0.34742275822186197,0.0805851873605733,1.0,-0.01070279603948122,-0.21059589749208238,-0.02209979281662018,0.15874662000962983,-0.01750792717902907,0.004510314627530854,-0.15686404119190547,0.24787225908223026,-0.2348348017550247,0.19645412694995484,-0.20281039868541273,0.11583302853691163,0.10316857486324067,-0.05369407014792957,0.05977236517059242,0.2298299042903342,-0.18684749591535255,-0.10985929673605474,-0.08362973506623196,0.07921394279836162,0.17954672344708159,0.22234513160689304,0.08694718172411652,-0.016762797045851693,-0.09150950394849272,-0.15226752478492006,-0.13369155322834217,-0.06907540985250137,0.02965519082934484,0.04838306344374082,-0.12796548268429606,-0.1731755546270466,-0.1866976991406814,-0.11312678228583484,-0.20549355991312998,0.028189161524724247,-0.06333356798247977,0.0973870023363763,-0.07244188419894806,-0.2096231770369082,-0.17937916613186788
L1D_flex,-0.4081186162972022,0.5383819617743596,-0.4425056797471753,0.528003151419535,-0.19956023569383605,0.6299986361793274,-0.01070279603948122,1.0,-0.21036451090022062,0.31408554981409426,-0.1218004432198012,0.1796083815418185,-0.08845552857689094,0.06433740115901346,0.002907013323233891,0.1836954069455578,-0.17122165154667263,0.25992378365178637,-0.05641789758613482,-0.23387710283418095,0.16089142743515092,-0.04812479718106996,-0.04380957417621408,0.1052368420974574,-0.05690664534511267,-0.027251149147252365,-0.2178544059881258,-0.14233121820815944,-0.09505168140286113,-0.20657741321553766,-0.11288292722356871,-0.03320508134086213,-0.18701479199669283,0.11476393401045042,0.0753198154637708,-0.07700218917823315,-0.25581467590039014,0.13471157340278714,0.0922662939405016,0.12838441649326662,0.051059945536006165,0.08224652475737958,-0.024421442116337108,0.09905400498113241,-0.16618837145330537,0.15267717505175069,0.08729515572385237,0.07175443496009257
L2A_abduct,0.7549948073445599,-0.08469607502899629,0.13593707640923777,-0.351097966895973,0.12237484483495097,-0.11757220212021526,-0.21059589749208238,-0.21036451090022062,1.0,-0.4311410943131059,-0.05328910430331205,-0.10037978818611715,-0.09721454232793623,0.12094403735457958,-0.4780897792536217,0.044238197368322255,-0.02965181625771715,-0.028090343281333714,-0.33975950492224083,0.39578468979360293,-0.10451590616328749,-0.05081667025021613,-0.366154625237496,0.11752945825412561,0.7204143673446701,-0.026372483731441243,-0.07914222794749577,-0.19665757225861705,0.019065240228232475,0.06891409687838244,0.16086736620052136,0.0676061727912202,0.9163179525753326,0.42882399469240545,0.19264176577417946,0.2284574036803948,0.21908821322948702,0.12166819299498775,0.222832040232251,0.25137066889370946,0.017603098502345135,0.3741995735938705,-0.0339124116704428,0.1031028911634938,0.040494538387494644,-0.05870503303368672,0.1687241981162013,0.07632592225881131
L2A_flex,-0.29291043790772353,0.2755294655023662,-0.29191292303389327,0.31210175677512714,-0.19071933209799666,0.17564621667490385,-0.02209979281662018,0.31408554981409426,-0.4311410943131059,1.0,-0.5327457687215067,0.4128337848809993,0.19727834532268648,0.21484408267768224,-0.01673231079987459,0.2730760609039647,-0.12258323111787846,0.4993762873791564,0.11090427384684909,-0.1452447148516177,0.36253813124505213,0.13219880780243265,0.07594218823226852,0.11551068696015361,-0.3070972843887528,0.2249909156104174,0.020489309742834427,0.11144303068151612,-0.032719856529444334,0.02538822835637843,-0.23453253675957403,0.017645677711179027,-0.3299654752217531,-0.04587437735807064,-0.05986951107444919,0.13464228391253263,-0.0372755302434838,0.20785862667797816,-0.09325248197058252,0.061625751624459435,0.19289845487997426,0.039988198635695374,0.11078342328543715,-0.0026088014155826915,-0.1365654578879795,0.032708053949876595,0.006146194337333052,-0.03964044424452513
