Joint Angle 1,Joint Angle 2,Correlation
L2A_abduct,R2A_abduct,0.9163179525753326
L2C_flex,L2D_flex,0.8584560189872061
R3B_flex,R3C_flex,0.8260724439300715
L1B_flex,L1C_flex,0.8212663548740597
R1B_flex,R1C_flex,0.8000019774308342
R1A_rot,R1B_flex,0.7757501557142683
R2C_flex,R2D_flex,0.7579457255165777
L1A_abduct,L2A_abduct,0.7549948073445599
L1A_rot,L1B_flex,-0.7547912859331932
L1A_abduct,R2A_abduct,0.7489239987445795
R1A_abduct,R2A_abduct,0.7386182214562715
R1A_rot,R1C_flex,0.7220429061794992
L2A_abduct,R1A_abduct,0.7204143673446701
L2B_flex,L2C_flex,0.6959485585038486
L1A_flex,L1B_flex,0.692880728800287
R1A_flex,R1B_flex,0.6904394064989765
R2B_flex,R2C_flex,0.685952034368006
R3A_rot,R3B_flex,-0.6798510571324159
L1A_rot,L1C_flex,-0.6671314309319868
L1A_abduct,L1B_flex,-0.6506381640348654
L3A_rot,L3C_flex,0.6441527669926607
L1A_abduct,R1A_abduct,0.6392605836526268
L1A_flex,L1A_rot,-0.6358159707018748
L2A_rot,L2C_flex,-0.6301062323827995
L1C_flex,L1D_flex,0.6299986361793274
R1C_flex,R1D_flex,0.6291389992798374
R1A_abduct,R1A_flex,-0.627130879431956
L2A_rot,L2D_flex,-0.6208800941380426
L1A_abduct,L1A_flex,-0.6169039529745318
R1A_abduct,R1B_flex,-0.6110895126169752
L1A_flex,L1C_flex,0.6084485770355808
L3B_flex,L3C_flex,0.6063507174118256
L3C_flex,L3D_flex,0.598147658727009
R1A_flex,R1A_rot,0.5932610507712806
L2A_rot,L2B_flex,-0.5761784947322025
L3A_flex,L3B_rot,0.5745817717336306
R3C_flex,R3D_flex,0.5723503665781252
R3A_rot,R3C_flex,-0.5687844169511682
R1A_flex,R1C_flex,0.5650629704586874
R2B_rot,R2C_rot,-0.5469201463114768
R2A_rot,R2C_flex,0.5462164581586493
L1A_flex,L1D_flex,0.5383819617743596
L2A_flex,L2A_rot,-0.5327457687215067
R1A_flex,R1D_flex,0.5281628603003382
L1B_flex,L1D_flex,0.528003151419535
L2B_flex,L2D_flex,0.5224187013582825
L2B_rot,R1B_flex,0.5190064197524399
R3C_rot,R3D_flex,0.5100812351374373
R2B_flex,R2B_rot,0.5086417605154608
L1B_flex,L1B_rot,-0.5053713076538088
L2C_rot,L3C_rot,0.5049540916692092
L2A_flex,L3A_flex,0.4993762873791564
R1B_rot,R1C_flex,0.4949594627796378
R2A_rot,R2D_flex,0.49159022979750694
R1B_flex,R1B_rot,0.49110967075271156
L2B_rot,R1A_flex,0.4857273357775512
L2A_abduct,L2C_rot,-0.4780897792536217
R1A_abduct,R1A_rot,-0.47438066596912
L1B_rot,L1C_flex,-0.4654030967392229
L1A_abduct,L1A_rot,0.4542596048376328
R3B_rot,R3C_flex,-0.45347206713509697
L2C_rot,R2A_abduct,-0.445384568521701
L1A_rot,L1D_flex,-0.4425056797471753
L1A_abduct,L1C_flex,-0.43855578855477445
R2A_rot,R2C_rot,0.43573282509293815
L2D_flex,R2D_flex,0.43489494640004844
R2C_rot,R3C_rot,0.4340233506802177
L2B_rot,R1A_rot,0.43391451315670687
L3C_rot,L3D_flex,-0.4334168795348629
L2B_rot,R1A_abduct,-0.43178982854367637
L2A_abduct,L2A_flex,-0.4311410943131059
L1A_abduct,R2B_rot,0.4293510542215745
L2A_abduct,R2A_flex,0.42882399469240545
R1B_flex,R1D_flex,0.42538774060010576
R3A_flex,R3C_rot,0.4191527775253089
R2A_flex,R2C_rot,0.41870052015088366
R3A_flex,R3B_rot,-0.4185043809375155
L3B_flex,R2A_abduct,0.4156213892430465
R1A_abduct,R2A_flex,0.41357915827762587
L2A_flex,L2B_flex,0.4128337848809993
L2C_rot,R3A_flex,-0.411389318388536
R3B_rot,R3C_rot,-0.41082003602633826
L1A_abduct,L1D_flex,-0.4081186162972022
R1A_rot,R1D_flex,0.4070348295381769
R1A_rot,R1C_rot,0.40204288404643584
L3C_rot,R3A_flex,-0.4001351653088171
L2B_rot,R1C_flex,0.3996823972369358
R2A_rot,R2B_rot,-0.39843122823444443
L2A_abduct,L3B_flex,0.39578468979360293
L1B_flex,R2B_rot,-0.39451579447881496
R2A_flex,R2A_rot,0.3934666222491398
L3B_rot,L3C_flex,0.392977922759676
R3B_flex,R3B_rot,-0.38973275848084166
R2B_flex,R2D_flex,0.3857603095396521
R2A_flex,R3A_flex,0.3813091351628135
L1A_flex,R2B_rot,-0.38050163527220165
R2A_flex,R2B_rot,-0.37883003154650907
L3A_rot,R1A_abduct,-0.37670707604050746
L2A_abduct,R3A_flex,0.3741995735938705
L3A_abduct,L3A_flex,-0.3726748751856971
L2A_rot,L3A_flex,-0.3706611011591552
L2B_flex,L2B_rot,-0.36996329064531913
L1A_abduct,L3B_flex,0.3671584086796419
L2A_abduct,L3C_rot,-0.366154625237496
L2A_flex,L3B_rot,0.36253813124505213
L2B_rot,L3B_rot,0.36186340383275856
L2A_rot,L3B_rot,-0.3616645463959998
L2B_rot,L2C_rot,-0.36081912731761673
R2B_flex,R2C_rot,-0.35975499623289187
R2A_abduct,R2B_flex,0.35770497968463094
L3D_flex,R2D_flex,0.3536624841471074
L3A_rot,L3B_flex,0.35366227932728944
L1B_flex,L2A_abduct,-0.351097966895973
L3C_rot,R2D_flex,-0.34923036784671224
L3A_flex,R3B_rot,-0.3488084502577089
L1B_rot,L1C_rot,-0.34742275822186197
L3A_rot,R2A_abduct,-0.34518595180672274
L2B_flex,R2B_flex,0.3421282077168498
L1A_rot,R2B_rot,0.34179907228993606
L1A_flex,L3A_flex,0.3417752669327024
L2D_flex,L3D_flex,0.34171547503233546
L2D_flex,R2C_flex,0.34067248440794595
L1C_flex,R2B_rot,-0.34047035482852117
L2A_abduct,L3A_rot,-0.33975950492224083
R2A_rot,R2B_flex,0.33956692311081565
L2D_flex,R1A_flex,0.3385365028307116
L3C_rot,R2A_abduct,-0.33783854308813843
L3A_flex,R3A_flex,0.3364057361545241
R3B_flex,R3D_flex,0.33536501378779165
R2A_abduct,R2B_rot,0.3328322047239407
L2C_flex,R2D_flex,0.3317094102195834
L3B_rot,L3C_rot,-0.3301750133685246
L2A_flex,R2A_abduct,-0.3299654752217531
R1A_abduct,R1C_flex,-0.3286402809772097
L2A_rot,R1A_flex,-0.3280076177071074
L1A_flex,L2D_flex,0.32720725564193864
L3B_rot,R1A_flex,0.32679912222729124
L3C_flex,R3C_flex,-0.3253870953641142
L3B_rot,R3A_flex,0.32457374178927006
R3A_flex,R3A_rot,0.32314886577033713
L1A_rot,L1C_rot,0.32210620891861547
R3B_rot,R3D_flex,-0.3194064946171148
L3A_flex,R1A_flex,0.3182036749416096
L2D_flex,L3A_flex,0.31707440904391715
L2B_flex,R1C_rot,-0.31514880170677123
L3B_rot,L3D_flex,0.3148444627899715
L2A_rot,L2C_rot,0.31469794819413255
L2D_flex,R1B_rot,-0.3145974732600324
