,L1A_abduct,L1A_flex,L1A_rot,L1B_flex,L1B_rot,L1C_flex,L1C_rot,L1D_flex,L2A_abduct,L2A_flex,L2A_rot,L2B_flex,L2B_rot,L2C_flex,L2C_rot,L2D_flex,L3A_abduct,L3A_flex,L3A_rot,L3B_flex,L3B_rot,L3C_flex,L3C_rot,L3D_flex,R1A_abduct,R1A_flex,R1A_rot,R1B_flex,R1B_rot,R1C_flex,R1C_rot,R1D_flex,R2A_abduct,R2A_flex,R2A_rot,R2B_flex,R2B_rot,R2C_flex,R2C_rot,R2D_flex,R3A_abduct,R3A_flex,R3A_rot,R3B_flex,R3B_rot,R3C_flex,R3C_rot,R3D_flex
L1A_abduct,1.0,-0.8450285024862159,0.40053736502437015,-0.8125973750122498,0.42565146779598956,-0.595468243057045,-0.04246455330881647,-0.33847110662989854,0.36793915454625786,-0.29907108124442217,0.22228086865721658,0.005040420041675691,-0.3298964664460554,-0.014780190520554752,0.10697789857330815,-0.0629468836960825,0.0559161997052909,-0.27420449578535205,-0.09629931260652583,0.15876955384401262,-0.22202325111278223,-0.028114342504873262,0.0333184471480388,0.02684250645995757,0.5581973778069342,-0.2868595114752567,-0.20237978627987152,-0.40410348285674413,-0.08253287827481035,-0.20425354439481988,-0.07550077255190367,-0.06938900231245558,0.6066808934709911,-0.0628377516849002,-0.11671741970363127,-0.062310470409244784,0.14877553026750753,-0.05005362558328462,0.031169921971911894,-0.041665852094036795,-0.01867775831440691,-0.137409295332743,-0.046313495317704255,-0.11015952182778646,0.2748098312349959,-0.13802465199135322,0.04123005111754743,-0.008949134696583677
L1A_flex,-0.8450285024862159,1.0,-0.3428214464888836,0.8157638648615785,-0.4549526926091253,0.7027467361884401,0.09689153554322938,0.46801710513030004,-0.11460174391138854,0.17256296750398567,-0.12890786021235653,-0.08968346826140004,0.22108767143509886,-0.04906478176239296,-0.11300196005233142,0.015292986225669394,-0.058367843256256456,0.20992949432168675,0.05023764460591626,-0.01810306337263738,0.20947473934236982,0.04416109750682108,-0.044338064748430245,0.01630172507587824,-0.3625571631975973,0.29444837404573687,0.16508908745968032,0.2821947299966182,0.0037343691580880535,0.13754112385229536,0.06459538351470465,0.025474297896391725,-0.25603605855965417,0.0410780384559268,0.062110718616584036,0.0056381472296954315,-0.10339120381552801,0.03843642118472402,-0.013743133264720006,0.041938603305409126,-0.05135473902132169,0.17077699080290298,0.0268498813858846,0.08301545334622565,-0.24612001369374262,0.09951996274234258,-0.011506250672943209,0.012725583337334888
L1A_rot,0.40053736502437015,-0.3428214464888836,1.0,-0.40631756139530045,0.1636289407612994,-0.24296224717772735,0.5612789826315241,-0.1174264220782211,0.1304512290404603,-0.39667669231479663,0.43256766257542706,0.04319512326522699,-0.383170294226361,-0.0003944776156425198,0.3765401782765214,-0.10011637774141467,0.15750411384512436,-0.3290175375270065,0.08693636599494885,-0.00032251150637126246,-0.4000161437094247,-0.15816369809251318,0.28898775138712957,-0.16945386436950405,0.21540523485663335,-0.14516342986952666,-0.0045915246471475175,-0.2184393919535556,-0.15794150743038646,-0.1419062830595964,0.02047261685930317,-0.045974062348271574,0.1452298718721357,0.04355045485200464,-0.0455768993877553,-0.08809823756428768,-0.022231560300780596,-0.13794515903786098,-0.012724930321980658,-0.14839803197453932,0.08844707436345273,-0.008571633890065706,0.3077979685392831,-0.22273237312066035,0.18941624610943025,-0.22947449552043508,0.10985075827264008,-0.11016470537773147
L1B_flex,-0.8125973750122498,0.8157638648615785,-0.40631756139530045,1.0,-0.7548006380206567,0.8037779903377492,0.17397754022476233,0.4701281053391384,-0.21098632219392516,0.2437279999029048,-0.24642885862470137,0.05257552230441685,0.26778272085619875,0.020833052985325718,-0.129212828645317,0.021171970339577784,-0.060774342035526605,0.2278629395633632,0.02015369288475652,-0.04776485072636183,0.24565956524738883,0.05328946922055204,-0.03244660261892425,-0.015200914534089055,-0.3985115706420072,0.2358096979677689,0.10789669429483406,0.35165651665427394,0.102305287959154,0.1975193159192791,0.0027190093847613635,0.05074967533628547,-0.40172452254505575,0.01776454394217359,0.08486351083888861,0.10738594380411404,-0.07701169001713122,0.09653167475459701,-0.06931871851060512,0.04825200537371064,0.013355426628386116,0.10307490535500954,-0.008028891332271432,0.11756407235635047,-0.24875355770663404,0.1210512035911527,-0.04891865100128781,-0.01775728881066418
L1B_rot,0.42565146779598956,-0.4549526926091253,0.1636289407612994,-0.7548006380206567,1.0,-0.604513375621756,-0.2589070453865927,-0.38595440204545617,0.10790674684942575,-0.09688943589330118,0.14672182898026023,-0.17213596074452062,-0.05354541799326216,-0.05880657136529522,0.02563990697941711,-0.0016869465749048866,-0.018217767612546183,-0.0566430516260933,-0.019103719474966724,-0.001378981135736318,-0.09811035138324158,-0.0369152190180895,-0.02639880929153401,0.02145971355293731,0.13767255060742736,-0.0325384830604236,0.04717984960201935,-0.17041609912996494,-0.1062677034758659,-0.12016925811052998,0.10902594725216726,-0.019747902862977482,0.23447096343570212,6.458186851085233e-05,-0.05071275782217004,-0.10251266638053272,0.031288211542643635,-0.08381847119889724,0.07738943565251319,-0.003563371724066871,-0.06458270874775307,-0.034769124144152314,-0.04217915415005848,-0.02038228035721967,0.09894280654950245,-0.02218863167504009,0.00483791484895006,0.0500793388262272
L1C_flex,-0.595468243057045,0.7027467361884401,-0.24296224717772735,0.8037779903377492,-0.604513375621756,1.0,0.2714044273918389,0.7552894853874642,-0.09696588702229997,0.2190248535719584,-0.2132464719338619,-0.028290773506220824,0.2277995501646324,-0.0007276082468597812,-0.1765910581389402,0.02682355802938616,-0.05796389134656294,0.20071874879490875,0.04847784854684891,-0.06117008151214615,0.17825067603454128,0.04788749812365217,-0.05934321496415868,0.042965550308927854,-0.17109384484871618,0.13048795403895072,0.07112476726722887,0.198955256724964,0.0824997853565633,0.1493321222337895,0.06181590934944278,0.09313323244972582,-0.14989061248433064,-0.05077148760127602,0.011576681141399602,0.07891234868278965,0.02758747057782694,0.07952022246686276,-0.04822415692090353,0.06909276034314843,-0.03444315940165969,0.07046461828548527,-0.07083825666401121,0.11512483431043172,-0.1853594476714246,0.12104787719331994,-0.006457222062303615,0.04862909689245426
L1C_rot,-0.04246455330881647,0.09689153554322938,0.5612789826315241,0.17397754022476233,-0.2589070453865927,0.2714044273918389,1.0,0.10752896119102133,-0.02514659496282559,-0.17307086669058752,0.21998768300397795,0.08754228979417869,-0.15307762626174554,0.011645890161245856,0.2626284393198438,-0.09026550888989036,0.10735624357400486,-0.18704101846117685,0.05247845652149057,-0.039537846315869804,-0.2494152600288782,-0.1243624946041947,0.2755510852258228,-0.18442826523913283,-0.017348513137937012,-0.00628566848725502,0.0614295865047174,0.007058545404918356,-0.05092800220799672,-0.0151492075578107,0.018661345042522724,0.005793237060154239,-0.07275670089252964,0.006655655077758491,-0.04349829322840738,0.017631248030503012,0.00485680835464244,-0.08000112679332437,-0.10118745328044933,-0.12708021986902515,0.11281611544135292,-0.024375529631590787,0.2524774270480586,-0.1266791425243701,0.07413868333350528,-0.14395215664306552,0.02280832579533203,-0.11770848627962757
L1D_flex,-0.33847110662989854,0.46801710513030004,-0.1174264220782211,0.4701281053391384,-0.38595440204545617,0.7552894853874642,0.10752896119102133,1.0,-0.057936271187082694,0.13960359882204723,-0.06179569102227623,-0.11775042020241007,0.09477105593855988,-0.053177353292508105,-0.13652581039757794,0.018899334121789943,-0.017707067707432123,0.12245894914324543,0.07531696673422933,-0.07663310127872142,0.06312423508256332,0.025819854287522467,-0.07329652885792272,0.08319215946061531,-0.021727126814649084,0.05900772411649687,0.0793573037263322,0.041535371693587765,-0.02146993643062029,0.08542782498221622,0.10337341675870391,0.14860784091008036,0.005608599798539036,-0.03473459826845259,-0.03038152303493061,-0.015224540840085803,0.03948338951240274,0.012730061602967638,-0.004821091067332501,0.07161422723390579,-0.07932988062023359,0.07019356250166958,-0.046361862129418896,0.06404083484889904,-0.07782331681324031,0.07937238239744851,0.029715150366739582,0.08596282191612882
L2A_abduct,0.36793915454625786,-0.11460174391138854,0.1304512290404603,-0.21098632219392516,0.10790674684942575,-0.09696588702229997,-0.02514659496282559,-0.057936271187082694,1.0,-0.506384474310737,0.06277747136960157,-0.07147760820882351,-0.08062505785042048,-0.02641289538214382,-0.024784465493156743,-0.025781505484716506,0.025694683365546863,-0.09877577608963208,-0.10905606835837733,0.2542462519857377,-0.020283145493184534,0.025608346365379304,0.00792789178227241,0.015960261078133715,0.25678929129167943,-0.007419025761102168,-0.08004059790050153,-0.1669078310678645,-0.051054709030847016,-0.0978848494314904,-0.006670744740611816,-0.11878408379409615,0.4716599061768688,-0.08892343950091595,-0.06870413690016312,0.029164089485787924,0.07723932938620462,0.0685960659268868,0.012929515313605982,0.03558021135753291,0.02078104469670173,-0.05468879805761977,-0.06567110535813087,-0.04018733143919719,0.05964933870100697,-0.06481005558405294,0.04286769200590973,-0.0955446685446495
L2A_flex,-0.29907108124442217,0.17256296750398567,-0.39667669231479663,0.2437279999029048,-0.09688943589330118,0.2190248535719584,-0.17307086669058752,0.13960359882204723,-0.506384474310737,1.0,-0.5244056991585117,-0.12544297397234927,0.560487040158173,-0.07975174205612125,-0.4694224435660378,0.0022253522954277893,-0.23199750396714286,0.5216302685396518,-0.083038103999356,-0.23838971818957386,0.4044565356596195,0.09876102093775474,-0.3273177878936074,0.1677692320694793,-0.19261421145304805,0.05668661476126349,-0.035756438314374264,0.22369414210256902,0.20983911728790783,0.1499939682746217,-0.007259054646120897,0.10385032299624662,-0.2498302566549381,0.07845351120384969,0.0793200361212658,0.0666012254125046,0.012485369989706823,0.1068018982660229,0.020934339343456634,0.11980650155078072,-0.1110547470749989,0.06392512968363286,-0.25006878136144256,0.16167703123484187,-0.18879198766286567,0.20793425400387228,-0.09337130496349914,0.1855438137086968
