Joint Angle 1,Joint Angle 2,Correlation
R1A_abduct,R1A_flex,-0.8480671634844533
L1A_abduct,L1A_flex,-0.8450285024862159
R1B_flex,R1C_flex,0.8332185791015956
L1A_flex,L1B_flex,0.8157638648615785
L1A_abduct,L1B_flex,-0.8125973750122498
L2C_flex,L2D_flex,0.8076622252132336
L1B_flex,L1C_flex,0.8037779903377492
R2C_flex,R2D_flex,0.777269802655556
R1C_flex,R1D_flex,0.775154173102269
L2B_flex,L2C_flex,0.768316171949464
L1C_flex,L1D_flex,0.7552894853874642
L3C_flex,L3D_flex,0.7549958987484889
L1B_flex,L1B_rot,-0.7548006380206567
L2B_rot,L2C_rot,-0.7531390757496784
R1A_abduct,R1B_flex,-0.7323924454463564
L3A_flex,L3B_rot,0.7059751357613117
L1A_flex,L1C_flex,0.7027467361884401
R1A_flex,R1B_flex,0.699795658122014
R2B_flex,R2C_flex,0.6953541678620727
R1A_flex,R1C_flex,0.6860272327820962
L2A_rot,L2B_rot,-0.6783340787026559
R3B_flex,R3C_flex,0.6496604471101071
R1A_rot,R1C_rot,0.641751267006389
R2B_rot,R2C_rot,-0.629491421179376
L3B_flex,L3C_flex,0.6237382229528576
R1A_abduct,R1C_flex,-0.6188685476775241
L2A_rot,L2C_rot,0.6176183697629668
L3B_rot,L3C_rot,-0.6110233610481564
R2A_rot,R2B_rot,-0.6073145830337338
L1A_abduct,R2A_abduct,0.6066808934709911
L1B_rot,L1C_flex,-0.604513375621756
L1A_abduct,L1C_flex,-0.595468243057045
R1A_flex,R1A_rot,0.5950626854538055
R1A_abduct,R2A_abduct,0.575313743195969
R1B_flex,R1B_rot,0.5696336267541628
L1A_rot,L1C_rot,0.5612789826315241
L2A_flex,L2B_rot,0.560487040158173
R3B_rot,R3C_flex,-0.5596783562532912
L1A_abduct,R1A_abduct,0.5581973778069342
L3B_rot,L3C_flex,0.5414430280741042
L3A_flex,L3C_rot,-0.5411364114660798
R2A_rot,R2C_rot,0.537914212807481
R3A_rot,R3B_flex,-0.5340282869913078
R1A_abduct,R1A_rot,-0.5249515624398823
L2A_flex,L2A_rot,-0.5244056991585117
L2A_flex,L3A_flex,0.5216302685396518
R2B_flex,R2B_rot,0.5129424684099277
R1A_flex,R1D_flex,0.5125007306411337
R1B_flex,R1D_flex,0.5120360606868205
L2A_abduct,L2A_flex,-0.506384474310737
R3A_flex,R3A_rot,0.5051169657653533
R3C_flex,R3D_flex,0.5032531776255126
R2A_rot,R2C_flex,0.5017293677112038
L2B_rot,L3A_flex,0.4976873785964696
L2B_flex,L2D_flex,0.49551437237348966
L3B_rot,L3D_flex,0.48729352468414194
R2A_flex,R2B_rot,-0.4802766433568439
R3A_flex,R3C_rot,0.47499241418659877
L2A_abduct,R2A_abduct,0.4716599061768688
L1B_flex,L1D_flex,0.4701281053391384
L2A_flex,L2C_rot,-0.4694224435660378
L1A_flex,L1D_flex,0.46801710513030004
L1A_flex,L1B_rot,-0.4549526926091253
R2A_abduct,R2A_flex,-0.43759771595746116
R1B_rot,R1C_flex,0.43676808161718433
L2B_rot,L3B_rot,0.43612166015980497
L1A_rot,L2A_rot,0.43256766257542706
R2B_flex,R2D_flex,0.43040226939103154
L2C_rot,L3B_rot,-0.43000937856591437
R1A_abduct,R1D_flex,-0.42736425060899563
L1A_abduct,L1B_rot,0.42565146779598956
R2A_rot,R2D_flex,0.4243885299034976
L2C_rot,L3A_flex,-0.42012551918085106
L3C_rot,L3D_flex,-0.41472063319678815
L2A_rot,L3A_flex,-0.412364929937232
L2A_rot,L3B_rot,-0.409890629066682
L2B_flex,L2C_rot,0.4084806356381973
L1A_rot,L1B_flex,-0.40631756139530045
L2A_flex,L3B_rot,0.4044565356596195
L1A_abduct,R1B_flex,-0.40410348285674413
L1B_flex,R2A_abduct,-0.40172452254505575
L1A_abduct,L1A_rot,0.40053736502437015
L1A_rot,L3B_rot,-0.4000161437094247
L1B_flex,R1A_abduct,-0.3985115706420072
L2C_rot,L3C_rot,0.39676852371617305
L1A_rot,L2A_flex,-0.39667669231479663
R3B_flex,R3B_rot,-0.3962150137495293
L3B_flex,L3D_flex,0.38653584757103
L1B_rot,L1D_flex,-0.38595440204545617
R2B_flex,R2C_rot,-0.38586320989285483
R3A_rot,R3C_flex,-0.3849318439462794
L1A_rot,L2B_rot,-0.383170294226361
L2A_rot,L2D_flex,-0.3811649264346334
R3A_rot,R3C_rot,0.3801508716182836
L3A_abduct,L3A_flex,-0.378286499531989
L1A_rot,L2C_rot,0.3765401782765214
R3A_flex,R3B_rot,-0.37146749700270426
R1A_rot,R1C_flex,0.37137052515729313
L2C_rot,R3A_rot,0.3691742315445782
L1A_abduct,L2A_abduct,0.36793915454625786
L1A_flex,R1A_abduct,-0.3625571631975973
L3C_flex,L3C_rot,-0.36095577664058043
L1B_flex,R1B_flex,0.35165651665427394
R2B_rot,R3A_flex,-0.35088991873117475
R3A_abduct,R3A_flex,-0.34990581821697764
R2A_abduct,R2B_rot,0.34758355631909055
L2B_flex,L2B_rot,-0.3444869704657936
L1A_flex,L1A_rot,-0.3428214464888836
L1A_abduct,L1D_flex,-0.33847110662989854
L3A_abduct,L3B_rot,-0.33340191015147347
L1A_abduct,L2B_rot,-0.3298964664460554
L2A_rot,L2C_flex,-0.32984599561863726
L1A_rot,L3A_flex,-0.3290175375270065
L2A_flex,L3C_rot,-0.3273177878936074
R1A_rot,R1B_flex,0.3253867147988551
R1A_rot,R1D_flex,0.3253214083019859
L3B_rot,R3B_rot,-0.3240694901504494
R2A_flex,R2B_flex,-0.31802801300443745
L2A_rot,L3C_rot,0.3080583280347268
L1A_rot,R3A_rot,0.3077979685392831
L2A_rot,R3A_rot,0.306810791608561
L2B_rot,R1B_flex,0.3065009737947112
L2B_rot,L3C_rot,-0.3064963736006791
L2B_rot,R3A_rot,-0.3027063512318515
