,L1A_abduct,L1A_flex,L1A_rot,L1B_flex,L1B_rot,L1C_flex,L1C_rot,L1D_flex,L2A_abduct,L2A_flex,L2A_rot,L2B_flex,L2B_rot,L2C_flex,L2C_rot,L2D_flex,L3A_abduct,L3A_flex,L3A_rot,L3B_flex,L3B_rot,L3C_flex,L3C_rot,L3D_flex,R1A_abduct,R1A_flex,R1A_rot,R1B_flex,R1B_rot,R1C_flex,R1C_rot,R1D_flex,R2A_abduct,R2A_flex,R2A_rot,R2B_flex,R2B_rot,R2C_flex,R2C_rot,R2D_flex,R3A_abduct,R3A_flex,R3A_rot,R3B_flex,R3B_rot,R3C_flex,R3C_rot,R3D_flex
L1A_abduct,1.0,-0.6979424140381479,0.6118168449750658,-0.70378466575249,0.21376046689897507,-0.6004302252548742,0.20587845593497459,-0.5054611510118306,0.5849963383083514,-0.4311962444504973,0.17258481740904613,-0.220101197610493,-0.10787432684649906,-0.031118307651352616,-0.1543245401978339,-0.01412755929132013,0.05774215984523971,0.11276985616808238,-0.1188429392250215,0.013007441720883526,-0.14069724894619,-0.0858996000584533,-0.053167340190156676,0.07995655735856941,0.5626425402646593,-0.1248561015901242,-0.032965123125007406,-0.28668885603168337,-0.1266455869774045,-0.11526247171834336,0.06816212968007088,-0.056471348667794706,0.6192778128168621,0.0777945550350197,0.08307993668653726,-0.0014588530307524956,0.1662359815684791,0.050742123454407595,0.07811405778901669,0.09876014607547967,-0.052581004343490154,-0.022164981170333324,0.047696920614033855,0.06908756952083711,0.0638589237337189,-0.030644309396118823,0.11425336114170233,0.06551100164048826
L1A_flex,-0.6979424140381479,1.0,-0.5994571611822411,0.671899740726892,-0.1537961747523118,0.6678581728862479,-0.16589784741611166,0.43848659772209264,0.02081330524073379,0.0562950348470492,-0.02096630071784939,0.10357905832234444,-0.06784963683263433,0.04882549161348736,0.07543326840827355,0.033927710240264496,0.06504102780648165,0.11446682890989053,0.17210675659816185,0.2621197626730603,0.22701622718146347,0.17242046786472684,0.07520807056796835,-0.0015370845273085995,-0.1276026290528324,0.2373608841748388,0.1350663006840321,0.14071904435838012,-0.03473007674000208,0.049118653792998866,0.05099771054695005,-0.020161676064788425,0.00023709785674660248,0.00520801895866147,0.06540035590308857,-0.019959669001788926,-0.17581416507395425,0.01327785887710192,0.07826017722785633,-0.009828729323497857,-0.11520176189418693,0.14795365733030258,0.06710508490470857,0.02143621807120719,-0.2122809690204558,0.08140013800307318,0.04328094450555839,-0.015066764433661551
L1A_rot,0.6118168449750658,-0.5994571611822411,1.0,-0.4521499505726088,-0.03713702627837638,-0.4911930690777712,0.5697570690766934,-0.3929011205733282,0.16064577261549368,-0.13646340929708287,0.0847071278933937,-0.01678885680827347,-0.05381249137434194,0.0706747492627919,0.07910384535970746,-0.002049558438569992,0.06079081425353615,-0.04916866463210313,-0.03730932522800345,-0.01898870455491386,-0.15533008524214276,-0.02417002539634801,0.12454221360781775,-0.02460985940656139,0.175705766889683,0.010131004893710719,0.04615735976588016,-0.010370673265201863,0.07310846336567187,0.0319768099281912,0.008007847373419596,0.02324473743748541,0.22165222618636476,-0.051497945044780224,0.0739968826747346,0.09497365319630088,0.09474346710640658,0.056611822224829404,-0.05156562314311673,0.044041568644102476,0.007951208697684611,-0.04271899762551685,0.15233714634373557,0.05801756498475512,0.017502297866093145,0.04242897781199351,0.040673761865113345,0.019683781246171636
L1B_flex,-0.70378466575249,0.671899740726892,-0.4521499505726088,1.0,-0.6811693492048382,0.7917110097679999,0.07381644089101667,0.4760906171054958,-0.2947056360474933,0.21147489682177598,-0.15742519993930554,0.36824922509132474,-0.035700894418189785,0.1506711637098525,0.16163812942241243,0.0022971252781579434,-0.015327560196014977,-0.02806281085791442,0.17733112733785972,0.18567136078136634,0.18309782379017103,0.1489969958221192,0.149694981096139,-0.11689148502980048,-0.3478349916565529,0.1958566452142555,0.09991251386299765,0.34793290654050113,0.2108719554486735,0.2095041279027825,-0.096312975861627,0.05725236750597421,-0.344785163881437,0.02497133922952595,0.11532177633786142,0.07114351464807964,-0.22850314314592512,0.022132767319018407,-0.03810447921422783,-0.11032029058936024,0.006803660485277144,0.16063118363477744,0.09440189994795334,0.015818513077683286,-0.24949987673489574,0.1369565046024897,-0.02714433383493,-0.07796064087590433
L1B_rot,0.21376046689897507,-0.1537961747523118,-0.03713702627837638,-0.6811693492048382,1.0,-0.4478294695681762,-0.2690961543268344,-0.2497158262783368,0.19539701474667587,-0.14471569113095153,0.16897349686213992,-0.37864668380873495,0.09907673428213798,-0.2104135174862971,-0.11075127533812686,-0.0578351314889463,0.061317916256575004,0.04611476455809753,-0.22770378488704418,-0.16080735613674274,-0.07951593537680522,-0.16095588229133453,-0.152765711725891,0.06709604059202376,0.20655404719954737,-0.15177188450135862,-0.10050489821796617,-0.3105816023297045,-0.2799466891800246,-0.2479739199361386,0.10892467885482991,-0.09120415382274583,0.2198330560276035,-0.1393964715608546,-0.2003721192775491,-0.057783999535216436,0.22475739786886137,-0.04794625261668214,0.024806723430095972,0.06726481543084298,-0.01308096054978906,-0.2385620846637036,-0.1738431439405576,-0.033823458954487344,0.27072525940535797,-0.17352837112250108,-0.06904743340385555,0.03604195881161092
L1C_flex,-0.6004302252548742,0.6678581728862479,-0.4911930690777712,0.7917110097679999,-0.4478294695681762,1.0,0.026724511167935713,0.7225557797984465,-0.12137772375061984,0.06939538970485362,-0.10455868725004241,0.16538434049853365,-0.015728905602069125,0.13644142441208798,0.017204769365830038,0.07820587200392157,-0.07908123295747328,0.04632758486477379,0.1274460593093463,0.07263685120458456,0.14515427456979602,0.12840912439578328,0.03478769315732548,0.0019577389642947227,-0.16171402497559553,0.10011094386591446,0.08690647476802667,0.21747338889939305,0.15743225988628687,0.14812094679242135,-0.013070195313636469,0.11034550366276816,-0.15869702589205512,0.06349303241800569,0.150034822846344,0.0756583501669003,-0.1305834292901429,0.06752936998134322,-0.027644516629202042,0.009533704968215857,-0.028997109324663747,0.18089194346016074,0.08590193485067733,0.0022178850051706566,-0.17745632901731373,0.07855270240318905,0.0537443052814568,-0.00914690096849944
L1C_rot,0.20587845593497459,-0.16589784741611166,0.5697570690766934,0.07381644089101667,-0.2690961543268344,0.026724511167935713,1.0,-0.13439155979090345,0.05831812704196451,-0.08892119029938514,0.05978085914097413,0.12930098168189938,-0.08022117157085203,0.10824669701443741,0.22310454686674464,-0.06485433488007757,0.03290168429271829,-0.06501285537946463,-0.028428532974017377,0.05203813872531502,-0.10812528376947805,0.0062267177887799,0.23956713996048568,-0.10428172712229825,0.08953281830112342,0.03087098726418455,0.03237433239406973,0.07971176071363142,0.1268766213227439,0.029843531915744424,-0.017236612466603855,-0.019474597624476057,0.12354652646301965,-0.14114591989464706,0.08750979616913515,0.2164174023691948,0.09476292763284994,0.11807537554730041,-0.12919860954496826,0.01734164282513396,0.03833782111616714,-0.09496408016148238,0.14674459868197018,0.14715246984404484,-0.010663351081484149,0.09628417334580479,-0.04980971310463801,-0.035411308770133945
L1D_flex,-0.5054611510118306,0.43848659772209264,-0.3929011205733282,0.4760906171054958,-0.2497158262783368,0.7225557797984465,-0.13439155979090345,1.0,-0.18799345579502708,0.14750923817963713,-0.11913672230907354,0.03000310304691339,0.06914711844920929,0.07626520509273982,-0.08753846095091306,0.16435255525105202,-0.16339192602990452,0.004044222835004938,0.10037857728422286,-0.08434459073915575,0.09153997554513912,0.07182270042449546,-0.09618071580297094,0.10847562831358668,-0.21315271157526594,0.06347405009970399,0.03408822266221631,0.14515954213169016,0.07713593576245217,0.10602220553958486,-0.02330119009592673,0.18072680746844563,-0.22693626305103473,0.06731838056366021,0.011017651156244935,-0.06505264739609865,-0.07666789236529033,-0.0018041127533849413,-0.01973794348871246,0.05244021855104233,-0.02515418870860577,0.1505786924848497,0.04433494886057733,-0.0726419241709429,-0.06729109635890099,0.01772593500468737,0.0837043213988586,0.057362992021229596
L2A_abduct,0.5849963383083514,0.02081330524073379,0.16064577261549368,-0.2947056360474933,0.19539701474667587,-0.12137772375061984,0.05831812704196451,-0.18799345579502708,1.0,-0.6510671307905921,0.20762355911834843,-0.21008087587573746,-0.15747773112586555,0.04072568724611949,-0.16986066696907037,0.05032955076302498,0.12203271167190716,0.25888176673760877,-0.03428321777599117,0.2789693682561531,0.05576672363926119,0.04932530739271436,-0.03353797872661168,0.09390104913943577,0.6318543225805348,0.046846663773124575,0.052488329603392524,-0.2592773709455845,-0.2043820412866149,-0.13342971493698075,0.1265707117554185,-0.05991743488293355,0.8456247524639064,0.1027511490391663,0.15667086069306047,0.02009981158181946,0.09158238847448216,0.08376660735167514,0.1625520377245038,0.13848434167949142,-0.18063127981109592,0.09172026344793142,0.09491762239564404,0.16525843633940748,-0.07307843098138535,0.03220956260618212,0.17102096590758697,0.06750042279160376
L2A_flex,-0.4311962444504973,0.0562950348470492,-0.13646340929708287,0.21147489682177598,-0.14471569113095153,0.06939538970485362,-0.08892119029938514,0.14750923817963713,-0.6510671307905921,1.0,-0.39309188651199933,0.06386959120431987,0.28718432950152667,-0.11227542843055699,-0.02359061819241211,-0.09290364507858524,-0.16816515018904094,0.03887698228183337,0.011505140840169993,-0.22576022781086924,0.08262518072271056,-0.024170247351143256,-0.10537557617456524,-0.043652708994778994,-0.4536769096862348,0.06723138900983054,-0.015759894058678663,0.1698068766840936,0.10386284103594735,0.06954689030424233,-0.06506035996797731,0.03945836768297702,-0.5150010292016628,-0.02008669012285899,-0.1341074254869932,-0.09839602363021867,-0.11649424821338963,-0.11274188760329933,-0.035616541421520036,-0.13901727242825512,0.012480010797462244,-0.0026368433105546634,-0.06073544570566905,-0.12970690536956483,0.0023915468453296475,-0.05309467914616128,-0.013557933336355755,-0.06415601560123804
