Joint Angle 1,Joint Angle 2,Correlation
R1B_flex,R1C_flex,0.8471070000219252
L2A_abduct,R2A_abduct,0.8456247524639064
L1B_flex,L1C_flex,0.7917110097679999
R2B_flex,R2C_flex,0.7878808980411351
R1B_flex,R1B_rot,0.7478011850383978
L2C_flex,L2D_flex,0.746186044134411
R1A_flex,R1B_flex,0.7328355967445324
L1C_flex,L1D_flex,0.7225557797984465
R1A_abduct,R1B_flex,-0.7165849281483853
L1A_abduct,L1B_flex,-0.70378466575249
R1C_flex,R1D_flex,0.7029408891174865
R1A_abduct,R2A_abduct,0.6989195953600827
L1A_abduct,L1A_flex,-0.6979424140381479
R3A_flex,R3B_rot,-0.6849482543250842
L1B_flex,L1B_rot,-0.6811693492048382
R2C_flex,R2D_flex,0.6738932045808856
L1A_flex,L1B_flex,0.671899740726892
L2A_rot,L2B_rot,-0.6683346587399941
L1A_flex,L1C_flex,0.6678581728862479
L3B_flex,L3C_flex,0.6629660140346656
R1A_flex,R1C_flex,0.6621932914391715
L2A_abduct,L2A_flex,-0.6510671307905921
R1B_rot,R1C_flex,0.6459113327783852
L2B_flex,L2C_flex,0.640457435516766
R3C_flex,R3D_flex,0.6335074334818528
L2A_abduct,R1A_abduct,0.6318543225805348
R1A_abduct,R1A_flex,-0.6199861439416322
L1A_abduct,R2A_abduct,0.6192778128168621
L1A_abduct,L1A_rot,0.6118168449750658
R3B_flex,R3C_flex,0.6111139208713862
L2B_rot,L2C_rot,-0.603899277534774
L1A_abduct,L1C_flex,-0.6004302252548742
L1A_flex,L1A_rot,-0.5994571611822411
L1A_abduct,L2A_abduct,0.5849963383083514
L3A_rot,L3B_flex,0.5843214796954359
R3B_rot,R3C_rot,-0.5786408732481366
L1A_rot,L1C_rot,0.5697570690766934
R3A_flex,R3C_rot,0.563730752659107
L1A_abduct,R1A_abduct,0.5626425402646593
L3B_rot,L3C_flex,0.5612463681888825
R1A_abduct,R1C_flex,-0.554893492273962
R3B_rot,R3C_flex,-0.5531044973898447
L3A_rot,L3C_flex,0.545970751868612
R2A_rot,R2C_flex,0.5446625266610009
R1A_rot,R1C_rot,0.5392667640032284
R2A_flex,R2B_rot,-0.5349553270909466
R1B_flex,R1D_flex,0.5255892160977302
L3C_flex,L3D_flex,0.5173801797945541
L2A_flex,R2A_abduct,-0.5150010292016628
R2A_flex,R3A_flex,0.5066088712867213
L1A_abduct,L1D_flex,-0.5054611510118306
R2B_rot,R2C_rot,-0.5037710943336464
R1A_flex,R1D_flex,0.495027333577112
L1A_rot,L1C_flex,-0.4911930690777712
R3A_flex,R3A_rot,0.4819435136344952
L1B_flex,L1D_flex,0.4760906171054958
L3A_flex,L3B_rot,0.46905033347039415
R3A_rot,R3C_rot,0.4672555241712348
R2B_flex,R2C_rot,-0.45786507232108314
L3B_flex,L3B_rot,0.4566137912803597
L2A_rot,L2C_rot,0.45513758634299206
L2A_flex,R1A_abduct,-0.4536769096862348
L1A_rot,L1B_flex,-0.4521499505726088
L1B_rot,L1C_flex,-0.4478294695681762
R3A_rot,R3B_rot,-0.4455835597194385
R2B_flex,R2D_flex,0.4432861147333904
L1A_flex,L1D_flex,0.43848659772209264
R2B_rot,R3A_flex,-0.4359287527506172
L2B_flex,L2C_rot,0.43475885885597476
R1A_abduct,R1D_flex,-0.4343573975058709
L1A_abduct,L2A_flex,-0.4311962444504973
R2B_flex,R2B_rot,0.415394373973318
R2A_rot,R2B_rot,-0.40735043318445735
R2A_rot,R2D_flex,0.4060258978057271
L3A_flex,L3C_rot,-0.40435399041291403
L2A_flex,L2A_rot,-0.39309188651199933
L1A_rot,L1D_flex,-0.3929011205733282
R3B_rot,R3D_flex,-0.38804288328090447
R1A_abduct,R1B_rot,-0.3859494548395438
L1B_rot,L2B_flex,-0.37864668380873495
L2D_flex,R3A_flex,0.37507886831356907
R2A_rot,R2B_flex,0.374168707900469
L3A_flex,R3A_flex,0.372834136924737
L1B_flex,L2B_flex,0.36824922509132474
L2A_rot,L2C_flex,-0.3648026378668702
R2A_flex,R2A_rot,0.3625385619205201
R2B_rot,R3B_rot,0.3608490607634228
R1B_rot,R1C_rot,-0.3554138621946647
R1B_rot,R1D_flex,0.3534976780615802
R3C_rot,R3D_flex,0.3529887267591819
L3A_flex,R3B_rot,-0.35297099649649016
L2B_flex,L2B_rot,-0.3529244392305052
L3A_rot,R2B_rot,-0.35272007082401313
R1A_flex,R1A_rot,0.3519211449458753
L1B_flex,R1B_flex,0.34793290654050113
L1B_flex,R1A_abduct,-0.3478349916565529
R1A_rot,R3B_rot,-0.34528096519204315
L1B_flex,R2A_abduct,-0.344785163881437
R2A_rot,R3B_rot,-0.33607763527787
R3A_abduct,R3A_flex,-0.3278982674131279
R3C_flex,R3C_rot,0.3277437046441512
L2A_rot,L2D_flex,-0.32604109248333063
R2A_rot,R3A_flex,0.3256260788137946
R1A_flex,R1B_rot,0.32410567086746755
R1C_flex,R1C_rot,-0.3222680465015932
L3B_rot,L3D_flex,0.31621465958736783
L3A_rot,R3A_flex,0.31593178485008905
R1A_rot,R3A_flex,0.3121539962531553
L1B_rot,R1B_flex,-0.3105816023297045
L3A_rot,R1A_rot,0.30831100590893634
R2A_rot,R3A_rot,0.3074580755096118
L2B_flex,L2D_flex,0.3069934143208883
R1A_rot,R1B_flex,0.306362356682301
R1A_rot,R3C_rot,0.30070633609015684
L3B_rot,L3C_rot,-0.3001745459050275
R1B_flex,R2A_abduct,-0.3001481851845737
