XYZ Variable,TaG Variable,Correlation
x_vel,L-M-TaG_z,0.4800604242206335
x_vel,R-H-TaG_r,-0.4332228728272722
x_vel,R-M-TaG_r,-0.42753253967837335
z_vel,R-F-Vel_x,-0.4275135272953172
z_vel,L-M-Vel_y,-0.42356521162297656
x_vel,L-M-TaG_r,-0.4030178297463012
x_vel,L-F-TaG_r,-0.4020378979185487
x_vel,L-H-TaG_r,-0.3879618544212188
x_vel,L-M-TaG_x,-0.386146559024149
x_vel,R-F-TaG_r,-0.3843938017721823
x_vel,L-M-Vel_y,-0.38372933950424454
x_vel,L-F-TaG_z,0.38331425505516176
x_vel,L-F-Vel_y,-0.3758415774188634
z_vel,L-F-Vel_y,-0.3580973861338866
x_vel,R-F-Vel_z,0.3580754526009917
y_vel,L-M-Vel_x,0.3512989747861393
z_vel,L-M-TaG_z,0.3420224339500895
x_vel,R-F-Vel_y,-0.340484116647191
z_vel,R-H-Vel_x,0.33010919564159014
x_vel,L-F-Vel_z,0.3266217591387062
z_vel,L-H-Vel_x,0.3181763274141464
z_vel,L-F-Vel_x,-0.3075464730478828
z_vel,R-H-Vel_y,0.30075230378116513
