Feature,Joint Angle,Correlation,P-value
R-M-TaG_y,R2B_rot,-0.8742105860140138,0.0
L-F-TaG_y,L1A_flex,0.859236519114606,0.0
R-F-TaG_y,R1A_flex,0.8465766109002215,0.0
L-M-TaG_y,L2B_rot,0.8423883050392895,0.0
L-M-TaG_z,L2B_flex,-0.8415679194213107,0.0
L-H-TaG_y,L3A_rot,-0.8279486063784569,0.0
R-F-TaG_y,R1C_flex,0.8164449361685666,0.0
L-F-TaG_y,L1C_flex,0.7980686739301825,0.0
L-M-TaG_z,L2A_rot,0.7891403541744456,0.0
R-M-TaG_x,R2C_flex,0.7634186534654253,0.0
R-H-TaG_y,R3C_flex,-0.7570360576075914,0.0
L-H-TaG_y,L3C_flex,-0.7501907993327098,0.0
R-H-TaG_y,R3A_rot,0.7306998146008482,0.0
R-F-TaG_y,R1A_rot,0.7291053281586668,0.0
L-F-TaG_y,L1A_rot,-0.7058812653347988,0.0
R-M-TaG_y,R2A_flex,0.6769689158396508,0.0
L-F-TaG_z,L1B_rot,0.6687230798610074,0.0
R-M-TaG_y,R2C_rot,0.6665512133109516,0.0
R-F-TaG_z,R1B_rot,-0.6632509477075009,0.0
R-H-TaG_y,R3B_flex,-0.6602547251564002,0.0
R-H-TaG_z,R3B_flex,-0.6494940940103094,0.0
L-M-TaG_z,L2D_flex,-0.6450378845818024,0.0
R-H-TaG_y,R3A_flex,0.6416087706199445,0.0
R-F-TaG_x,R1B_rot,0.6239321107595042,0.0
R-F-TaG_z,R1B_flex,-0.6196073776147148,0.0
L-M-TaG_x,L2C_flex,-0.6193451149336154,0.0
L-F-TaG_y,L1B_flex,0.6106031014379139,0.0
R-F-Vel_r,R1A_rot,-0.602567142707131,0.0
R-F-TaG_y,R1B_flex,0.5968344744205863,0.0
R-F-TaG_y,R1D_flex,0.5936354087573591,0.0
L-F-TaG_y,L1D_flex,0.5874480475922196,0.0
R-F-TaG_z,R1A_rot,-0.5836549369624375,0.0
L-M-TaG_z,L2C_flex,-0.5790510023702419,0.0
R-H-TaG_z,R1A_abduct,-0.5708617604654064,0.0
L-F-Vel_r,L1B_flex,-0.5696330684533962,0.0
L-F-TaG_y,R1C_flex,-0.560304654354826,0.0
R-M-TaG_y,R2A_rot,0.5554170292996978,0.0
L-M-TaG_y,R1C_flex,0.5514146550852494,0.0
R-M-TaG_z,R2A_rot,-0.550441841351426,0.0
L-M-TaG_y,R1B_flex,0.5456186449912883,0.0
R-H-TaG_z,L2A_abduct,-0.5444381513344985,0.0
L-M-TaG_y,R1A_flex,0.5439768199116112,0.0
