,L1A_abduct,L1A_flex,L1A_rot,L1B_flex,L1B_rot,L1C_flex,L1C_rot,L1D_flex,L2A_abduct,L2A_flex,L2A_rot,L2B_flex,L2B_rot,L2C_flex,L2C_rot,L2D_flex,L3A_abduct,L3A_flex,L3A_rot,L3B_flex,L3B_rot,L3C_flex,L3C_rot,L3D_flex,R1A_abduct,R1A_flex,R1A_rot,R1B_flex,R1B_rot,R1C_flex,R1C_rot,R1D_flex,R2A_abduct,R2A_flex,R2A_rot,R2B_flex,R2B_rot,R2C_flex,R2C_rot,R2D_flex,R3A_abduct,R3A_flex,R3A_rot,R3B_flex,R3B_rot,R3C_flex,R3C_rot,R3D_flex
R-F-TaG_x,-0.23110058256642124,-0.006854496261394948,0.030294321540866507,0.15628116100096578,-0.15079364374979864,0.15710361962648356,0.20608939978487312,0.0591920475641551,-0.19529638677053213,0.045441675621012985,0.07787208897526714,-0.165261656197955,0.18602042241053543,-0.2882024931766899,0.04686041498715435,-0.2667511098092797,0.19079957508769715,0.10614424143722397,0.07928228262697629,-0.01826727715619659,0.15836577628003118,0.07762626521199646,0.04059252248755381,-0.11753000646018247,-0.11003690143551892,-0.11468246901015733,-0.005062357851285364,0.29581058821552714,0.6239321107595042,0.2393754927458974,-0.42945223846328884,-0.07607332251346988,-0.21961809903931093,-0.13860425639686225,-0.0015010209069016853,-0.024876985958461727,-0.034762889422216024,-0.04516091459667271,-0.12442677578926457,-0.1039618287365273,-0.11632765466846565,-0.11796255983074988,-0.07579630464538595,-0.00453063166549558,-0.011981549669149426,-0.05184531577404221,-0.26588007099559874,-0.20383370783596078
R-F-TaG_y,0.4090875899560539,-0.4337266675407509,0.4254857635910915,-0.4585487550679167,0.0869462740617475,-0.5227136048708149,0.03420236590553914,-0.42071507241676886,0.1545786574311225,0.08417932494547567,-0.24434995034011917,-0.10662275400959936,0.442102830472381,0.13215861366954393,-0.1462354985606641,0.12166039362042648,-0.023355039689353718,0.04191530063144425,0.3064659563464134,0.30538049777612764,0.12236354255546757,0.27489885376262846,-0.07983789814341846,0.10095556546407121,-0.4216670701618071,0.8465766109002215,0.7291053281586668,0.5968344744205863,-0.010785957435821997,0.8164449361685666,0.2544537207607081,0.5936354087573591,0.16077924443919214,-0.24771509614243328,-0.2741676382060917,0.16599963152413807,0.4432433252047458,-0.04548314728969384,-0.15893170297356765,0.01783467146680839,0.05107074104812754,0.08441150217086514,0.22991361961466455,-0.25321213695875605,0.13035009569689376,-0.213621414487441,0.03189213995422067,-0.007571358319621386
R-F-TaG_z,0.3127672824651883,0.16115511538911764,-0.2669190478281738,0.06996897069483567,-0.0695224810166647,0.07601623321298237,-0.28502577462666884,0.032744587910003044,0.3919587466667326,-0.09541115544428498,-0.05230455093837815,0.19004583080369386,-0.3519369067175508,0.3563549804136161,-0.06268950080153551,0.3534793551710106,-0.10384186761969132,0.054640916973236565,-0.36963087066354805,-0.08598129452263774,-0.20598400776239784,-0.32436881733845113,-0.06083490488067206,-0.00741910397054147,0.4111611902264297,-0.13845188928533736,-0.5836549369624375,-0.6196073776147148,-0.6632509477075009,-0.3645323743817065,-0.16212947361008606,-0.021493510675311387,0.366406877135613,0.33760300814990485,0.19180796535232028,0.05370059367058727,-0.06629759025651975,0.08603566103282827,0.2970973312398165,0.24212535379122158,0.16904566957771067,0.0955146116843807,-0.1576281179632599,0.2688117739214491,0.050433546683125954,0.32722956226710526,0.3988773966556061,0.3722690224511469
R-M-TaG_x,-0.12683197189890152,0.22251478979978592,-0.15706793052212467,0.07922047489726858,0.11889178524777147,0.005875787399783782,-0.17807808877457654,0.05652957213488586,-0.05560114973078144,0.21779966900514441,-0.30276967334517,0.23098329169552,-0.004152956421062598,0.15035004529195806,-0.016271625505725775,0.2931804899912725,-0.018927114874231755,0.15407684775783004,0.022982983484100574,-0.061961007033787936,0.008137727715898494,0.08078839811152377,-0.08299996802634317,0.23554767824856276,-0.0449101007038037,0.07057526579573908,0.008267012504032023,-0.056845278585709626,-0.04504886577539377,-0.1045423190447301,-0.012998683448913336,-0.10721157263970325,-0.10193906146092173,0.08265233214913738,0.30559957234020724,0.31250622842388986,-0.19674928320027932,0.7634186534654253,-0.06758670233049478,0.4289366906155403,0.05731327045950684,0.05399662809392436,0.054042923396832615,0.006169238795722709,-0.03277969927488054,-0.058691948286120774,-0.060727781640525225,-0.027248953009854634
R-M-TaG_y,-0.1127172169395189,0.4319352085234871,-0.4346439436321621,0.37099694898277247,-0.05903374810608162,0.4033270480924604,-0.1657464179916506,0.2702591667394036,0.14774898425743158,-0.09480112650179096,0.06686687844389808,0.18784624480135864,-0.4147406849987527,0.14300764597557242,-0.04120526154475186,0.1683010060436762,-0.08860608194090104,-0.0002554197641130465,-0.42787270643317643,-0.2699361653101532,-0.1953893092761571,-0.402657674962354,0.00424227470955195,-0.045666709081897496,0.3705522307573036,-0.363472176170219,-0.4923990517621245,-0.4897562873274768,-0.21103549567522847,-0.49860017948109886,-0.04552804620565596,-0.2839437077689381,0.036567460761942804,0.6769689158396508,0.5554170292996978,-0.31021115741893934,-0.8742105860140138,0.10282234251511968,0.6665512133109516,0.12833568495345646,-0.010763048661445564,0.18555190742030697,-0.30999980325870446,0.40909700376618013,-0.24099405096237714,0.39540562996371076,0.3051857627024153,0.31909554742517804
R-M-TaG_z,-0.3025263167128834,0.08107933020127009,-0.04282339250657291,0.08272372117445786,0.08455307345250078,0.02187094107862793,-0.03673152041837398,0.1033128690949723,-0.33176996298456707,0.16311074820435992,-0.08890147610769801,0.04725907529249962,-0.029054267960992603,-0.11469737960539028,0.12236845204388602,0.016277189071456328,0.038635175836971285,-0.1498785655824626,0.20408756384044136,-0.11551215980007913,-0.16422908425980162,0.10988607456917761,0.10532564968058798,0.10441216986666432,-0.18709176930039242,-0.07453345900908481,0.03757600754971251,0.0016381679253558265,0.00971863601254941,-0.04351171764382042,-0.0384718869313542,-0.10454576085628497,-0.3911111786586964,-0.12852392921303618,-0.550441841351426,-0.46565598562005023,-0.13359218491749478,-0.12873031513405803,-0.2447989210915233,-0.37005409976363685,0.03254650809584948,-0.09192857977309919,0.10145907407404355,-0.1467261838639464,0.09821651836095202,-0.14868080766786135,-0.18293099990782147,-0.17861150522134556
R-H-TaG_x,-0.03063127883229713,-0.02365834944611171,-0.03495515785043979,-0.023208955468451108,-0.05687535300376125,-0.011880170282661232,-0.10954964259156905,0.06349139380694951,-0.10177867095606867,0.0773120503043439,-0.0945075286042762,0.0690735871893455,-0.10953048238473123,0.0894388212026316,0.014096219047115634,0.14660630666321542,-0.022150834068839127,-0.10191513892025478,0.12234406034466491,-0.02992939739976623,-0.020930143975615656,0.015309456653313408,0.06010094562943673,0.11449460447951011,-0.08255768129832125,-0.0170774842335086,-0.03473701957418603,-0.10987170073330009,-0.20055385923274324,-0.06617458943176166,0.001973728401955019,0.031933534044209316,-0.1640536091630414,0.1303553627005696,-0.06455170127864471,-0.17965026293402916,-0.057563501615921386,-0.09877768534729309,0.10325137616447674,-0.0866400242553849,0.0017358345218678717,0.370688075061516,0.43462630056552803,-0.246971300376199,-0.15972591623155985,-0.01574195386955735,0.4837145121384608,-0.04845014661469508
R-H-TaG_y,0.4430512901893999,-0.14465473661365397,0.2980996131332919,-0.38314394937137664,0.16271210035414246,-0.25966257743976345,-0.07106011247204456,-0.15590602768799441,0.38266548488158636,-0.010643014432298543,-0.27261401387164175,0.03766309394473233,0.06052233746394403,0.13396950555161555,-0.3638742985187922,0.1642720505287109,-0.12352833793797231,-0.04352000992277453,0.3011304067807123,0.4359191885636042,0.05119775919353501,0.48200884956652146,-0.34987656076327767,0.49613266748590257,0.2387727041571861,0.1573009892211611,0.268761231372022,0.1349972717638606,0.10483809989275458,0.18859402282260218,0.12843885033655608,0.06987523601049334,0.41206747929824505,0.1493865249741223,-0.16346368801288225,0.1885441586862939,0.3373470489551193,0.1458277477949685,-0.10892534819845083,0.1809721509516516,-0.024427710736827802,0.6416087706199445,0.7306998146008482,-0.6602547251564002,0.11402925422671717,-0.7570360576075914,-0.0034391296972262437,-0.4638273108808802
R-H-TaG_z,-0.31330503535990023,-0.3306008855519823,0.29571662234137436,-0.1509929807046021,0.05579874868236908,-0.21162695385502706,0.23505031912314658,-0.11610689306101693,-0.5444381513344985,0.06710496043969387,0.13008802027230904,-0.30031036818668483,0.304021432383126,-0.2928558921384911,0.2985540851727216,-0.2959722230764737,0.25549143009449177,-0.23546478679729635,0.437041041600114,0.02290831243502629,-0.016599648490680984,0.22579131848262493,0.26162664868060753,-0.055376902140013624,-0.5708617604654064,0.08323554832800996,0.31506417944035114,0.3131234490996703,0.06509597935460625,0.2625533757435318,0.04192406189328873,0.1545976128555024,-0.5333212954190758,-0.4281347678446799,-0.3454709173240958,-0.20822067812213313,0.18886676259794002,-0.2881879059722564,-0.30453622864275814,-0.31749058180883055,-0.031078268838834362,-0.3458826900710792,0.4180422919863208,-0.6494940940103094,0.4831219240887735,-0.4379457117099577,-0.24017609010003996,-0.382745484332188
L-F-TaG_x,-0.11307832141198984,-0.11421754753934171,-0.21081423001942626,-0.022196067070077135,0.13125967008562736,-0.2190831977476143,-0.32229511550366424,-0.09985366674896673,-0.09336744720710548,0.016548050892856284,0.0470129504207527,0.010931833853333855,0.09159226708972368,0.02726673287665517,0.10446231820835619,-0.0066317870722856255,-0.0419200016393755,0.11154226167376387,-0.01454445196282231,-0.19095787113785812,0.016998843060436735,-0.07779299291413828,0.08368163048890484,-0.08386646040151126,-0.12101127246984882,0.08531709220972825,0.05799111371550098,0.06331773156570822,-0.007408247551172721,-0.04018586204839246,-0.05256352356990811,0.0039056841097446318,-0.10131509219469943,-0.20714576987013478,0.16565737721632195,0.14455298938062405,-0.010449200661690534,0.12798941032005443,-0.08231650698855818,0.13346754241394543,-0.06866477593067899,-0.0954123122912529,-0.1298993083258314,0.11273123904872065,-0.11422270452585015,0.08898789298948334,-0.0954271107246386,0.011224441809724013
