Feature,Joint Angle,Correlation,P-value
L-F-TaG_z,L1B_flex,-0.8384330989274468,0.0
L-M-TaG_y,L2B_rot,0.8264524416071394,0.0
R-F-TaG_z,R1B_rot,-0.8206096044133908,0.0
R-F-TaG_z,R1B_flex,-0.8165082746391115,0.0
L-F-TaG_y,L1A_flex,0.8148209349726984,0.0
L-H-TaG_x,L3A_rot,0.7915796375145973,0.0
R-H-TaG_x,R3B_rot,-0.7900669225374356,0.0
L-F-TaG_y,L1A_rot,-0.7734963949162678,0.0
R-M-TaG_y,R2B_rot,-0.7645477297787779,0.0
L-M-TaG_y,L2C_rot,-0.7353291072470953,0.0
R-F-TaG_y,R1A_flex,0.6970211495576452,0.0
R-H-TaG_x,R3A_rot,0.6822761745007281,0.0
L-M-TaG_z,L2B_flex,-0.6804806909338522,0.0
L-H-TaG_x,L3C_rot,0.6754492947136604,0.0
L-H-TaG_x,L3B_flex,0.6733143361496116,0.0
R-M-TaG_y,R2C_rot,0.6710617565885019,0.0
R-F-TaG_y,R1C_flex,0.6687324999465372,0.0
L-H-TaG_z,L3B_flex,-0.6657808367662613,0.0
R-H-TaG_y,R3A_rot,0.6621239245126386,0.0
L-F-TaG_z,L1B_rot,0.6526442711100284,0.0
R-H-TaG_x,R3C_flex,0.6521105353186597,0.0
R-H-TaG_x,R3C_rot,0.6505928300049272,0.0
L-M-TaG_x,L2B_rot,-0.6477997778195694,0.0
R-F-TaG_z,R1A_abduct,0.6414706984073624,0.0
L-M-TaG_y,L2A_rot,-0.6380046103322973,0.0
R-M-TaG_z,R2B_flex,-0.6369424059135214,0.0
R-M-TaG_z,R2A_rot,-0.6362926245226294,0.0
L-F-TaG_z,L1A_abduct,0.6266147726693722,0.0
R-M-TaG_x,R2C_flex,0.62369513253697,0.0
R-H-TaG_z,L2A_abduct,-0.6231448977426399,0.0
R-H-TaG_y,R3B_rot,-0.5898664475404118,0.0
L-M-TaG_x,L2C_rot,0.5883452558586264,0.0
L-F-TaG_y,L1C_flex,0.5746892859201304,0.0
R-H-TaG_y,R3C_rot,0.5738712544218418,0.0
L-H-TaG_z,R2A_abduct,-0.5568815107775938,0.0
L-M-TaG_y,L2B_flex,-0.5538649816057786,0.0
L-F-TaG_x,L1A_rot,-0.5518470375772013,0.0
R-F-TaG_x,R1C_rot,-0.5501710784002707,0.0
L-H-TaG_z,L2A_abduct,-0.5392979102540442,0.0
R-F-TaG_z,R2A_abduct,0.5381623941357673,0.0
R-F-TaG_z,R1C_flex,-0.5354707479903544,0.0
L-F-TaG_y,L1C_rot,-0.5325631071977609,0.0
L-F-TaG_z,L1C_flex,-0.5306880485397882,0.0
R-M-TaG_z,R2D_flex,-0.5285300672131048,0.0
R-M-TaG_z,R2C_flex,-0.526420366921654,0.0
L-H-TaG_y,L3C_flex,-0.524166529004933,0.0
L-F-TaG_z,R2A_abduct,0.5238489501271434,0.0
R-H-TaG_z,R2A_abduct,-0.5219141599314074,0.0
R-H-TaG_x,R3A_flex,0.5148039127894154,0.0
L-F-TaG_z,L2B_flex,-0.5132378018504031,0.0
L-H-TaG_y,L3A_rot,-0.5028673580447235,0.0
L-H-TaG_z,L3B_rot,-0.50222352323073,0.0
L-F-TaG_z,L2A_abduct,0.5008112441333704,0.0
R-H-TaG_z,R3D_flex,-0.49396637475660693,0.0
R-F-TaG_z,L2A_abduct,0.49118347553777086,0.0
R-H-TaG_y,R3A_flex,0.4800962204670161,0.0
L-F-TaG_y,L1A_abduct,-0.47697485513706395,0.0
