,L-F-CTr_x,L-F-CTr_y,L-F-CTr_z,L-F-FeTi_x,L-F-FeTi_y,L-F-FeTi_z,L-F-TaG_x,L-F-TaG_y,L-F-TaG_z,L-F-ThC_x,L-F-ThC_y,L-F-ThC_z,L-F-TiTa_x,L-F-TiTa_y,L-F-TiTa_z,L-H-CTr_x,L-H-CTr_y,L-H-CTr_z,L-H-FeTi_x,L-H-FeTi_y,L-H-FeTi_z,L-H-TaG_x,L-H-TaG_y,L-H-TaG_z,L-H-ThC_x,L-H-ThC_y,L-H-ThC_z,L-H-TiTa_x,L-H-TiTa_y,L-H-TiTa_z,L-M-CTr_x,L-M-CTr_y,L-M-CTr_z,L-M-FeTi_x,L-M-FeTi_y,L-M-FeTi_z,L-M-TaG_x,L-M-TaG_y,L-M-TaG_z,L-M-ThC_x,L-M-ThC_y,L-M-ThC_z,L-M-TiTa_x,L-M-TiTa_y,L-M-TiTa_z,L-WH_x,L-WH_y,L-WH_z,Notum_x,Notum_y,Notum_z,R-F-CTr_x,R-F-CTr_y,R-F-CTr_z,R-F-FeTi_x,R-F-FeTi_y,R-F-FeTi_z,R-F-TaG_x,R-F-TaG_y,R-F-TaG_z,R-F-ThC_x,R-F-ThC_y,R-F-ThC_z,R-F-TiTa_x,R-F-TiTa_y,R-F-TiTa_z,R-H-CTr_x,R-H-CTr_y,R-H-CTr_z,R-H-FeTi_x,R-H-FeTi_y,R-H-FeTi_z,R-H-TaG_x,R-H-TaG_y,R-H-TaG_z,R-H-ThC_x,R-H-ThC_y,R-H-ThC_z,R-H-TiTa_x,R-H-TiTa_y,R-H-TiTa_z,R-M-CTr_x,R-M-CTr_y,R-M-CTr_z,R-M-FeTi_x,R-M-FeTi_y,R-M-FeTi_z,R-M-TaG_x,R-M-TaG_y,R-M-TaG_z,R-M-ThC_x,R-M-ThC_y,R-M-ThC_z,R-M-TiTa_x,R-M-TiTa_y,R-M-TiTa_z,R-WH_x,R-WH_y,R-WH_z
L-F-CTr_x,1.0,-0.2887890953546118,0.3654685955471521,0.6203236414545918,-0.13108205903523248,0.042823382237495586,0.5521697950024632,-0.13630223769439956,0.20441330719719242,0.7357077169846007,-0.38502876121280105,-0.16035113829430112,0.7387508371065088,-0.15586362956025393,0.10624261244051109,0.4306161464697957,-0.2692561766676296,0.29849155433892544,0.12199705414060244,0.08317634149980996,0.2204798992599928,-0.13627402095046176,-0.11532665096613251,0.3375734630067576,0.6788515700253815,-0.004649294219862847,-0.3140852239743698,-0.0013771294898313484,-0.0362642882160693,0.2608475897106315,0.646041290708745,-0.14580362261161076,0.07276822255785578,0.5221660342915014,-0.15641454128736715,0.33519458553444675,0.10531744271636981,-0.10887081310216468,0.4348957487954158,0.5692618083098893,-0.24587595646504654,-0.6850326707747179,0.30949044187684777,-0.10841679528947794,0.34469925065942086,0.5529641827741998,-0.09700770564897142,-0.5352715823345154,0.5349587142040876,-0.28141728872765576,-0.23741804695848884,0.22541465918955947,-0.25351688819268475,0.16368153594558052,0.22633336970917375,0.005988730512831562,-0.19168137972471191,0.04893292583855546,-0.13233728601007275,-0.2812070281713826,0.6998411293048313,-0.04130009359171039,0.1174660901326059,0.10271311602780958,-0.1073801537557692,-0.20426606484416984,0.401423965906085,-0.34390904439293535,0.08150660849219545,-0.0867350282073902,-0.13457609255083436,0.08086903114021475,-0.19585678379104512,-0.09732001020325004,0.12449413793886063,0.6588403216258419,-0.26256865410384833,0.3620365367675216,-0.21888281669044585,-0.06977934796178571,0.0999303783374458,0.49453314896811845,-0.10866865484857452,-0.2811471347766312,0.24778628853020976,-0.03435713321461333,0.03472584634609475,-0.26565851384003614,-0.0761322750600915,-0.19442491565704054,0.5600421589658662,-0.09323917932846919,0.6884481693809952,-0.19830785178155194,-0.07180504967232532,-0.09993737064420112,-0.5409133104962779,-0.015115933668662627,-0.003967036108473013
L-F-CTr_y,-0.2887890953546118,1.0,-0.8673053655963541,0.04420446822179554,0.8096001283432982,-0.5174336967038318,0.15621148572127186,0.7814103995071593,-0.13094684594876715,-0.18711403981362498,0.1816634664026085,0.08718644554602563,-0.06384364824670263,0.8603995998397317,-0.37492347062428777,-0.21965227006752625,0.3796884186435123,-0.2522680472718427,-0.09648541256913919,0.1455618900084365,-0.00626611637976366,-0.0867574504748838,0.1613849970340438,-0.13415280911716182,-0.230030978499134,0.01571661322150223,0.173658724929158,-0.1796186105435908,0.1632244743647941,-0.10525643916857652,-0.34434840670886796,0.2928319547847082,0.0654399676438258,-0.20745810930323685,-0.04224231345593516,-0.18984743059405565,-0.09955227144205109,-0.030911608165442726,-0.26297283215167727,-0.10928603013729589,0.4248241458920938,0.30836930731543727,-0.2257075213127893,-0.043123462407580034,-0.19579653456170412,-0.01298931413688517,0.30882125324499893,0.19354969520361398,-0.216976892346018,0.14819307085530486,-0.008545015449810183,0.0034838667363249845,0.23390332076421458,-0.12314875113832607,0.09511058580093332,-0.12846314338779444,0.2459360798819214,-0.12065103925083812,-0.15345409965811804,0.11090044135283848,-0.21626175034500444,0.0896157298017449,-0.05914709288681547,-0.11430583680703203,-0.14986379212570503,0.24369119145647192,-0.14890388124659526,0.2981992880762404,-0.19167292634038324,0.013671383793058338,-0.13459959187172657,-0.24359081897620105,0.12708932875379514,-0.09453905118348635,-0.21520632520172947,-0.21463536892453008,0.23932701091597886,-0.2528732935176705,0.16984547538054762,-0.1257294122286462,-0.29092050882686055,-0.04052750540997502,0.3238241144900491,0.08450161972683198,-0.09957666333333982,0.27408562136203857,0.016715618909643484,0.25940557867894193,0.3499660643642182,0.2507900368456268,-0.14647362719952,0.26148206808648305,-0.27973252026504536,0.2614417841866937,0.3778462830932408,0.1855972583836604,0.003289671429311195,-0.16953503372408887,-0.1730561249943946
L-F-CTr_z,0.3654685955471521,-0.8673053655963541,1.0,0.08997273245873358,-0.6384868389078672,0.36177861547019824,0.03858252819508084,-0.7410026873281325,0.07891501878115224,0.06402897869128248,-0.03074935073266608,0.19116113375325383,0.20913521054013573,-0.7551761620622593,0.27403507746003725,0.20783959217740575,-0.2492996372202381,0.24148229378696687,0.10700646865010315,-0.1734859366824764,-0.0594198623369376,0.19756502063251818,-0.17019177869869628,0.12974313175074906,0.05965353929180376,0.014143192826370377,-0.026735594178487924,0.2602048923024063,-0.16214183097671026,0.06337414704910353,0.15633082582623462,0.011780507792153611,0.06270607445757237,0.12705640646450922,0.011416097237758344,0.057425867578819706,0.24875002875519148,0.005694217824311083,0.10269391349361966,0.10993771506423029,-0.08699297349190939,-0.13510601482423884,0.29537539297436344,0.0342092410217914,0.07056663914305021,0.06695182648191995,-0.3800657093767173,-0.14235997911903814,0.06801084176847216,0.062285406094834024,-0.12624126150203727,-0.11036950016504825,-0.18860949156983864,0.18786982981640113,-0.1350100115159514,0.1422635311399806,-0.2967465926419778,0.11557784970632756,0.10655122504904224,-0.1622620080214756,0.05283226837414768,-0.09698467952585776,-0.0006964011002781712,0.05480912618963026,0.12265605111419021,-0.2860272743793382,0.01963477577856837,-0.1377106974609706,0.2745738770425093,-0.0746900411573073,0.1419321506476628,0.1933684419334072,-0.169848189274158,0.09487290122431953,0.24405936652528554,0.06945715100351249,0.090723811579385,0.1270471332983609,-0.23314944879751245,0.14954401244492274,0.2551957651000802,-0.003914998541054033,-0.08307293735345703,0.1340888960364625,0.008646099842022116,-0.3085714148420193,-0.07069764191927894,-0.24637056827811035,-0.37632157484483175,-0.1415494051604469,0.13151950239899268,-0.030911209432429504,0.15470656127089122,-0.2688069177163381,-0.3892409194066762,-0.18353327009833068,-0.05788811596319253,0.17349048917931725,-0.055185280316321625
L-F-FeTi_x,0.6203236414545918,0.04420446822179554,0.08997273245873358,1.0,0.35434573774564637,-0.19867482427011196,0.612225602547446,0.2300807027031279,0.02939631380880849,0.4234028309132544,-0.3846250231842063,-0.1983405900292601,0.7326686423015103,0.2425554821194696,-0.16623082613179369,0.09682722107917016,0.006347550317329318,0.14707877891814727,-0.06113363148310987,0.1508283814844597,0.12198155136074633,-0.11283180263179003,0.08410012746524685,0.10329964754105063,0.33921574871263227,0.06523730923897901,-0.2422111528522528,-0.0629662869072301,0.10406755444433927,0.11567757879322557,0.2385318611032321,-0.11002971104812735,0.11759671918289356,0.24020617938873945,-0.1395681607331319,0.12976185459467854,0.07399543515358188,-0.10510404603889106,0.18689841137685756,0.23653686147288397,-0.07188463058198806,-0.27258629171927357,0.16511385028285763,-0.12237514696861156,0.14050962915946008,0.3451877404239104,0.08890889234331885,-0.41395535344649875,0.12010277206828829,0.07504105858653,-0.289263442439256,0.021673785337521703,-0.24822031788484536,0.22395983449150197,0.004114397787784999,-0.13497417939564024,0.011914228039851336,-0.02251811299369312,-0.18308261167834042,-0.08762893309487128,0.33097986200166013,-0.19107494994891638,0.14069997923402489,-0.02989447912550664,-0.19181445902812547,-0.011134572348984684,0.06760082716623186,-0.12112236281920613,-0.03785672799214003,-0.040305157354798955,-0.15926451580568401,-0.11745800893884903,-0.15042850708147926,-0.02662691094744843,-0.09123114895791445,0.25633562374828767,-0.1785408983144554,0.17404363366690292,-0.1608980008240803,-0.05342959365374953,-0.1127109363818967,0.12766363033138195,-0.08189429425580683,-0.08300068065499686,0.26582762214346156,0.09457936753326518,-0.1772030948191649,-0.14496549601038036,0.08981265525135332,-0.27690339369971745,0.16711788692627766,-0.12004844520167315,0.4017853978113503,-0.058760808573138354,0.08890280235902515,-0.233782094607433,-0.33194875801049184,-0.07112396863959328,-0.06935431802786218
L-F-FeTi_y,-0.13108205903523248,0.8096001283432982,-0.6384868389078672,0.35434573774564637,1.0,-0.7567633678374991,0.22105913182110237,0.7306968874062252,-0.3911328962780326,-0.1456174514190232,0.17587398882983293,0.09479724165593882,0.08080480719892587,0.8594103883486158,-0.6637970943272591,-0.193336592013394,0.3049709359415527,-0.19754308620127614,-0.1708338844705716,0.20821634159837746,0.10294015963974244,-0.06805791684253186,0.2303046748791974,-0.041587054323848044,-0.20473131869086122,0.010184625968916379,0.1986099508668756,-0.1091129977770088,0.26246398514345554,0.0008887336462860737,-0.34711381322827595,0.23213959663990566,0.07458528225568888,-0.12282861791085835,-0.19144617712638054,-0.1372412168734157,0.06493203933723349,-0.18821223819023428,-0.20273209342863965,-0.08225349884472734,0.3975325647137541,0.2795153389584594,-0.03881727970561348,-0.19515297728079603,-0.14569499681785314,0.03697988027408617,0.3272680633921047,0.18068037213377908,-0.1736930063531785,0.12244218871076967,0.0047469050202235,-0.0842726878626636,0.009221308843598681,0.1116348290147258,0.04293173458651967,-0.23261854087485725,0.2540017039319624,-0.03395431232731351,-0.2575983090294902,0.11533758101045974,-0.16570833407314556,0.1268923794074567,0.04876120006167837,-0.08001510931816999,-0.2643246241320143,0.23697654793656872,-0.15314035687783392,0.2066060493591914,-0.13011459357797145,0.0398725705393102,-0.23818424518169115,-0.31805239089427184,0.10087538105101736,-0.20687020106256807,-0.18002230236917818,-0.18225210055413424,0.21641629421336808,-0.2652531221828327,0.139666331089253,-0.23356536031884226,-0.30743457884006353,-0.03553597672532855,0.3317045360745671,0.057523076784554907,-0.02683289262108801,0.29460601914470746,-0.028040559834164567,0.1507885864430704,0.3396761538543149,0.14084846290345265,-0.11389464782552086,0.24153695940303538,-0.23731177272121978,0.14047608885751114,0.3666865217205821,0.06434042358043401,-0.04609828673003316,-0.23910404618313189,-0.15845453880596874
L-F-FeTi_z,0.042823382237495586,-0.5174336967038318,0.36177861547019824,-0.19867482427011196,-0.7567633678374991,1.0,-0.04459331757271963,-0.3927976353078068,0.673074251966456,0.021301964181616805,-0.22877341839838342,-0.25286773769244375,0.02895715244882451,-0.5810961034461997,0.9418206606456092,0.00765330094361594,-0.1701429202484906,0.08260389797398922,0.0602123452551811,-0.1384527390600779,-0.10281361650922169,0.002605192192152362,-0.13977435953979633,-0.10061143622694925,0.07435096202409837,0.014237443301343768,-0.24402251987079182,-0.03109077512113789,-0.21976990492664494,-0.04491277794114928,0.25393117020887196,-0.2479717305958431,-0.1001130673987456,-0.06058133067351628,0.292293132782888,0.047346206815523914,-0.2567935550498033,0.27388135851243905,0.07470487365368042,-0.09302978442394864,-0.45654001268030137,-0.14153157628290444,-0.19816877281735495,0.2508628998501246,0.03966788155397516,-0.19422251019506112,-0.24509908888012463,-0.14004605485279725,-0.013704280373341314,-0.018010363183874983,0.03279900962657441,0.03802086230656549,0.07908669684196953,-0.20629328790777746,-0.17310097379834496,0.15939071492523754,-0.038411834103957126,-0.11698106358872927,0.2842393908641742,0.05572396651149012,0.02348627938062882,-0.20288991356424027,0.008256220963330162,-0.05899430071164472,0.25944993466783395,-0.030460074066859095,0.0419431020932414,-0.12390813559909132,0.03690096192218441,-0.051478331773433084,0.2637386340859277,0.2700377237756951,-0.04846193461703009,0.2775633186972704,0.02540935009847066,0.010087621829673129,-0.2779884773438144,0.22632189221162877,-0.06424365443113232,0.2584363086949953,0.22375200578400542,-0.12948101278977242,-0.3783170402484502,-0.0196446153031915,0.033649093832166854,-0.15704531705353603,-0.027411324600882653,0.04006522398793749,-0.181933925840098,-0.13060228719108935,-0.09851718410733107,-0.3216421894809588,0.12269274589038806,0.06528708624039535,-0.22075100867047148,-0.03355490237488704,0.21969635922347286,0.20894532847549077,0.2351409304228048
L-F-TaG_x,0.5521697950024632,0.15621148572127186,0.03858252819508084,0.612225602547446,0.22105913182110237,-0.04459331757271963,1.0,0.05922740513494478,0.07710895011687376,0.2769721237065517,-0.12207770196690731,-0.006886311089571869,0.8908926846982532,0.07139856233660379,0.039562905569364606,0.10388020876803389,0.11828747895840398,0.012243424106079523,0.032205487279443584,0.07059004801068532,0.05828697609604211,-0.05162687459826516,0.006188164505304096,0.046996732511084736,0.16459928561690557,-0.05428550302098459,-0.06682665856646215,-0.043644116287769194,0.026830036549792297,0.02529963405992861,0.16803350378250814,0.19455522048620436,0.12299656339837504,0.15281706156663025,0.013761644316275159,0.06166863406808689,-0.06482742141790539,0.05928546223134325,0.08836552095616407,0.28499788736576176,0.13946591584546378,-0.15995259246943275,-0.0379925103423734,0.057150799968787906,0.08419331736218436,0.35585393539927673,0.05195865203924363,-0.22351154783103627,0.10693314693869684,0.05883730828943173,-0.20241423795516408,0.051998253567420466,0.16015284623688075,-0.1188062360020832,0.04704547700545961,0.06349906668637921,-0.05205517397773527,-0.17064342612923064,0.015405813524075771,-0.10227177648102487,0.24032909162489532,-0.025845773873040198,-0.022467596875620745,-0.1380701429406249,0.03080839633893311,-0.026039451244225444,0.09644922628943711,0.01767068889317643,0.004536029024844337,-0.14940431127938045,-0.07442589028181205,-0.03686594077303069,-0.08498205749477811,-0.07529542778193382,-0.01253745534524032,0.1589372377626871,0.06928309069552539,0.04735710490851591,-0.07381119710195412,-0.056949505740283596,-0.046161666518623336,0.21440741569222854,0.14758766014491786,0.03803198665578163,0.10537618771022036,0.0704321053134572,-0.046313688071362435,0.00920439178293856,0.056078592582517614,-0.024030027945744152,0.22958590916618338,0.16993106811202102,0.21021917330290718,0.06805393556502776,0.0681798750663859,-0.020998091529976545,-0.3399828415387028,-0.01775665397076997,-0.17803554128800933
L-F-TaG_y,-0.13630223769439956,0.7814103995071593,-0.7410026873281325,0.2300807027031279,0.7306968874062252,-0.3927976353078068,0.05922740513494478,1.0,0.04929627202083023,-0.05934504277677014,-0.05482356319206863,-0.17581485871248212,-0.06384674544668482,0.9420132980937059,-0.25776792745730953,-0.24000551476382304,0.27659286794412696,-0.1705246712435567,-0.18109156557742384,0.23966006167489307,0.1233592356262264,-0.1868889011934489,0.2689295458721405,-0.11448935376183811,-0.07508705111847636,0.046853974979772395,-0.03189282308770429,-0.23311772503738315,0.25133374587667395,-0.0018649746390824009,-0.15612510455347597,-0.05199909246862301,0.02758532517081772,-0.12192952511500581,-0.06302006391515941,-0.03728079751691207,-0.053636867279346835,-0.07374641902494537,-0.11203669820568776,-0.16773451233581532,0.04601692010275157,0.15033764696989105,-0.08686262474892485,-0.11522883548885937,-0.06610717053738603,-0.11614154959904462,0.2769510597452934,0.05350594524719664,-0.16454279893628965,0.07862034104734844,0.026924044848933043,-0.040460839074518494,-0.10375413731756954,0.11720929583705998,-0.018641296800236157,-0.30920215060244743,0.34508398915899163,-0.09495578400666264,-0.22323448306388063,0.20761182276915033,-0.08273979085041576,-0.019297962819271524,0.18977195616064474,-0.10466476792304309,-0.25721916923240534,0.3154773735867758,-0.11029453945700117,0.16834547962062793,-0.2661928514870142,0.061310788447851705,-0.1671689635629519,-0.2568597739607024,0.10028087145231625,-0.0031505152358655055,-0.33669417236158655,-0.10051778245110742,-0.08364216558334693,-0.11875517579438175,0.11483964772576122,-0.08539319052026903,-0.33978804022377534,-0.07712499978594135,0.07025689997673537,-0.07372893171939206,0.014317870924480032,0.382723316991777,-0.027797220669897996,0.1486226795342805,0.43834715133282,0.06353895934696957,-0.18754870504642235,-0.037049490063250104,-0.07710221096196805,0.1661433793979878,0.4428570770545633,0.07680851189000981,0.11874387756751197,-0.25008491529880605,0.0609966989041884
L-F-TaG_z,0.20441330719719242,-0.13094684594876715,0.07891501878115224,0.02939631380880849,-0.3911328962780326,0.673074251966456,0.07710895011687376,0.04929627202083023,1.0,0.27805385545197553,-0.5064786881049881,-0.26720953290363747,0.12029263400765053,-0.09041300748948411,0.8102834514022033,-0.09426257785221065,-0.0013326022283920436,0.174071795232014,-0.008976943418781481,-0.010504408558170062,-0.11234816164864077,-0.12790407699704223,-0.028928629767044824,-0.12345311353108014,0.23608950096018502,0.30818209800255997,-0.42423503222498066,-0.14964894319206237,-0.10537160975780656,-0.08774973393821371,0.22410717080100467,-0.24878679009603835,0.12358140758054144,0.014213622651485541,0.25606039921548535,0.07973862175465819,-0.1875980071995711,0.2719258962106768,0.14132174156045135,-0.10565990329773393,-0.30418354937219816,-0.1973110616552765,-0.08600270152231668,0.22705852472258725,0.0901112383032758,0.0359771766859946,-0.1363932654098853,-0.45425162846039824,-0.08789241050575991,0.16366205589460012,-0.28405956591087733,0.007869565833419374,-0.023630089933654373,-0.0811096933146538,-0.09189051889164276,0.016378738994905388,-0.025786696617701804,-0.201278542591829,0.1475585818187242,0.028673795613311768,0.049656361816688435,-0.5028807809536407,-0.023556151528797933,-0.1245657857420444,0.1032966194192428,-0.008577172995836836,-0.08882935419698952,-0.04904927943179651,-0.06469719269930305,-0.08210193297183462,0.14753780185889045,0.11408285129141002,-0.13756954038379182,0.33622933602994226,-0.1837952916709313,0.07812974646616294,-0.296080301781907,0.3315147823880418,-0.18428222259910976,0.28631288455424125,-0.002192952402401132,-0.14398372962474834,-0.4230356363747207,0.028060527922716856,0.04679070177569709,-0.04185292520708334,-0.10880030169534141,-0.05244387544788255,0.013913915877738709,-0.1920494357839178,-0.1691076492790477,-0.4507103746381618,0.31142212479334375,0.03190457468121178,-0.027131525928833965,-0.06396581148886057,-0.00855015893523358,0.1120403317782054,0.054087024523762184
L-F-ThC_x,0.7357077169846007,-0.18711403981362498,0.06402897869128248,0.4234028309132544,-0.1456174514190232,0.021301964181616805,0.2769721237065517,-0.05934504277677014,0.27805385545197553,1.0,-0.6483656918710946,-0.3610980958059921,0.4428449406325431,-0.07052959446104962,0.07544075864035156,0.4007272923508454,-0.20469406162240034,0.36439480233238775,0.0985355653509003,0.19599446485603136,0.24562284289312394,-0.2866370500260975,-0.060552627818725654,0.335380244415466,0.886191933788037,0.11371477265571857,-0.5005528227530146,-0.14491682120370716,0.019747417428467636,0.2600070001310559,0.7866250856206427,-0.2713990008733544,0.15608443021457893,0.6349410662464735,-0.08730885610863531,0.4485948310083421,-0.0850588191633054,-0.020152176837519475,0.6023938422848996,0.6271148583454681,-0.3505838477740865,-0.867884803651343,0.1971764979931273,-0.03485995566524836,0.47951950797649034,0.7171387244650304,0.029686368123826024,-0.7908697007345633,0.6096510432861136,-0.28020531882520294,-0.39206231336837305,0.3987341259357475,-0.16713664404901554,0.03314307836386969,0.36864167472488646,0.04249614105125042,-0.22286743116086308,0.04933463816250394,-0.07814660309185376,-0.3181896232233495,0.8526196911715272,-0.24372227830814122,0.019389469027411014,0.18832859234493535,-0.056974778449631905,-0.23262942346062954,0.46724234084085003,-0.3311592718612641,-0.027158163040485024,-0.07236786089444126,-0.13698770295467433,0.06552838595712712,-0.18561376738347943,-0.06338293749397055,0.04133759406364975,0.8128983836709308,-0.39588280602730386,0.47672018820301726,-0.17399678866298757,-0.061660172589918585,0.0633083043744833,0.5591291688749799,-0.23660220130968007,-0.37130150313045224,0.29646296204285666,0.03571222185520635,0.03850167106935851,-0.3130643098696219,0.02048719039253528,-0.33175236575836814,0.6107660587895235,-0.25724733221354223,0.8888657051427011,-0.18000470733222831,0.016866145969422743,-0.10263880691163109,-0.7086385005901368,-0.012472146934947158,-0.046075030196591794
