,L-F-CTr_x,L-F-CTr_y,L-F-CTr_z,L-F-FeTi_x,L-F-FeTi_y,L-F-FeTi_z,L-F-TaG_x,L-F-TaG_y,L-F-TaG_z,L-F-ThC_x,L-F-ThC_y,L-F-ThC_z,L-F-TiTa_x,L-F-TiTa_y,L-F-TiTa_z,L-H-CTr_x,L-H-CTr_y,L-H-CTr_z,L-H-FeTi_x,L-H-FeTi_y,L-H-FeTi_z,L-H-TaG_x,L-H-TaG_y,L-H-TaG_z,L-H-ThC_x,L-H-ThC_y,L-H-ThC_z,L-H-TiTa_x,L-H-TiTa_y,L-H-TiTa_z,L-M-CTr_x,L-M-CTr_y,L-M-CTr_z,L-M-FeTi_x,L-M-FeTi_y,L-M-FeTi_z,L-M-TaG_x,L-M-TaG_y,L-M-TaG_z,L-M-ThC_x,L-M-ThC_y,L-M-ThC_z,L-M-TiTa_x,L-M-TiTa_y,L-M-TiTa_z,L-WH_x,L-WH_y,L-WH_z,Notum_x,Notum_y,Notum_z,R-F-CTr_x,R-F-CTr_y,R-F-CTr_z,R-F-FeTi_x,R-F-FeTi_y,R-F-FeTi_z,R-F-TaG_x,R-F-TaG_y,R-F-TaG_z,R-F-ThC_x,R-F-ThC_y,R-F-ThC_z,R-F-TiTa_x,R-F-TiTa_y,R-F-TiTa_z,R-H-CTr_x,R-H-CTr_y,R-H-CTr_z,R-H-FeTi_x,R-H-FeTi_y,R-H-FeTi_z,R-H-TaG_x,R-H-TaG_y,R-H-TaG_z,R-H-ThC_x,R-H-ThC_y,R-H-ThC_z,R-H-TiTa_x,R-H-TiTa_y,R-H-TiTa_z,R-M-CTr_x,R-M-CTr_y,R-M-CTr_z,R-M-FeTi_x,R-M-FeTi_y,R-M-FeTi_z,R-M-TaG_x,R-M-TaG_y,R-M-TaG_z,R-M-ThC_x,R-M-ThC_y,R-M-ThC_z,R-M-TiTa_x,R-M-TiTa_y,R-M-TiTa_z,R-WH_x,R-WH_y,R-WH_z
L-F-CTr_x,1.0,-0.2887890953546118,0.36546859554715205,0.6203236414545918,-0.13108205903523246,0.042823382237495586,0.5521697950024632,-0.13630223769439956,0.2044133071971924,0.7357077169846006,-0.38502876121280105,-0.16035113829430112,0.7387508371065088,-0.15586362956025393,0.10624261244051109,0.4306161464697956,-0.2692561766676296,0.29849155433892544,0.12199705414060244,0.08317634149980996,0.2204798992599928,-0.13627402095046176,-0.11532665096613251,0.3375734630067576,0.6788515700253815,-0.004649294219862847,-0.3140852239743698,-0.0013771294898313482,-0.0362642882160693,0.2608475897106315,0.646041290708745,-0.14580362261161076,0.07276822255785578,0.5221660342915013,-0.15641454128736718,0.33519458553444675,0.1053174427163698,-0.10887081310216468,0.4348957487954158,0.5692618083098893,-0.24587595646504654,-0.6850326707747179,0.30949044187684777,-0.10841679528947792,0.3446992506594209,0.5529641827741998,-0.09700770564897142,-0.5352715823345153,0.5349587142040876,-0.28141728872765576,-0.2374180469584888,0.22541465918955944,-0.2535168881926847,0.16368153594558052,0.22633336970917375,0.005988730512831563,-0.1916813797247119,0.048932925838555456,-0.13233728601007272,-0.28120702817138254,0.6998411293048313,-0.04130009359171039,0.11746609013260588,0.10271311602780958,-0.10738015375576919,-0.20426606484416981,0.401423965906085,-0.34390904439293535,0.08150660849219545,-0.0867350282073902,-0.13457609255083436,0.08086903114021475,-0.19585678379104512,-0.09732001020325004,0.12449413793886063,0.6588403216258419,-0.2625686541038483,0.36203653676752157,-0.21888281669044585,-0.06977934796178573,0.0999303783374458,0.4945331489681184,-0.10866865484857452,-0.2811471347766312,0.24778628853020976,-0.03435713321461333,0.03472584634609475,-0.2656585138400362,-0.0761322750600915,-0.19442491565704054,0.5600421589658662,-0.09323917932846917,0.6884481693809952,-0.19830785178155197,-0.07180504967232532,-0.0999373706442011,-0.5409133104962778,-0.015115933668662625,-0.003967036108473013
L-F-CTr_y,-0.2887890953546118,1.0,-0.8673053655963542,0.04420446822179554,0.8096001283432982,-0.5174336967038318,0.15621148572127186,0.7814103995071593,-0.13094684594876715,-0.18711403981362498,0.18166346640260847,0.08718644554602563,-0.06384364824670263,0.8603995998397317,-0.3749234706242878,-0.21965227006752625,0.3796884186435123,-0.2522680472718427,-0.09648541256913919,0.1455618900084365,-0.00626611637976366,-0.08675745047488378,0.1613849970340438,-0.13415280911716182,-0.230030978499134,0.01571661322150223,0.17365872492915796,-0.17961861054359082,0.1632244743647941,-0.10525643916857652,-0.34434840670886796,0.2928319547847082,0.06543996764382579,-0.20745810930323685,-0.04224231345593517,-0.18984743059405565,-0.09955227144205109,-0.030911608165442726,-0.26297283215167727,-0.10928603013729589,0.4248241458920938,0.3083693073154372,-0.2257075213127893,-0.043123462407580034,-0.19579653456170415,-0.01298931413688517,0.30882125324499893,0.19354969520361395,-0.21697689234601802,0.14819307085530486,-0.008545015449810183,0.0034838667363249845,0.23390332076421458,-0.12314875113832606,0.09511058580093332,-0.12846314338779444,0.2459360798819214,-0.12065103925083812,-0.15345409965811804,0.1109004413528385,-0.21626175034500444,0.08961572980174488,-0.05914709288681546,-0.11430583680703203,-0.14986379212570503,0.24369119145647192,-0.14890388124659526,0.29819928807624035,-0.19167292634038324,0.013671383793058338,-0.13459959187172654,-0.24359081897620108,0.1270893287537951,-0.09453905118348635,-0.21520632520172944,-0.21463536892453008,0.23932701091597883,-0.25287329351767046,0.16984547538054762,-0.1257294122286462,-0.29092050882686055,-0.04052750540997502,0.3238241144900491,0.08450161972683198,-0.09957666333333982,0.27408562136203857,0.016715618909643484,0.25940557867894193,0.3499660643642182,0.2507900368456268,-0.14647362719951998,0.261482068086483,-0.27973252026504536,0.2614417841866937,0.3778462830932408,0.1855972583836604,0.0032896714293111948,-0.16953503372408885,-0.1730561249943946
L-F-CTr_z,0.36546859554715205,-0.8673053655963542,1.0,0.08997273245873359,-0.6384868389078672,0.36177861547019824,0.03858252819508083,-0.7410026873281325,0.07891501878115224,0.06402897869128248,-0.030749350732666075,0.1911611337532538,0.20913521054013576,-0.7551761620622593,0.27403507746003725,0.20783959217740575,-0.2492996372202381,0.24148229378696687,0.10700646865010315,-0.1734859366824764,-0.05941986233693759,0.19756502063251818,-0.17019177869869628,0.12974313175074906,0.05965353929180376,0.014143192826370377,-0.02673559417848792,0.26020489230240623,-0.16214183097671026,0.06337414704910352,0.15633082582623462,0.011780507792153611,0.06270607445757237,0.12705640646450922,0.011416097237758344,0.0574258675788197,0.24875002875519145,0.005694217824311083,0.10269391349361967,0.10993771506423029,-0.08699297349190938,-0.13510601482423884,0.29537539297436344,0.034209241021791396,0.07056663914305021,0.06695182648191995,-0.3800657093767173,-0.14235997911903814,0.06801084176847216,0.062285406094834024,-0.1262412615020373,-0.11036950016504825,-0.18860949156983864,0.18786982981640113,-0.1350100115159514,0.1422635311399806,-0.2967465926419778,0.11557784970632755,0.10655122504904226,-0.1622620080214756,0.05283226837414767,-0.09698467952585778,-0.0006964011002781712,0.05480912618963026,0.12265605111419021,-0.2860272743793382,0.01963477577856837,-0.1377106974609706,0.2745738770425093,-0.0746900411573073,0.1419321506476628,0.1933684419334072,-0.16984818927415798,0.09487290122431952,0.2440593665252855,0.06945715100351249,0.090723811579385,0.1270471332983609,-0.23314944879751243,0.14954401244492277,0.2551957651000802,-0.003914998541054032,-0.08307293735345703,0.1340888960364625,0.008646099842022116,-0.3085714148420193,-0.07069764191927894,-0.24637056827811035,-0.37632157484483175,-0.14154940516044692,0.13151950239899268,-0.030911209432429507,0.15470656127089122,-0.268806917716338,-0.3892409194066762,-0.18353327009833068,-0.05788811596319252,0.17349048917931723,-0.055185280316321625
L-F-FeTi_x,0.6203236414545918,0.04420446822179554,0.08997273245873359,1.0,0.35434573774564637,-0.19867482427011193,0.612225602547446,0.2300807027031279,0.02939631380880849,0.4234028309132544,-0.3846250231842064,-0.19834059002926008,0.7326686423015103,0.2425554821194696,-0.16623082613179369,0.09682722107917016,0.006347550317329318,0.14707877891814727,-0.061133631483109865,0.1508283814844597,0.12198155136074634,-0.11283180263179003,0.08410012746524684,0.10329964754105063,0.33921574871263227,0.065237309238979,-0.24221115285225284,-0.0629662869072301,0.10406755444433925,0.11567757879322557,0.2385318611032321,-0.11002971104812734,0.11759671918289356,0.24020617938873945,-0.1395681607331319,0.12976185459467854,0.07399543515358188,-0.10510404603889106,0.18689841137685756,0.23653686147288397,-0.07188463058198806,-0.27258629171927357,0.16511385028285763,-0.12237514696861154,0.14050962915946008,0.3451877404239105,0.08890889234331886,-0.4139553534464987,0.12010277206828829,0.07504105858652999,-0.289263442439256,0.021673785337521703,-0.2482203178848454,0.22395983449150195,0.004114397787784998,-0.13497417939564024,0.011914228039851335,-0.02251811299369312,-0.1830826116783404,-0.08762893309487128,0.33097986200166013,-0.19107494994891638,0.14069997923402486,-0.029894479125506645,-0.19181445902812547,-0.011134572348984682,0.06760082716623186,-0.12112236281920613,-0.03785672799214003,-0.040305157354798955,-0.15926451580568401,-0.11745800893884903,-0.15042850708147926,-0.026626910947448425,-0.09123114895791445,0.2563356237482877,-0.17854089831445544,0.1740436336669029,-0.1608980008240803,-0.05342959365374952,-0.1127109363818967,0.12766363033138192,-0.08189429425580683,-0.08300068065499684,0.2658276221434615,0.09457936753326517,-0.1772030948191649,-0.14496549601038036,0.08981265525135333,-0.27690339369971745,0.16711788692627766,-0.12004844520167314,0.4017853978113503,-0.058760808573138354,0.08890280235902513,-0.233782094607433,-0.33194875801049184,-0.07112396863959328,-0.06935431802786218
L-F-FeTi_y,-0.13108205903523246,0.8096001283432982,-0.6384868389078672,0.35434573774564637,1.0,-0.756763367837499,0.22105913182110234,0.7306968874062251,-0.3911328962780326,-0.1456174514190232,0.1758739888298329,0.09479724165593881,0.08080480719892587,0.8594103883486158,-0.663797094327259,-0.193336592013394,0.3049709359415527,-0.19754308620127614,-0.17083388447057163,0.20821634159837746,0.10294015963974244,-0.06805791684253186,0.23030467487919737,-0.041587054323848044,-0.2047313186908612,0.010184625968916379,0.1986099508668756,-0.10911299777700878,0.2624639851434556,0.0008887336462860735,-0.347113813228276,0.2321395966399057,0.07458528225568888,-0.12282861791085835,-0.19144617712638057,-0.1372412168734157,0.06493203933723349,-0.18821223819023428,-0.20273209342863965,-0.08225349884472734,0.39753256471375403,0.2795153389584594,-0.03881727970561348,-0.19515297728079603,-0.14569499681785314,0.03697988027408617,0.32726806339210474,0.18068037213377905,-0.17369300635317847,0.12244218871076966,0.0047469050202235,-0.0842726878626636,0.009221308843598681,0.1116348290147258,0.04293173458651967,-0.23261854087485725,0.2540017039319624,-0.0339543123273135,-0.25759830902949027,0.11533758101045974,-0.16570833407314556,0.1268923794074567,0.04876120006167836,-0.08001510931816999,-0.2643246241320143,0.23697654793656875,-0.15314035687783392,0.2066060493591914,-0.13011459357797145,0.0398725705393102,-0.23818424518169112,-0.31805239089427184,0.10087538105101736,-0.20687020106256804,-0.18002230236917818,-0.18225210055413424,0.21641629421336808,-0.26525312218283265,0.139666331089253,-0.23356536031884229,-0.3074345788400635,-0.03553597672532855,0.3317045360745671,0.05752307678455491,-0.02683289262108801,0.2946060191447074,-0.028040559834164563,0.1507885864430704,0.3396761538543148,0.14084846290345263,-0.11389464782552088,0.2415369594030354,-0.2373117727212198,0.14047608885751112,0.3666865217205821,0.06434042358043401,-0.04609828673003316,-0.23910404618313189,-0.15845453880596874
L-F-FeTi_z,0.042823382237495586,-0.5174336967038318,0.36177861547019824,-0.19867482427011193,-0.756763367837499,1.0,-0.04459331757271963,-0.3927976353078068,0.673074251966456,0.021301964181616805,-0.2287734183983834,-0.2528677376924437,0.02895715244882451,-0.5810961034461997,0.9418206606456091,0.007653300943615939,-0.1701429202484906,0.08260389797398922,0.0602123452551811,-0.1384527390600779,-0.10281361650922169,0.0026051921921523614,-0.1397743595397963,-0.10061143622694926,0.07435096202409837,0.014237443301343768,-0.2440225198707918,-0.031090775121137892,-0.21976990492664494,-0.04491277794114927,0.25393117020887196,-0.24797173059584307,-0.1001130673987456,-0.06058133067351628,0.292293132782888,0.047346206815523914,-0.2567935550498033,0.27388135851243905,0.07470487365368042,-0.09302978442394864,-0.4565400126803013,-0.14153157628290441,-0.19816877281735495,0.2508628998501246,0.039667881553975166,-0.19422251019506112,-0.2450990888801246,-0.14004605485279725,-0.013704280373341312,-0.01801036318387498,0.03279900962657441,0.03802086230656549,0.07908669684196953,-0.20629328790777746,-0.17310097379834496,0.15939071492523751,-0.03841183410395712,-0.11698106358872927,0.2842393908641742,0.05572396651149012,0.02348627938062882,-0.20288991356424024,0.008256220963330162,-0.05899430071164472,0.25944993466783395,-0.0304600740668591,0.04194310209324139,-0.12390813559909132,0.0369009619221844,-0.051478331773433084,0.2637386340859276,0.27003772377569507,-0.04846193461703009,0.2775633186972704,0.02540935009847066,0.010087621829673129,-0.2779884773438143,0.22632189221162877,-0.06424365443113232,0.2584363086949953,0.2237520057840054,-0.12948101278977242,-0.3783170402484502,-0.0196446153031915,0.033649093832166854,-0.15704531705353603,-0.027411324600882657,0.04006522398793749,-0.18193392584009796,-0.13060228719108935,-0.09851718410733107,-0.3216421894809588,0.12269274589038806,0.06528708624039535,-0.22075100867047145,-0.03355490237488704,0.21969635922347286,0.20894532847549077,0.2351409304228048
L-F-TaG_x,0.5521697950024632,0.15621148572127186,0.03858252819508083,0.612225602547446,0.22105913182110234,-0.04459331757271963,1.0,0.05922740513494478,0.07710895011687374,0.2769721237065517,-0.1220777019669073,-0.00688631108957187,0.8908926846982532,0.07139856233660379,0.039562905569364606,0.10388020876803387,0.11828747895840398,0.012243424106079521,0.032205487279443584,0.07059004801068533,0.058286976096042116,-0.051626874598265156,0.006188164505304095,0.04699673251108474,0.16459928561690557,-0.05428550302098458,-0.06682665856646215,-0.043644116287769194,0.0268300365497923,0.025299634059928612,0.16803350378250814,0.19455522048620438,0.12299656339837506,0.15281706156663025,0.01376164431627516,0.06166863406808689,-0.06482742141790537,0.05928546223134324,0.08836552095616405,0.28499788736576176,0.13946591584546378,-0.15995259246943275,-0.037992510342373394,0.057150799968787906,0.08419331736218436,0.3558539353992767,0.05195865203924364,-0.22351154783103627,0.10693314693869684,0.05883730828943172,-0.20241423795516408,0.05199825356742047,0.16015284623688075,-0.11880623600208318,0.04704547700545961,0.06349906668637921,-0.05205517397773527,-0.17064342612923064,0.015405813524075771,-0.10227177648102485,0.24032909162489535,-0.025845773873040195,-0.022467596875620745,-0.13807014294062486,0.03080839633893311,-0.026039451244225444,0.0964492262894371,0.01767068889317643,0.004536029024844337,-0.14940431127938045,-0.07442589028181205,-0.03686594077303068,-0.08498205749477811,-0.07529542778193384,-0.01253745534524032,0.1589372377626871,0.06928309069552539,0.047357104908515905,-0.07381119710195412,-0.05694950574028359,-0.04616166651862333,0.21440741569222854,0.14758766014491786,0.03803198665578163,0.10537618771022036,0.0704321053134572,-0.04631368807136243,0.009204391782938559,0.056078592582517614,-0.024030027945744152,0.2295859091661834,0.169931068112021,0.21021917330290715,0.06805393556502776,0.0681798750663859,-0.020998091529976545,-0.3399828415387028,-0.01775665397076997,-0.1780355412880093
L-F-TaG_y,-0.13630223769439956,0.7814103995071593,-0.7410026873281325,0.2300807027031279,0.7306968874062251,-0.3927976353078068,0.05922740513494478,1.0,0.04929627202083023,-0.05934504277677014,-0.05482356319206863,-0.1758148587124821,-0.06384674544668482,0.9420132980937058,-0.25776792745730953,-0.240005514763823,0.2765928679441269,-0.17052467124355666,-0.18109156557742384,0.23966006167489307,0.1233592356262264,-0.1868889011934489,0.2689295458721405,-0.11448935376183811,-0.07508705111847636,0.046853974979772395,-0.03189282308770428,-0.23311772503738318,0.25133374587667395,-0.0018649746390824006,-0.156125104553476,-0.05199909246862302,0.02758532517081772,-0.12192952511500581,-0.06302006391515941,-0.03728079751691207,-0.053636867279346835,-0.07374641902494537,-0.11203669820568775,-0.16773451233581532,0.04601692010275157,0.15033764696989105,-0.08686262474892484,-0.11522883548885939,-0.06610717053738603,-0.1161415495990446,0.2769510597452934,0.05350594524719664,-0.16454279893628967,0.07862034104734844,0.026924044848933043,-0.040460839074518494,-0.10375413731756954,0.11720929583706,-0.018641296800236153,-0.30920215060244743,0.3450839891589917,-0.09495578400666263,-0.22323448306388066,0.2076118227691503,-0.08273979085041576,-0.01929796281927152,0.18977195616064474,-0.1046647679230431,-0.25721916923240534,0.31547737358677574,-0.11029453945700118,0.16834547962062793,-0.26619285148701427,0.0613107884478517,-0.1671689635629519,-0.2568597739607024,0.10028087145231626,-0.0031505152358655055,-0.33669417236158655,-0.1005177824511074,-0.08364216558334693,-0.11875517579438175,0.11483964772576123,-0.08539319052026902,-0.3397880402237753,-0.07712499978594135,0.07025689997673537,-0.07372893171939206,0.014317870924480032,0.3827233169917769,-0.027797220669897992,0.1486226795342805,0.43834715133282,0.06353895934696957,-0.18754870504642238,-0.037049490063250104,-0.07710221096196804,0.16614337939798776,0.44285707705456323,0.07680851189000981,0.118743877567512,-0.25008491529880605,0.06099669890418839
L-F-TaG_z,0.2044133071971924,-0.13094684594876715,0.07891501878115224,0.02939631380880849,-0.3911328962780326,0.673074251966456,0.07710895011687374,0.04929627202083023,1.0,0.27805385545197553,-0.5064786881049881,-0.26720953290363747,0.12029263400765054,-0.0904130074894841,0.8102834514022033,-0.09426257785221065,-0.0013326022283920436,0.174071795232014,-0.008976943418781481,-0.010504408558170062,-0.11234816164864077,-0.12790407699704223,-0.02892862976704482,-0.12345311353108014,0.23608950096018502,0.30818209800255997,-0.4242350322249806,-0.14964894319206234,-0.10537160975780654,-0.08774973393821371,0.22410717080100467,-0.24878679009603835,0.12358140758054144,0.01421362265148554,0.25606039921548535,0.07973862175465819,-0.18759800719957112,0.2719258962106768,0.14132174156045135,-0.10565990329773392,-0.30418354937219816,-0.1973110616552765,-0.08600270152231666,0.22705852472258722,0.0901112383032758,0.0359771766859946,-0.1363932654098853,-0.4542516284603983,-0.08789241050575991,0.1636620558946001,-0.28405956591087733,0.007869565833419374,-0.02363008993365437,-0.08110969331465379,-0.09189051889164276,0.016378738994905384,-0.0257866966177018,-0.20127854259182898,0.1475585818187242,0.028673795613311764,0.04965636181668843,-0.5028807809536406,-0.023556151528797933,-0.1245657857420444,0.1032966194192428,-0.008577172995836836,-0.08882935419698951,-0.0490492794317965,-0.06469719269930306,-0.08210193297183462,0.14753780185889043,0.11408285129141002,-0.13756954038379182,0.33622933602994226,-0.18379529167093134,0.07812974646616294,-0.2960803017819069,0.3315147823880418,-0.18428222259910973,0.28631288455424125,-0.002192952402401132,-0.14398372962474837,-0.4230356363747207,0.028060527922716853,0.046790701775697094,-0.04185292520708334,-0.1088003016953414,-0.05244387544788255,0.01391391587773871,-0.1920494357839178,-0.1691076492790477,-0.45071037463816177,0.31142212479334375,0.03190457468121178,-0.02713152592883396,-0.06396581148886056,-0.008550158935233582,0.1120403317782054,0.05408702452376219
L-F-ThC_x,0.7357077169846006,-0.18711403981362498,0.06402897869128248,0.4234028309132544,-0.1456174514190232,0.021301964181616805,0.2769721237065517,-0.05934504277677014,0.27805385545197553,1.0,-0.6483656918710946,-0.3610980958059921,0.44284494063254304,-0.07052959446104962,0.07544075864035156,0.4007272923508454,-0.20469406162240034,0.36439480233238775,0.09853556535090031,0.19599446485603134,0.24562284289312394,-0.2866370500260975,-0.060552627818725654,0.335380244415466,0.8861919337880368,0.11371477265571857,-0.5005528227530146,-0.14491682120370716,0.019747417428467633,0.2600070001310559,0.7866250856206427,-0.2713990008733544,0.15608443021457893,0.6349410662464735,-0.0873088561086353,0.4485948310083421,-0.0850588191633054,-0.020152176837519475,0.6023938422848996,0.6271148583454681,-0.3505838477740866,-0.8678848036513431,0.19717649799312728,-0.03485995566524836,0.47951950797649034,0.7171387244650302,0.029686368123826024,-0.7908697007345633,0.6096510432861135,-0.28020531882520294,-0.392062313368373,0.3987341259357475,-0.16713664404901554,0.03314307836386969,0.36864167472488646,0.042496141051250415,-0.22286743116086308,0.04933463816250394,-0.07814660309185377,-0.3181896232233495,0.8526196911715272,-0.2437222783081412,0.01938946902741101,0.18832859234493535,-0.05697477844963189,-0.23262942346062954,0.4672423408408501,-0.3311592718612641,-0.027158163040485024,-0.07236786089444126,-0.13698770295467436,0.06552838595712712,-0.18561376738347943,-0.06338293749397055,0.04133759406364975,0.8128983836709309,-0.3958828060273038,0.47672018820301726,-0.17399678866298757,-0.06166017258991858,0.06330830437448329,0.5591291688749799,-0.2366022013096801,-0.37130150313045224,0.29646296204285666,0.03571222185520635,0.038501671069358506,-0.3130643098696219,0.02048719039253528,-0.33175236575836814,0.6107660587895236,-0.25724733221354223,0.8888657051427012,-0.18000470733222831,0.016866145969422743,-0.10263880691163109,-0.7086385005901367,-0.012472146934947158,-0.0460750301965918
