Variable 1,Variable 2,Correlation
R-F-TaG_y,R-F-TiTa_y,0.988491351978612
L-M-TaG_y,L-M-TiTa_y,0.9786633943132775
L-F-TaG_x,L-F-TiTa_x,0.9776090433724629
R-M-FeTi_y,R-M-TiTa_y,0.9724633399958128
L-F-TaG_y,L-F-TiTa_y,0.9713354124932041
R-M-TaG_y,R-M-TiTa_y,0.9693604339263318
R-F-TaG_x,R-F-TiTa_x,0.967559212661592
R-F-FeTi_z,R-F-TiTa_z,0.9615683835123349
L-M-FeTi_y,L-M-TiTa_y,0.9555330700925162
R-M-FeTi_z,R-M-TiTa_z,0.9541576043713764
R-M-FeTi_y,R-M-TaG_y,0.9520534141189608
L-F-FeTi_z,L-F-TiTa_z,0.9518008989177807
L-M-FeTi_z,L-M-TiTa_z,0.950175852285022
L-F-TaG_z,L-F-TiTa_z,0.9464175673601666
R-F-TaG_z,R-F-TiTa_z,0.946196497108152
L-M-TaG_x,L-M-TiTa_x,0.9449682055616713
L-H-TaG_x,L-H-TiTa_x,0.9448060231133768
R-M-TaG_x,R-M-TiTa_x,0.9446237263803493
L-M-FeTi_y,L-M-TaG_y,0.9427965146922681
L-H-TaG_z,L-H-TiTa_z,0.9422275066123312
L-WH_x,R-WH_x,-0.9379213457182486
R-F-FeTi_x,R-F-TiTa_x,0.9349647369107408
L-M-TaG_z,L-M-TiTa_z,0.9282437471136226
L-H-TaG_y,L-H-TiTa_y,0.9247294585002306
R-F-FeTi_x,R-F-TaG_x,0.9166280169311827
R-H-FeTi_z,R-H-TiTa_z,0.9127515347120093
R-H-TaG_x,R-H-TiTa_x,0.9079221371236811
L-F-FeTi_x,L-F-TiTa_x,0.9046559794667359
R-F-FeTi_y,R-F-TiTa_y,0.9031274219572799
R-H-TaG_y,R-H-TiTa_y,0.8950786124279186
R-F-FeTi_z,R-F-TaG_z,0.8863968094290535
R-M-TaG_z,R-M-TiTa_z,0.8807628286223849
L-F-FeTi_z,L-F-TaG_z,0.8792826482151435
R-F-FeTi_y,R-F-TaG_y,0.8775040984407014
L-F-FeTi_x,L-F-TaG_x,0.8756195077973676
R-F-CTr_y,R-F-FeTi_y,0.8728969648439209
L-H-FeTi_z,L-H-TiTa_z,0.8658285481805519
L-F-CTr_x,L-F-TiTa_x,0.8648627891102356
L-M-FeTi_z,L-M-TaG_z,0.8632696115503062
R-F-CTr_y,R-F-TiTa_y,0.8612046918602225
R-F-ThC_x,R-M-ThC_x,0.8514018170920963
L-H-FeTi_y,L-H-TiTa_y,0.8431353773150785
L-F-ThC_x,L-M-ThC_x,0.8411709935603752
L-F-CTr_x,L-F-TaG_x,0.8392907065900475
R-F-CTr_y,R-F-CTr_z,-0.8375367213883992
R-H-TaG_z,R-H-TiTa_z,0.8372389889848288
R-F-CTr_y,R-F-TaG_y,0.8273786743824058
L-F-ThC_y,L-WH_z,0.8270337822863075
L-F-CTr_y,L-F-CTr_z,-0.822558516228207
L-F-CTr_y,L-F-FeTi_y,0.8183482480292656
R-H-FeTi_x,R-H-FeTi_y,0.8070094568389772
L-F-CTr_x,L-F-FeTi_x,0.8066857932311597
R-H-FeTi_y,R-H-TiTa_y,0.8057858485931755
R-F-CTr_x,R-F-TiTa_x,0.8056839691680903
R-F-CTr_z,R-F-TiTa_y,-0.7959204052832894
L-F-CTr_y,L-F-TiTa_y,0.7947230965218864
L-WH_x,Notum_z,-0.7934950622394262
R-F-CTr_z,R-F-FeTi_y,-0.7923793300993944
R-M-FeTi_z,R-M-TaG_z,0.783692848204549
L-WH_z,Notum_x,0.778035659707393
R-H-FeTi_x,R-H-TiTa_x,0.7756503047348889
R-F-CTr_z,R-F-TaG_y,-0.7755648495972673
Notum_y,Notum_z,-0.7749091729859306
L-H-FeTi_y,L-H-TaG_y,0.7721383202213565
R-M-FeTi_x,R-M-TiTa_x,0.7654931029332328
Notum_z,R-WH_x,0.7648856173452846
L-F-ThC_x,R-M-CTr_x,0.7636317780375259
R-WH_x,R-WH_z,0.7605352949512002
R-F-CTr_x,R-F-FeTi_x,0.7602733087320891
L-F-ThC_x,R-F-ThC_x,0.7561813175186
L-M-ThC_x,R-M-ThC_x,0.7495333044896477
L-F-ThC_y,Notum_z,0.7464007793030035
R-F-CTr_x,R-F-TaG_x,0.7356029681032744
R-F-ThC_x,R-M-CTr_x,0.7324821302438572
R-M-FeTi_x,R-M-TaG_x,0.7310364578100665
L-F-FeTi_y,L-F-TiTa_y,0.7308823589182568
L-M-CTr_x,L-M-ThC_x,0.7303330820947361
L-H-FeTi_z,L-H-TaG_z,0.7301378913705862
L-F-CTr_z,L-F-TiTa_y,-0.7263622582335527
L-F-ThC_y,Notum_y,-0.7167721894621668
Notum_y,R-F-ThC_y,-0.7165061625614828
L-M-ThC_x,R-M-CTr_x,0.7157548456890199
R-H-FeTi_y,R-H-TaG_y,0.7156024410815554
R-F-ThC_x,R-H-ThC_x,0.7151155677575761
L-F-CTr_y,L-F-TaG_y,0.7149847305522599
R-H-ThC_x,R-M-ThC_x,0.710642780265058
L-F-CTr_y,L-F-FeTi_z,-0.706953102483285
Notum_z,R-WH_z,0.7050349303550384
R-H-FeTi_x,R-H-TaG_x,0.6973864341748749
L-F-ThC_x,R-M-ThC_x,0.6971019919733898
L-H-CTr_z,L-H-TaG_z,0.6894632338710683
L-F-ThC_y,R-F-ThC_y,0.6850659130698973
L-WH_x,R-WH_z,-0.6840031339270556
L-H-CTr_y,L-M-CTr_y,0.6792173501106227
R-H-FeTi_y,R-H-FeTi_z,0.6745163308723685
R-M-CTr_x,R-M-ThC_x,0.6730389804855127
L-M-ThC_x,L-WH_z,-0.6696258549316026
L-F-FeTi_y,L-F-TaG_y,0.6695194519065923
L-WH_x,R-H-ThC_y,0.6694348807844238
R-H-FeTi_z,R-H-TaG_z,0.6690213874807996
L-F-CTr_z,L-F-TaG_y,-0.6672427872174046
R-H-FeTi_y,R-H-TiTa_x,0.6618688984994056
L-H-CTr_y,L-H-TaG_y,0.6590219615473338
L-F-CTr_y,L-F-TiTa_z,-0.6582293196335341
L-H-CTr_y,L-H-TaG_x,-0.6538687685869248
L-H-ThC_y,L-WH_x,0.6473029758080008
L-H-CTr_x,L-M-ThC_x,0.645619741727212
L-F-ThC_y,Notum_x,0.6439513191472411
R-H-ThC_x,R-M-CTr_x,0.6434924460882756
L-H-CTr_z,L-M-CTr_z,0.6417333394895738
L-M-CTr_z,Notum_y,0.6346777256605813
L-H-FeTi_x,L-H-FeTi_y,-0.6345774569757857
R-H-FeTi_y,R-H-TiTa_z,0.6298796006681326
R-H-FeTi_x,R-H-TiTa_y,0.6249831070479399
L-M-CTr_y,L-M-TiTa_y,0.6244161830531103
R-H-FeTi_y,R-H-TaG_x,0.6229011224527292
L-M-ThC_x,R-F-ThC_x,0.61992176847124
L-M-CTr_y,L-M-FeTi_y,0.6191909502033974
L-H-CTr_z,L-H-TiTa_z,0.6191678743011022
R-H-CTr_x,R-H-FeTi_x,0.6132852382614188
L-M-ThC_z,R-M-ThC_y,-0.6130928697680553
L-F-CTr_z,L-F-FeTi_y,-0.6100744724719641
R-F-ThC_y,R-M-ThC_y,0.6087896095588583
L-M-ThC_x,R-H-ThC_x,0.6078310055025804
R-H-FeTi_z,R-H-TiTa_y,0.6062498271170799
L-H-CTr_x,L-H-FeTi_x,0.6060510716954509
L-H-CTr_y,L-H-TiTa_x,-0.6016337494037517
L-M-CTr_y,L-M-ThC_y,0.6008773429799772
L-H-CTr_y,L-H-TiTa_y,0.600047136581409
L-H-FeTi_x,L-H-TaG_y,-0.5989441506525075
L-M-CTr_z,Notum_z,-0.5971360104644804
L-H-FeTi_x,L-H-TaG_x,0.5956504418875427
L-H-FeTi_x,L-H-TiTa_x,0.5955748152004324
L-H-ThC_y,R-WH_x,-0.5949567033216118
L-H-TaG_x,L-H-TaG_y,-0.5936087886818678
Notum_z,R-F-ThC_y,0.5929191487067588
L-F-CTr_z,L-F-TiTa_z,0.5915623120858384
R-H-ThC_z,R-WH_y,0.5904739135033725
L-H-TaG_z,R-H-CTr_z,0.5882981943656593
L-M-CTr_x,L-M-ThC_y,-0.5872496318933493
L-M-CTr_y,L-M-TaG_y,0.5866778829963493
L-M-CTr_x,R-M-ThC_x,0.5851972071184269
L-WH_x,Notum_y,0.5846280659538204
L-H-ThC_x,R-H-ThC_x,0.5843305484862796
R-H-CTr_y,R-H-CTr_z,-0.5839151328009895
R-H-FeTi_z,R-WH_y,0.582669336859348
L-H-CTr_z,R-H-CTr_z,0.5823939571194082
L-M-CTr_x,R-H-ThC_x,0.582326894403217
L-F-FeTi_y,L-F-FeTi_z,-0.5821690207207679
L-M-CTr_z,L-M-FeTi_x,0.5817017171900631
Notum_y,R-M-ThC_y,-0.579126157257374
L-H-FeTi_x,L-H-TiTa_y,-0.5789348433105034
L-M-ThC_x,Notum_x,-0.5765915503572625
L-M-CTr_z,R-F-ThC_y,-0.576445911678734
R-F-ThC_y,R-F-ThC_z,0.5746926892088311
L-F-FeTi_z,L-F-TiTa_y,-0.5734737515097299
Notum_z,R-H-ThC_y,-0.5729477231752542
L-M-CTr_x,L-WH_z,-0.5725384274688247
R-H-TiTa_z,R-WH_y,0.5718501167337977
L-F-ThC_y,L-WH_x,-0.5689821428815212
L-F-ThC_x,L-M-CTr_x,0.5660765011066622
L-H-ThC_z,R-M-ThC_y,0.5651946299938495
R-F-CTr_y,R-F-FeTi_z,-0.5643392065963003
L-M-TaG_z,L-M-ThC_z,0.563908710913095
R-F-CTr_y,R-F-TiTa_z,-0.563861454167016
R-F-CTr_z,R-F-TiTa_z,0.5628348694352012
L-WH_z,Notum_z,0.5625988240211506
L-H-CTr_y,L-M-FeTi_y,0.5624475505637154
L-WH_z,Notum_y,-0.5623835189192338
R-H-FeTi_x,R-H-TaG_y,0.562022830652728
