,L-F-CTr_x,L-F-CTr_y,L-F-CTr_z,L-F-FeTi_x,L-F-FeTi_y,L-F-FeTi_z,L-F-TaG_x,L-F-TaG_y,L-F-TaG_z,L-F-ThC_x,L-F-ThC_y,L-F-ThC_z,L-F-TiTa_x,L-F-TiTa_y,L-F-TiTa_z,L-H-CTr_x,L-H-CTr_y,L-H-CTr_z,L-H-FeTi_x,L-H-FeTi_y,L-H-FeTi_z,L-H-TaG_x,L-H-TaG_y,L-H-TaG_z,L-H-ThC_x,L-H-ThC_y,L-H-ThC_z,L-H-TiTa_x,L-H-TiTa_y,L-H-TiTa_z,L-M-CTr_x,L-M-CTr_y,L-M-CTr_z,L-M-FeTi_x,L-M-FeTi_y,L-M-FeTi_z,L-M-TaG_x,L-M-TaG_y,L-M-TaG_z,L-M-ThC_x,L-M-ThC_y,L-M-ThC_z,L-M-TiTa_x,L-M-TiTa_y,L-M-TiTa_z,L-WH_x,L-WH_y,L-WH_z,Notum_x,Notum_y,Notum_z,R-F-CTr_x,R-F-CTr_y,R-F-CTr_z,R-F-FeTi_x,R-F-FeTi_y,R-F-FeTi_z,R-F-TaG_x,R-F-TaG_y,R-F-TaG_z,R-F-ThC_x,R-F-ThC_y,R-F-ThC_z,R-F-TiTa_x,R-F-TiTa_y,R-F-TiTa_z,R-H-CTr_x,R-H-CTr_y,R-H-CTr_z,R-H-FeTi_x,R-H-FeTi_y,R-H-FeTi_z,R-H-TaG_x,R-H-TaG_y,R-H-TaG_z,R-H-ThC_x,R-H-ThC_y,R-H-ThC_z,R-H-TiTa_x,R-H-TiTa_y,R-H-TiTa_z,R-M-CTr_x,R-M-CTr_y,R-M-CTr_z,R-M-FeTi_x,R-M-FeTi_y,R-M-FeTi_z,R-M-TaG_x,R-M-TaG_y,R-M-TaG_z,R-M-ThC_x,R-M-ThC_y,R-M-ThC_z,R-M-TiTa_x,R-M-TiTa_y,R-M-TiTa_z,R-WH_x,R-WH_y,R-WH_z
L-F-CTr_x,1.0,0.06242846846097293,0.28821552998355,0.8066857932311599,0.29993614101686533,-0.12088822620490777,0.8392907065900477,0.1058624034341697,-0.013063233524343227,0.42453699406578876,-0.040177894107470566,0.032701194316918265,0.8648627891102356,0.07762852265199525,0.040660947200726466,0.18075893293648929,0.3767900080830399,-0.17211211111895794,-0.1313044471200024,0.23168460154256657,-0.1301293380022519,-0.20855564417797362,0.2680169358246382,-0.2588280159471412,0.20186818652279762,0.2576343580115274,0.22820193741035194,-0.1727708982213334,0.24843136575427205,-0.24742649682284826,0.18077128561447653,0.3608991716455109,-0.2574696716769709,0.03854481850633359,0.3727278927798484,-0.2709131130631195,0.19326642869875366,0.3396522497876532,-0.28567602893341143,0.32436961176704016,0.050760216540666106,-0.31066807534286767,0.15666516177096573,0.35607854749702156,-0.22551521806980182,0.16079950161438641,0.08990249225131001,-0.231632275568247,-0.20914039292174838,-0.07872236101366141,-0.0073896694196136405,0.3954595307839843,0.11437558186739315,0.08033407863706844,0.23399314359042178,0.029194907858027943,-0.05814702181817667,0.22520289411983682,0.02304962111996805,-0.004712452675162411,0.2935230629107176,0.2020148430809448,0.2650307266009613,0.26648012502090096,0.026609122697920533,-0.057498942757399946,0.12376906423855778,0.04155399269301141,-0.04457385692986221,-0.22584094858076403,-0.2916136382986303,-0.19367005981739802,-0.1589492884449893,-0.20298978100790072,-0.09247912343858496,0.24948668981621724,-0.016506078592765743,0.019770420126287623,-0.16799352593132974,-0.20267221390976123,-0.1874129320079562,0.41546095169798364,0.05784416388039515,0.11557850141648723,0.11947823302978897,-0.10489863658918595,-0.03363807605861003,0.18066136480659384,-0.11313672005035207,0.13872509883943035,0.18944525285640446,0.2601291302321778,-0.27305042048122596,0.1954943355809694,-0.13011053903827935,0.012388038861800576,-0.22071198645289208,-0.1105972919164297,0.11569996367130507
L-F-CTr_y,0.06242846846097293,1.0,-0.8225585162282071,0.23619928494783515,0.8183482480292655,-0.7069531024832851,0.0738921638951867,0.71498473055226,-0.5508434766613668,0.14980106897394369,0.02265960006980694,0.03193401201633381,0.07640727997460546,0.7947230965218864,-0.6582293196335343,0.00033821660327516356,0.3373970233382976,-0.16765169428754434,-0.13228076351630308,0.1127433868579183,-0.1551661628447454,-0.15986934241319742,0.1538599775080834,-0.17899295136327467,0.03663417108359876,0.10087724257174056,-0.025159411366785695,-0.13509760870257675,0.1791586234078753,-0.2113751726020212,-0.045708019652590276,0.3881582773732442,-0.19525677113495252,0.01899622523776357,0.28325503830681226,-0.03379824073790334,0.02644029409629131,0.2828831876707042,-0.056514073152502425,0.010296048523561875,0.23076799835166056,-0.07664188798670835,0.03005497142838863,0.29973897553688184,-0.008985613046963067,0.061988218316095814,0.22322061262681733,0.08884703744107815,0.04449876390039122,-0.13262311862211676,-0.015226360127381886,0.20329458091712,0.2892617192062851,-0.2686440990083187,0.10316667107934314,0.20315956137451216,-0.24409439080282314,0.0362812885615179,0.13472318182280563,-0.2128451279389168,0.07607523758355364,0.19668681895415405,-0.000506546112680423,0.0825765278612353,0.14584420753223906,-0.22850817714339142,-0.053921797875503386,0.12862550592456712,-0.11467888730359042,-0.09367124573798236,-0.13742268140074534,-0.23133871433401346,-0.06757686800417344,-0.08065863653258934,-0.1607737733255027,-0.03968631622575925,-0.07578332849716292,0.01478648762735871,-0.08848674214136858,-0.06816103518011837,-0.23717579561081617,0.09129249506238636,0.09738432237547169,0.09041108029353376,0.030969763513386723,0.023138183057926726,-0.059489762505957076,0.04578039092817897,-0.004885959356230269,-0.028511518707830117,-0.06357184884785747,0.13119008837691493,-0.17534932457039068,0.03962646479884589,0.013911933227781744,-0.0393801194465787,-0.11455976568948624,-0.1465629160816855,-0.0623454221908478
L-F-CTr_z,0.28821552998355,-0.8225585162282071,1.0,0.1020736683917361,-0.6100744724719642,0.5498256102545669,0.23970900799218225,-0.6672427872174046,0.48582063797665737,0.0005164286471018333,-0.04914922467253829,0.1705871422434408,0.2548875568602188,-0.7263622582335527,0.5915623120858384,0.048851990014278444,-0.14043951089071902,0.25714026877667173,0.1304865875268485,0.015359433118187236,0.1666097731417551,0.07883682182079009,-0.06323486226409968,0.2219719475197112,-0.05559099293129777,0.15353190800593072,0.0327028654431989,0.07640207078064168,-0.07695170376414026,0.21774615434186823,0.027705795320375468,-0.09771830700783796,0.22673213704407152,0.07609779654759215,-0.11848357048598905,-0.0904160848407759,0.007408941379129528,-0.14075336118356857,0.0021088638255955523,0.12616372116340777,-0.043920334522485636,0.039950674757922106,-0.010144454044835252,-0.1402133129676921,-0.06681816520106357,0.18317083374449908,-0.2115271118425362,-0.13391708736845753,-0.12795486616664736,0.2518062438439228,-0.17363556311620784,-0.15300608505416133,-0.21857317037459514,0.3047160469208552,-0.07815928037341378,-0.1891041933122405,0.09756405169895908,-0.03382598391628595,-0.1422900035418389,0.10911026449245208,-0.08804851127118936,-0.1905134971005937,-0.02224492767015769,-0.06063761570292994,-0.1444998610970248,0.11349353062596146,0.0004935000666730164,-0.07389052405954524,0.24523231043653387,-0.014227002505474515,0.06166637683694305,0.15963091602391033,-0.027959262305812253,-0.020281403736351383,0.21662977972043757,0.01816743332259107,0.2560153331818417,0.03856218430994106,-0.010774729179836427,-0.003162134704671986,0.21102426961027682,0.02939848179105062,0.046376117097212774,0.09954433302540296,-0.05780584066810739,-0.0494941835800988,0.016238160755806443,-0.0771953875654249,-0.036340232497729295,0.09128132274279473,0.05263344504103364,-0.0712564387076996,0.052474105750257224,-0.06330048318907973,-0.05660783414705952,0.04041486253024986,-0.14592613578893335,0.1310291938440041,-0.11585926090667524
L-F-FeTi_x,0.8066857932311599,0.23619928494783515,0.1020736683917361,1.0,0.5557868309073762,-0.26748656435507473,0.8756195077973676,0.21338148607481813,-0.17978701285521193,0.34642493945582775,-0.09850677850252089,-0.02075288427315036,0.9046559794667359,0.2183503663938439,-0.13733705690900025,0.15771130732465521,0.42702873641696376,-0.20744250100614267,-0.14240434640314895,0.21832478274281905,-0.14991655739454474,-0.2951705617222713,0.28526349876462453,-0.2904518340805857,0.13452930748987288,0.25118197653141333,0.16552479503188358,-0.2627678767433966,0.23877688368965339,-0.284281969571021,0.10517080341335235,0.40773862522457416,-0.22720357088594523,0.028169904190393634,0.4196449009991371,-0.22331684788684514,0.14812682688973866,0.37508985486499397,-0.2431021493874044,0.2672962914531355,0.07796629665379395,-0.2005130171298874,0.11626348187023124,0.3843521222192813,-0.18499393396095248,0.1919540167727146,0.19604551076370322,-0.20255777506508343,-0.22267436390818968,-0.0059734117393267835,-0.06660985084105102,0.35278233621535865,0.09398657244125014,0.07957852902917754,0.1979910944897374,0.0252040721410903,-0.055441085423016824,0.2130692627355973,-0.006279698498949516,-0.005446264390461126,0.24416550264883058,0.16161386171270295,0.19420923626803918,0.24593318595633165,-0.002830048054701725,-0.05430188489353596,0.042279595860910964,0.050012697923105406,-0.05317498893314568,-0.2817104959066497,-0.3347168137891334,-0.23006806715918052,-0.18236742819718058,-0.24912052401463974,-0.13111404778399993,0.20307331556063235,-0.02429445513784905,-0.028399589259367898,-0.1988218617691061,-0.2502334215484397,-0.2220175224543176,0.3249602730295783,0.03817252052634641,0.13455569600317302,0.11141240317510116,-0.05590540547719943,-0.02833509613895897,0.18143148762026248,-0.07671818091140026,0.11898784565228385,0.15259981320408264,0.16988064274105455,-0.2674877721268521,0.18680407052679396,-0.09662005625567319,0.016318381618132635,-0.263809569719338,-0.17271465600442382,0.007756602819488967
L-F-FeTi_y,0.29993614101686533,0.8183482480292655,-0.6100744724719642,0.5557868309073762,1.0,-0.5821690207207679,0.391449804316059,0.6695194519065923,-0.4719419586823225,0.102867965384015,0.1698265435107471,-0.010893530594305529,0.3978328444968104,0.7308823589182569,-0.5252091072926206,-0.07775320433967936,0.37166748700075,-0.3198380305988311,-0.2597742677942679,0.1376461668097517,-0.18826818869901946,-0.29750182642507395,0.2182276223998046,-0.31585023972910314,0.1216237128276207,0.08061683302745798,0.10966743084264745,-0.2806450295771836,0.20031557855709534,-0.3136536215273353,-0.15766473782350457,0.4248648334380216,-0.37936437857784183,-0.1471035482117662,0.3895495701634619,-0.06520300529015792,0.012697101782861495,0.37780998604087285,-0.1441000114616193,-0.08451179459380356,0.2875780849572074,-0.05944312829628078,0.004294930984803027,0.38275539040233636,-0.07096981712769927,-0.08720309057612782,0.26659068383046414,0.20576414201518134,0.09332767351186828,-0.25280673391587527,0.1377402979980345,0.25684157576162076,0.18529788237891048,-0.2045007741827675,0.17228016417976322,0.12456131108204734,-0.1401498347083108,0.14947065105902926,0.07509260281908077,-0.10571841760757576,0.13912256245139323,0.33182492895166105,0.11286138077486248,0.18012573021382197,0.07800067283040525,-0.14496217178755028,-0.06490762136715132,0.027953499131968106,-0.17112990330679517,-0.20063217536427166,-0.2858875205152794,-0.27460552012370293,-0.1320701799735053,-0.18520654796569508,-0.26692498424304023,-0.01600096886566654,-0.19204288749555748,-0.13046986826547968,-0.15030057084629395,-0.1906640514221415,-0.30631102136644434,0.09706129859781154,-0.020798052983034127,0.030558157847441928,0.09315804763161092,0.004851655639205041,-0.07228552922493267,0.13336118660424778,-0.022995692613902403,-0.058752155115720996,-0.037834188341355074,0.19008979540031345,-0.24771245184569862,0.1257127396506696,-0.02214869837108763,-0.07371627581279111,0.00961910838971055,-0.18953715188086512,0.0803410635711243
L-F-FeTi_z,-0.12088822620490777,-0.7069531024832851,0.5498256102545669,-0.26748656435507473,-0.5821690207207679,1.0,-0.01658036422749667,-0.4484105256807068,0.8792826482151436,-0.3488304343286454,0.10951757490221403,-0.1385153209407045,-0.058771713316558866,-0.5734737515097299,0.9518008989177807,-0.17266521360501275,-0.32569529645718115,0.041208991887792874,0.02813939797441628,-0.13144745210311706,0.12099018692880645,0.11377645173537179,-0.10555659751229145,0.07839479038641765,-0.011923593082442325,-0.19266142345164516,0.0016142127079198023,0.08585051870343605,-0.1441779814152127,0.14229118003621052,-0.07108841117478346,-0.38442398270840655,0.07786653495506643,-0.12173506686703639,-0.24131363961383015,0.1404232605723015,-0.0936027831882983,-0.21518123074640513,0.11556806148963888,-0.24574154425011233,-0.1919334277362429,0.19996131561037836,-0.09684006411963922,-0.2362756485277926,0.08504179782734954,-0.27094188371324096,-0.23973375312139686,0.0702527883888852,0.058615421253552236,0.027253162012635,0.1072150608862974,-0.3164575246463051,-0.15834371448971193,0.07155799819374548,-0.20914328516611244,-0.07985967747049885,0.281121328434232,-0.16057735059201664,0.0025557123960453614,0.26497741249491996,-0.18610384349746784,-0.162743387083757,-0.06057878040019918,-0.20877019003551886,-0.023560177450945605,0.27010820685558773,-0.033909823744282315,-0.12740380760513761,-0.0003049950435224073,0.0735780372259427,0.1292427760761343,0.18684217057825606,0.04422760885149717,0.14073712063113034,0.02624882503686195,-0.09574171584688407,-0.053758205759861455,-0.10847069306208139,0.06065545001308455,0.11620931208704074,0.15914231137355744,-0.2584527905374361,-0.16408862123548157,-0.21106285084614634,-0.05356547052693988,0.038836355879514166,0.09075639639993721,-0.05146707266419293,0.08812792711420825,-0.023497588175240846,-0.07803182802563534,-0.16685551844547694,0.23767952034322237,-0.06814525523941385,0.07032545665449758,0.047015641351707306,0.31752935342296934,0.13639948902405905,0.17322870949296243
L-F-TaG_x,0.8392907065900477,0.0738921638951867,0.23970900799218225,0.8756195077973676,0.391449804316059,-0.01658036422749667,1.0,0.08315037806977371,0.033535136967384624,0.26865291472548475,-0.009801388012674673,0.016349199387668774,0.977609043372463,0.03804611242984604,0.12412675655655211,0.07066652419900321,0.33770744046851187,-0.21432662521644338,-0.1597449784440077,0.19274205713230733,-0.10259419821152797,-0.24142407632444257,0.2676469701428902,-0.2656515734370321,0.12160280337389263,0.15652266517377642,0.1703601325479026,-0.20897976252185,0.22796809439527038,-0.23504285757659032,0.09718954906077314,0.30014392223988706,-0.2606050135757346,-0.03452940172223845,0.3436916901279222,-0.18228190805074443,0.0869717227821955,0.3269988416887375,-0.22491307335901256,0.186373487138768,0.03278630591548988,-0.21470157887219038,0.05974389408200066,0.3315821918334248,-0.16954042260876906,0.058174796041133806,0.09699130900538265,-0.1363153990664288,-0.13324889390908823,-0.07753118188067257,0.03499235066536305,0.2758177228837399,0.09709286703989335,0.03649618115257771,0.14759282705727472,0.03024768152320838,-0.002083887602813144,0.14109782839842072,0.03646892639190194,0.05293023446050986,0.20027944521666696,0.1613433290101302,0.17496692100587274,0.16691294260709674,0.0299782407784097,0.00633979121493804,0.04799343330776216,0.02514619087713356,-0.08543411558840014,-0.2326130107221756,-0.2899716232345309,-0.19693989418019153,-0.15285607270379561,-0.18943391546095795,-0.13787134859990027,0.1601357975662124,-0.09516762326094648,-0.03406548004437438,-0.17025915050174784,-0.19463528108078204,-0.1976225998480592,0.2704797169497938,0.013595975923551242,0.05699688682044652,0.11246464017088169,-0.017201520439382445,0.003030744404935087,0.17172438285800873,-0.019779603164593745,0.10924085845407751,0.10554959729356397,0.1747845242186209,-0.22715740498290007,0.16730400916253457,-0.03958761733919518,0.03186856451479025,-0.12075766045477913,-0.12982604712879,0.10080770817573015
L-F-TaG_y,0.1058624034341697,0.71498473055226,-0.6672427872174046,0.21338148607481813,0.6695194519065923,-0.4484105256807068,0.08315037806977371,1.0,-0.22318494470658098,-0.05872832688429856,0.08250770542550946,-0.13460585553210155,0.061620772299701095,0.9713354124932041,-0.39232700612276933,-0.13393545248880662,0.27640177773109414,-0.3027548297875227,-0.19953315351492767,0.07399653906945698,-0.1150764852203142,-0.23638646623599066,0.2040966382907489,-0.30429146603682045,-0.009765395802244583,-0.038576593010788876,0.038945622204153096,-0.22414124765519966,0.1712082829882747,-0.2594916077596242,-0.16699861834843188,0.2692731713741011,-0.3335032571980408,-0.19228273056822703,0.3599789225294625,0.01494599945731405,-0.041547655394610125,0.37670425433823257,-0.057637204083937986,-0.19391077414281097,0.11860598919782173,0.04182248696965985,-0.04529538227735548,0.36945439825509285,-0.007325882052140433,-0.16225164155464328,0.2415239767431399,0.09765175534533711,0.03919805090245326,-0.15737501319625458,0.08444387437448933,0.16344909055214227,0.12777366136778434,-0.18294637035594644,0.10217976592034266,0.09734229470249937,-0.03547631928925906,0.0888529717808753,0.11604605317071501,-0.027583309909884612,-0.052214632690544535,0.13226097260007352,0.14695657621457522,0.11905000397481298,0.10309587023137944,-0.058932580977157374,-0.12640510988256617,0.05228794353419084,-0.22010990746277115,-0.21142566024812207,-0.24529130335687985,-0.25226302550458496,-0.10506914444824812,-0.08880188546640455,-0.3341908400494859,-0.1457643563439492,-0.24241342571382965,-0.1576902045537933,-0.13327229420499476,-0.13710880972243614,-0.3021787301497725,-0.09571796152073729,-0.12826688657972124,-0.004092317521562937,-0.01960509728794509,-0.020836964814334096,-0.015347564605917623,0.07008877131672447,-0.031030713677815815,-0.043248287960356624,-0.17440102576234162,0.05851731335944901,-0.09760117200382253,0.05487794388798867,-0.03692269791784327,-0.022029093408936183,0.08968801771912616,-0.21698033223783642,0.08642390869380906
L-F-TaG_z,-0.013063233524343227,-0.5508434766613668,0.48582063797665737,-0.17978701285521193,-0.4719419586823225,0.8792826482151436,0.033535136967384624,-0.22318494470658098,1.0,-0.3124144465371032,-0.007583366904220742,-0.19763750778895856,-9.872884936169371e-05,-0.3606089868691628,0.9464175673601667,-0.1738823771383153,-0.2046768210572296,0.05375735951422195,0.004873005421136576,-0.05628072738608968,0.11881010327355225,0.07291018927322933,-0.012952563254951045,0.05529746009867277,-0.04651433064812419,-0.12541692098482507,-0.02282676054153905,0.05726217202106786,-0.04465712774031523,0.11583468611735627,-0.08475615738063752,-0.27948317508444376,0.0728869691806781,-0.0835872858597982,-0.12405107991424147,0.10161022895228362,-0.06649460302795474,-0.08992898049372623,0.12099360639206225,-0.2409865559218973,-0.1777179161115769,0.22747711049184505,-0.07648977659426591,-0.10656121856424335,0.07243440794120778,-0.18769156010452775,-0.17026808192115817,-0.03470640268544473,-0.029398872248346353,0.08590526176008684,-0.015267878402144452,-0.28337836905254216,-0.06820993511032389,0.01572527575376871,-0.22671968904785714,-0.007043431836300939,0.21432372431523458,-0.20393280332145403,0.0769084583601234,0.21676194304603646,-0.2479285540286028,-0.23607391681503845,-0.03804144784202548,-0.22969931570061647,0.046775447264685716,0.21283986548273698,-0.10084774442090032,-0.08548998924028653,0.02002578968373006,-0.019462303274481375,0.07037502816015055,0.10839085743108569,-0.03014361433915414,0.14117753117185344,-0.024895546716175034,-0.15187622409167037,-0.03731477746289229,-0.09353844868679781,-0.029479154331469946,0.10995745624455733,0.08822234703881983,-0.27091120784627004,-0.14460866454770893,-0.13720563570864178,-0.10309235640562817,0.02034505850247214,0.07828225110510292,-0.09040581423010224,0.07060519451331054,-0.010504154283920115,-0.1677497739662458,-0.18225882101903806,0.24617989039259525,-0.1088638597652608,0.05282666163690368,0.05466646027939831,0.2180923077999152,0.07848041278527071,0.09390798876218495
L-F-ThC_x,0.42453699406578876,0.14980106897394369,0.0005164286471018333,0.34642493945582775,0.102867965384015,-0.3488304343286454,0.26865291472548475,-0.05872832688429856,-0.3124144465371032,1.0,-0.19994721971826476,-0.027820717378815116,0.3054608737647581,-0.010023769893619748,-0.2551896676944385,0.5163956438125874,0.15515893857922392,0.05301702266572582,0.1503552400997909,0.12076944747902436,-0.05005793187050234,0.062198625252876935,0.009238215763512652,0.043997991631511614,0.2529032413766112,0.19633617556146418,0.10759765410521534,0.09912001999080995,0.05816365371405615,-0.017673880746665538,0.5660765011066622,0.2008538143607162,0.09269039166589393,0.3584024739709509,0.07172230946993216,-0.25533235439338015,0.2116176771564288,0.017564555955367024,-0.2097103333329561,0.8411709935603752,0.016729043921971692,-0.4734846713453211,0.20938733327976297,0.039656919611941704,-0.1870499745809992,0.4239022966568033,0.03070762798481765,-0.4352743473408468,-0.4670786839510146,-0.034412088993262493,0.009090771836370947,0.4538585683879424,0.1326493387689684,0.14394182640775882,0.26212623304853966,0.07098423327078215,-0.12010153476234618,0.1828398325074525,-0.04066023798915372,-0.1449211566815676,0.7561813175186001,0.169210759853792,0.25220695126495407,0.24423819886699094,-0.004508480839635262,-0.12003758728723408,0.4534961865730329,0.1756892699283706,0.06393687709935343,0.10381121733622185,-0.009745601331815979,0.029836382628954865,0.05880142140947223,-0.1308261293016115,0.2601249817050123,0.49949598257613564,0.19942994299897762,0.33613516355083034,0.08394086782353967,-0.07592029155143769,0.08366834542192399,0.7636317780375259,0.4232986237929983,0.1492039454371428,0.18531822885373758,0.0127936143890233,0.086482820142649,0.1701610749392317,-0.03751639778183266,0.2803737696225179,0.69710199197339,0.2747265834589159,-0.2748514300967133,0.18111768912445753,-0.010030978356544162,0.15359311791044425,-0.40959385214598343,-0.009566918055082141,0.029665472249459215
