Variable 1,Variable 2,Correlation,Type
L-M-TaG_y,L-M-TiTa_y,0.9828937189373421,XYZ-XYZ
R-F-TaG_x,R-F-TiTa_x,0.9827764264807857,XYZ-XYZ
L-F-TaG_y,L-F-TiTa_y,0.9788116187289246,XYZ-XYZ
L-H-ThC_x,R-F-ThC_x,0.9768513241479249,XYZ-XYZ
R-F-TaG_y,R-F-TiTa_y,0.9701711171841145,XYZ-XYZ
L-F-FeTi_z,L-F-TiTa_z,0.9663485361286056,XYZ-XYZ
L-F-ThC_x,R-F-ThC_x,0.9641934905659864,XYZ-XYZ
L-F-TaG_x,L-F-TiTa_x,0.9631267884360182,XYZ-XYZ
R-M-FeTi_z,R-M-TiTa_z,0.9613443283362186,XYZ-XYZ
L-M-FeTi_z,L-M-TiTa_z,0.9610216139061061,XYZ-XYZ
L-F-ThC_x,R-WH_z,0.9602436832317951,XYZ-XYZ
L-M-FeTi_y,L-M-TiTa_y,0.9601655467160716,XYZ-XYZ
R-F-FeTi_z,R-F-TiTa_z,0.9586447190619294,XYZ-XYZ
L-H-ThC_x,R-M-ThC_x,0.9564867900027523,XYZ-XYZ
R-F-ThC_x,R-M-ThC_x,0.9527719329942229,XYZ-XYZ
R-H-ThC_x,R-M-ThC_x,0.9520537251243681,XYZ-XYZ
L-M-FeTi_y,L-M-TaG_y,0.9519119117331585,XYZ-XYZ
L-F-ThC_x,L-H-ThC_x,0.9510358446072925,XYZ-XYZ
L-H-ThC_x,L-M-CTr_x,0.9478876467651468,XYZ-XYZ
L-WH_x,R-WH_x,-0.946233399348523,XYZ-XYZ
R-F-ThC_x,R-M-CTr_x,0.9457166992459132,XYZ-XYZ
L-M-TaG_x,L-M-TiTa_x,0.9453752114841678,XYZ-XYZ
R-F-ThC_x,R-WH_z,0.9432847905942084,XYZ-XYZ
L-F-TaG_z,L-F-TiTa_z,0.9429406098120527,XYZ-XYZ
R-H-ThC_x,R-WH_z,0.9424562500839846,XYZ-XYZ
L-H-ThC_x,R-M-CTr_x,0.9421594740916346,XYZ-XYZ
R-F-TaG_z,R-F-TiTa_z,0.9407589236788017,XYZ-XYZ
R-M-ThC_x,R-WH_z,0.9371966007266319,XYZ-XYZ
L-H-ThC_x,R-WH_z,0.9371031023768166,XYZ-XYZ
R-H-TaG_x,R-H-TiTa_x,0.9367477224742997,XYZ-XYZ
L-M-CTr_x,R-F-ThC_x,0.9336914031428133,XYZ-XYZ
R-M-CTr_x,R-WH_z,0.9332560670297086,XYZ-XYZ
L-M-TaG_z,L-M-TiTa_z,0.9330498551310751,XYZ-XYZ
L-H-ThC_x,R-H-ThC_x,0.9321893270632386,XYZ-XYZ
L-H-TaG_x,L-H-TiTa_x,0.9301931238577584,XYZ-XYZ
L-F-ThC_x,L-M-ThC_z,-0.9299582838329813,XYZ-XYZ
R-M-TaG_y,R-M-TiTa_y,0.9278421316930613,XYZ-XYZ
L-F-ThC_x,R-M-CTr_x,0.9275633535193142,XYZ-XYZ
R-M-CTr_x,R-M-ThC_x,0.927503270407788,XYZ-XYZ
L-M-ThC_z,R-WH_z,-0.9271845643456754,XYZ-XYZ
L-F-ThC_x,L-M-ThC_x,0.9269295420089523,XYZ-XYZ
L-H-TaG_z,L-H-TiTa_z,0.9246193305952851,XYZ-XYZ
L-F-ThC_x,R-M-ThC_x,0.9222246371884854,XYZ-XYZ
R-M-TaG_x,R-M-TiTa_x,0.9219752730095769,XYZ-XYZ
R-F-FeTi_x,R-F-TiTa_x,0.9217096848349995,XYZ-XYZ
R-F-ThC_x,R-H-ThC_x,0.9214102883495524,XYZ-XYZ
R-H-TaG_y,R-H-TiTa_y,0.9202099486411868,XYZ-XYZ
R-M-FeTi_y,R-M-TiTa_y,0.9189960459888599,XYZ-XYZ
R-H-ThC_y,R-M-ThC_y,0.9150499390639806,XYZ-XYZ
L-M-ThC_z,R-H-ThC_x,-0.9125415983235811,XYZ-XYZ
L-M-ThC_z,R-M-ThC_x,-0.9082956379147807,XYZ-XYZ
L-M-CTr_x,R-M-ThC_x,0.9072670963309593,XYZ-XYZ
L-H-TaG_y,L-H-TiTa_y,0.9072121811808345,XYZ-XYZ
R-F-FeTi_x,R-F-TaG_x,0.9051358869556396,XYZ-XYZ
L-F-ThC_x,R-H-ThC_x,0.9050849049324724,XYZ-XYZ
L-F-FeTi_x,L-F-TiTa_x,0.9012952095505486,XYZ-XYZ
L-F-ThC_x,L-H-CTr_x,0.9008425982677984,XYZ-XYZ
L-F-ThC_x,L-M-CTr_x,0.8998236673119142,XYZ-XYZ
L-H-ThC_x,L-M-ThC_x,0.8990710987275538,XYZ-XYZ
L-M-ThC_x,L-M-ThC_z,-0.8970837049558451,XYZ-XYZ
R-H-ThC_x,R-M-CTr_x,0.8970458540701736,XYZ-XYZ
L-M-ThC_z,R-F-ThC_x,-0.8969604573658438,XYZ-XYZ
L-M-CTr_x,R-M-CTr_x,0.893788007209599,XYZ-XYZ
L-F-FeTi_z,L-F-TaG_z,0.8934662119986496,XYZ-XYZ
L-H-FeTi_z,L-H-TiTa_z,0.8916955269370983,XYZ-XYZ
R-H-FeTi_z,R-H-TiTa_z,0.8905025173766492,XYZ-XYZ
L-M-ThC_x,R-F-ThC_x,0.8895807318777036,XYZ-XYZ
L-H-ThC_x,L-M-ThC_z,-0.8881165801733343,XYZ-XYZ
L-M-CTr_x,R-WH_z,0.8880039015905191,XYZ-XYZ
R-F-FeTi_z,R-F-TaG_z,0.885158509202154,XYZ-XYZ
L-H-CTr_x,R-WH_z,0.8834698451215226,XYZ-XYZ
L-M-ThC_x,R-WH_z,0.8829072156824322,XYZ-XYZ
L-H-CTr_x,R-F-ThC_x,0.8816632961129806,XYZ-XYZ
