Variable 1,Variable 2,Correlation
L-M-TaG_y,L-M-TiTa_y,0.9828937189373421
R-F-TaG_x,R-F-TiTa_x,0.9827764264807856
L-F-TaG_y,L-F-TiTa_y,0.9788116187289246
L-H-ThC_x,R-F-ThC_x,0.9768513241479249
R-F-TaG_y,R-F-TiTa_y,0.9701711171841144
L-F-FeTi_z,L-F-TiTa_z,0.9663485361286056
L-F-ThC_x,R-F-ThC_x,0.9641934905659864
L-F-TaG_x,L-F-TiTa_x,0.9631267884360182
R-M-FeTi_z,R-M-TiTa_z,0.9613443283362186
L-M-FeTi_z,L-M-TiTa_z,0.961021613906106
L-F-ThC_x,R-WH_z,0.960243683231795
L-M-FeTi_y,L-M-TiTa_y,0.9601655467160716
R-F-FeTi_z,R-F-TiTa_z,0.9586447190619295
L-H-ThC_x,R-M-ThC_x,0.9564867900027524
R-F-ThC_x,R-M-ThC_x,0.952771932994223
R-H-ThC_x,R-M-ThC_x,0.9520537251243681
L-M-FeTi_y,L-M-TaG_y,0.9519119117331586
L-F-ThC_x,L-H-ThC_x,0.9510358446072925
L-H-ThC_x,L-M-CTr_x,0.9478876467651467
L-WH_x,R-WH_x,-0.946233399348523
R-F-ThC_x,R-M-CTr_x,0.9457166992459133
L-M-TaG_x,L-M-TiTa_x,0.9453752114841678
R-F-ThC_x,R-WH_z,0.9432847905942084
L-F-TaG_z,L-F-TiTa_z,0.9429406098120527
R-H-ThC_x,R-WH_z,0.9424562500839846
L-H-ThC_x,R-M-CTr_x,0.9421594740916346
R-F-TaG_z,R-F-TiTa_z,0.9407589236788017
R-M-ThC_x,R-WH_z,0.9371966007266319
L-H-ThC_x,R-WH_z,0.9371031023768167
R-H-TaG_x,R-H-TiTa_x,0.9367477224742997
L-M-CTr_x,R-F-ThC_x,0.9336914031428133
R-M-CTr_x,R-WH_z,0.9332560670297088
L-M-TaG_z,L-M-TiTa_z,0.9330498551310752
L-H-ThC_x,R-H-ThC_x,0.9321893270632386
L-H-TaG_x,L-H-TiTa_x,0.9301931238577584
L-F-ThC_x,L-M-ThC_z,-0.9299582838329813
R-M-TaG_y,R-M-TiTa_y,0.9278421316930613
L-F-ThC_x,R-M-CTr_x,0.9275633535193141
R-M-CTr_x,R-M-ThC_x,0.927503270407788
L-M-ThC_z,R-WH_z,-0.9271845643456754
L-F-ThC_x,L-M-ThC_x,0.9269295420089523
L-H-TaG_z,L-H-TiTa_z,0.9246193305952851
L-F-ThC_x,R-M-ThC_x,0.9222246371884854
R-M-TaG_x,R-M-TiTa_x,0.9219752730095768
R-F-FeTi_x,R-F-TiTa_x,0.9217096848349995
R-F-ThC_x,R-H-ThC_x,0.9214102883495524
R-H-TaG_y,R-H-TiTa_y,0.9202099486411868
R-M-FeTi_y,R-M-TiTa_y,0.9189960459888599
R-H-ThC_y,R-M-ThC_y,0.9150499390639806
L-M-ThC_z,R-H-ThC_x,-0.9125415983235811
L-M-ThC_z,R-M-ThC_x,-0.9082956379147807
L-M-CTr_x,R-M-ThC_x,0.9072670963309593
L-H-TaG_y,L-H-TiTa_y,0.9072121811808345
R-F-FeTi_x,R-F-TaG_x,0.9051358869556397
L-F-ThC_x,R-H-ThC_x,0.9050849049324724
