,L-F-CTr_x,L-F-CTr_y,L-F-CTr_z,L-F-FeTi_x,L-F-FeTi_y,L-F-FeTi_z,L-F-TaG_x,L-F-TaG_y,L-F-TaG_z,L-F-ThC_x,L-F-ThC_y,L-F-ThC_z,L-F-TiTa_x,L-F-TiTa_y,L-F-TiTa_z,L-H-CTr_x,L-H-CTr_y,L-H-CTr_z,L-H-FeTi_x,L-H-FeTi_y,L-H-FeTi_z,L-H-TaG_x,L-H-TaG_y,L-H-TaG_z,L-H-ThC_x,L-H-ThC_y,L-H-ThC_z,L-H-TiTa_x,L-H-TiTa_y,L-H-TiTa_z,L-M-CTr_x,L-M-CTr_y,L-M-CTr_z,L-M-FeTi_x,L-M-FeTi_y,L-M-FeTi_z,L-M-TaG_x,L-M-TaG_y,L-M-TaG_z,L-M-ThC_x,L-M-ThC_y,L-M-ThC_z,L-M-TiTa_x,L-M-TiTa_y,L-M-TiTa_z,L-WH_x,L-WH_y,L-WH_z,Notum_x,Notum_y,Notum_z,R-F-CTr_x,R-F-CTr_y,R-F-CTr_z,R-F-FeTi_x,R-F-FeTi_y,R-F-FeTi_z,R-F-TaG_x,R-F-TaG_y,R-F-TaG_z,R-F-ThC_x,R-F-ThC_y,R-F-ThC_z,R-F-TiTa_x,R-F-TiTa_y,R-F-TiTa_z,R-H-CTr_x,R-H-CTr_y,R-H-CTr_z,R-H-FeTi_x,R-H-FeTi_y,R-H-FeTi_z,R-H-TaG_x,R-H-TaG_y,R-H-TaG_z,R-H-ThC_x,R-H-ThC_y,R-H-ThC_z,R-H-TiTa_x,R-H-TiTa_y,R-H-TiTa_z,R-M-CTr_x,R-M-CTr_y,R-M-CTr_z,R-M-FeTi_x,R-M-FeTi_y,R-M-FeTi_z,R-M-TaG_x,R-M-TaG_y,R-M-TaG_z,R-M-ThC_x,R-M-ThC_y,R-M-ThC_z,R-M-TiTa_x,R-M-TiTa_y,R-M-TiTa_z,R-WH_x,R-WH_y,R-WH_z
L-F-CTr_x,1.0,0.23166624220567325,-0.1608177938043205,0.7195742395938987,0.3884679423786646,-0.20168253842834555,0.7686514312773486,0.23614807065327537,-0.23659426657162366,0.6981198948632129,0.32814603496285194,-0.18206715694352227,0.8112858954108005,0.24187828232424913,-0.16666034692704274,0.600044157728027,0.11142989680547823,-0.2003149579964047,-0.01828995406886358,-0.039436136108270056,-0.17194283490063336,0.13229144747483598,-0.020576972319018547,-0.1539786411728112,0.6596552456205382,0.31181899024699516,0.21350807514246878,0.15241309023764438,-0.050267823702647256,-0.13178268656080125,0.6497802474958564,0.3289100166507246,-0.3989678522190252,0.008059572558513207,-0.009491473642443687,-0.3425555304329707,0.42070663325324037,0.001292457904458775,-0.4592505861802438,0.6773220280409571,0.24142530222691813,-0.6844284946166754,0.37558252301633155,0.029927302251964775,-0.37874657332742107,0.01931130746918848,0.14240367191887918,-0.46397490942985914,-0.5556324341632795,-0.5807171001192944,0.5100974264089942,0.592226263320274,0.11068846158971704,0.1401669983051342,0.47617834598007364,-0.010839485147105712,0.18947740575682198,0.42070306179257694,-0.04959975600805418,0.13795282451322827,0.676516434406611,0.5877069529337001,0.43683176745038815,0.43541966753692524,-0.057582743928771815,0.10594534215798147,0.5907688182852245,0.02295843318435264,-0.04628675763963849,-0.005322544474078869,-0.2884224345422437,0.17190855530805516,-0.028300558874483413,-0.2526820822225822,0.3535271169100765,0.6592557803549687,0.5262804948310078,0.2527081786949035,-0.03393635968276188,-0.23280884882045808,0.2284770194548395,0.6380739583285273,0.3134794452510502,-0.19708422989295857,0.13510580645277373,-0.2042990131215583,0.19120272363214594,0.3622701226820819,-0.17869771631302275,0.4284736122912807,0.6341190132840193,0.5239184710703857,-0.0009500954889514255,0.2888805629895286,-0.15483613339609145,0.1808258326490275,-0.02901618712624772,0.004236588474821725,0.6619145506630697
L-F-CTr_y,0.23166624220567325,1.0,-0.8633348820182509,0.2890686552810071,0.845002400627133,-0.6437876742498314,0.3047092529560839,0.7342958868958549,-0.5111715725774342,0.19877918293032074,0.4054216145105429,-0.012206200789780512,0.22542786265129827,0.8072724688216922,-0.6028633851623253,0.2323584376828257,0.2413209410080829,-0.26861232458889667,0.16663234608350758,-0.18315183977938865,-0.29461609995063104,0.2121036744074073,-0.08226736411240756,-0.2256194831584102,0.1821808724416221,0.3272320867452118,-0.0015854380484958534,0.22422517882339502,-0.12133087700240823,-0.2537399157785432,0.20805401555721056,0.4017179279869376,-0.2980174433068621,-0.0569675594561289,-0.024664546490174938,-0.2155052361557348,0.1721997943048008,-0.006558540169042077,-0.32588165752506904,0.23604007967054583,0.37409325597510007,-0.20885313003949116,0.12482101416391911,0.001819187518949623,-0.24163794460623786,0.15722931858019015,-0.012461211466620256,-0.029156910814494348,-0.23550987824003825,-0.2620658979858812,0.27980582580683055,0.18600377454666528,0.33048532014112747,-0.1127594065204218,0.11043594761162441,0.21666451016920915,-0.06451563820209207,0.03605556735866662,0.09967719453850024,-0.03392521417657964,0.1972048636727155,0.34028860749791073,0.13480141042441288,0.047623108433485266,0.13232886899114213,-0.04707640500935344,0.22994312713458812,0.2624659804778801,-0.1632185985272492,0.10296335938754134,-0.03494899829073384,-0.04759981067882641,0.14933609681465038,0.0282875742913316,0.023552351648782686,0.17373829083130463,0.34873443704771573,0.044188432401923355,0.13445212647517657,0.036307521276389344,-0.09190228204495964,0.1973283417651538,0.3688957472586443,-0.08165363405695762,0.09125923764178975,0.06799242800050935,0.14156265528157672,0.180548763556282,0.11539524315996467,0.22240569936090993,0.14163731624915935,0.3473507494408354,-0.013044722873414407,0.12994751723992337,0.13600117545475215,0.15215366447670955,-0.1690586145395279,-0.06075690319343993,0.2058901032303492
L-F-CTr_z,-0.1608177938043205,-0.8633348820182509,1.0,-0.28106681143165446,-0.7717591297694086,0.49900512146541115,-0.2309016739788899,-0.7541236318810534,0.37038282099384884,-0.319649871996997,-0.07738208139250043,0.24630887854967087,-0.19096653194909635,-0.7895315424810142,0.49633990742007483,-0.3527085152423589,-0.08567340634026266,0.2282914350883661,-0.15347436294461708,0.21924285678565558,0.33837381359108565,-0.23039967651474189,0.05253477733104999,0.3555737243563643,-0.35262637653991624,0.01285240895797661,0.05037156468854621,-0.2306753220557597,0.11373503652992416,0.33650113078556154,-0.3954524021635036,-0.06306385522573214,0.17993721335288984,0.06548011393682834,0.04093320787775701,0.14739692351608513,-0.15980706047041168,0.015358906121844412,0.2789736374327743,-0.3179023357771985,-0.014023388655941552,0.2885688019881132,-0.13317503953106638,0.01520265524197436,0.19296121831054255,0.14903617226180224,-0.006206257456531227,0.31125835407670954,0.33009302106308047,0.2894119592450799,-0.19763065771282812,-0.2639636965253887,-0.2754975035245014,0.19833771855618143,-0.15068158611973725,-0.2141078604466473,-0.05149270232678004,-0.07640508989330033,-0.2112875216833129,-0.10284222215395386,-0.3423827522151432,-0.154394694176485,-0.25687739837484386,-0.0923796934253808,-0.1966034963256166,-0.06087146644582107,-0.24867375945507234,-0.26445868191869504,0.29262160371249046,-0.17192654356206824,0.08488618280603706,0.11136716138910151,-0.20046982740200617,-0.04890426066398399,0.13324840666955257,-0.2942315234652903,-0.16195479978114533,-0.12672827812121165,-0.20173782450185657,-0.037489199855224496,0.19256335544571287,-0.3284547950987324,-0.16654171691980096,0.16611517171710777,-0.15448442853851466,-0.0852933282276898,-0.11340139448508751,-0.2489463746280543,-0.15727345404624776,-0.17341584461037077,-0.3148464871768483,-0.18995233494859265,-0.10728492735759235,-0.19922102347241902,-0.16909751487501304,-0.10302151474556642,-0.13683898881616674,0.08496284785324264,-0.31963562856035427
L-F-FeTi_x,0.7195742395938987,0.2890686552810071,-0.28106681143165446,1.0,0.6063162689066819,-0.032536817414295684,0.8529251029132743,0.5361040372359895,-0.023330227783302782,0.43457828540822113,0.04287700619265796,-0.10538717741983376,0.9012952095505485,0.5072144161012037,-0.009532679809436494,0.36745548575750675,0.0818173226200827,-0.05061202908469066,-0.011426099044452274,0.033928283249902616,-0.08833462094765407,0.00272739589180787,0.06325328957291618,-0.14504212843697104,0.4091184207605023,0.13160952070573592,0.2725216344707962,0.032491265084383124,0.013861773463332392,-0.10132385278875862,0.445485397942958,0.14483734777883245,-0.1790519207645337,-0.016741915038198628,0.12338941778089604,-0.11120639796925433,0.19583528602344602,0.119865032959445,-0.22825179932056533,0.37901940011546714,0.019511899405941707,-0.39710834066903544,0.2011836278375049,0.12668454790222164,-0.14545921712243265,-0.019022646534107956,0.15031166888037037,-0.3731832028110117,-0.3334642476967257,-0.26057796706501135,0.1324823319712641,0.3282855335095478,-0.034566195523597486,0.15863637812870648,0.22693189881144804,-0.07819148713077514,0.29500147193968157,0.20089254995624073,-0.04395242504866816,0.2818631862820138,0.4194224592012947,0.233693981143451,0.21915028909869433,0.21368876894387642,-0.0761818078594819,0.2578000751451794,0.2771754460800452,-0.04201759420660416,-0.08903542794803218,-0.15759622782161178,-0.222675007295114,0.14079969615060187,-0.11810921372301945,-0.15447587478577443,0.1266217053375039,0.37472038016363407,0.21700635554660327,-0.0009688280301850004,-0.12889065394941124,-0.15375704399181692,0.13404120454945842,0.37832029514736204,0.07006376698175414,-0.19549753223840294,-0.0454967500532273,-0.12868172033413774,0.1510562135702489,0.17217312933755535,-0.10200347488978752,0.28033402352716613,0.3827728836979795,0.22441799801414666,-0.13677937023339237,0.11107439287028023,-0.1135577565393114,0.15756949552622804,0.008488927460163173,-0.05134703598038426,0.3930813484210905
L-F-FeTi_y,0.3884679423786646,0.845002400627133,-0.7717591297694086,0.6063162689066819,1.0,-0.4923816835208848,0.537871337556101,0.8187570307030402,-0.3915770101504595,0.2537189923587248,0.2545086817466391,-0.027779597102704966,0.4950702016093783,0.8732222635307002,-0.46588425306756615,0.2658661749487075,0.1813064532676758,-0.19623649465845872,0.12759628361289094,-0.10632441557879667,-0.23741987659437902,0.13095549558998854,-0.01236330584411325,-0.23901357062757594,0.2509324242467773,0.21599340978468362,0.1126869034874194,0.15330243658415282,-0.06683442560147482,-0.23025993034275063,0.2911227725651797,0.284087840475843,-0.22852742980106122,-0.0291143991060774,0.01942637215276656,-0.14219109343961997,0.17535166977216116,0.028224046547350678,-0.27446906042415536,0.2581353263958447,0.21997757874415413,-0.2262371840252974,0.15485691796578357,0.03134644130344139,-0.179108731747618,0.06648041383835422,0.0574253614659633,-0.14071472902750473,-0.24043174632571096,-0.2590158148195002,0.18901738586794295,0.22773792054509467,0.16626816269510516,-0.01147092481092354,0.14244423135684642,0.09186499837276771,0.11488168592928612,0.0768664197245531,0.06339857542234682,0.14322775873816593,0.2607378134665901,0.25632484025376157,0.15403265637214772,0.09086748105267417,0.060606717217572464,0.12306624566767332,0.21062104835581266,0.154739729066182,-0.1794841956367645,0.0029483275386540547,-0.11359314864821661,-0.01311580651071881,0.06111176210768566,-0.021734059982537746,-0.010459661168816815,0.20901985511645182,0.235335470285604,-0.02145586427373681,0.04888996302824716,-0.027784656452229585,-0.06613402914846782,0.24272368439667522,0.22195013325605065,-0.1342262230122439,0.024797112699869867,0.017357565743462637,0.1593170863624436,0.17118390152840732,0.07138589168129948,0.23649030975228166,0.20519024330629304,0.24255587537493303,-0.08814641430690649,0.11365679465894214,0.06824773210472554,0.16835752906022874,-0.08928087551909394,-0.09040652666447588,0.23609202952177513
L-F-FeTi_z,-0.20168253842834555,-0.6437876742498314,0.49900512146541115,-0.032536817414295684,-0.4923816835208848,1.0,-0.11924146162014959,-0.24730611857869755,0.8934662119986497,-0.292100133172507,-0.4150534233845351,0.02854235949170196,-0.048939535045289535,-0.3600875239036686,0.9663485361286056,-0.30573873912154936,-0.2161457349470472,0.26175522558052716,-0.16836378022247575,0.19441094588232474,0.25935614684013825,-0.26097729138508546,0.15685951000437193,0.11145583030079134,-0.254803410705912,-0.36491511133267374,0.05634823832146065,-0.26485117507263994,0.14706726477269863,0.17756768963598343,-0.21480958198072767,-0.4140649531974797,0.2940629602542746,0.06942687362594761,0.1802528303224915,0.37547296611772946,-0.24117269695300533,0.1501897610206846,0.4190952954752292,-0.29136428441371026,-0.4825495693137203,0.3094202980602615,-0.1626071465792086,0.14103707868101029,0.39769634124381054,-0.20031100654320838,-0.04815615803568416,0.03233189884141315,0.3177128771446512,0.3268400048760112,-0.4699651356115697,-0.22058975170780715,-0.31132382970297173,0.029214949969865005,-0.18028196655191603,-0.2092823420339021,0.2928200500305335,-0.12406743389828633,-0.04783915462014573,0.2684831669820395,-0.2975095304611096,-0.5008733270613623,-0.1392253194369799,-0.13034878957975618,-0.11642929468518066,0.2874986938360057,-0.3538954280791851,-0.348976252817048,0.13244965993849184,-0.23472023942081355,0.012239621805588925,0.05011913196897865,-0.2307303048797965,0.02959330673878871,-0.17328412392357748,-0.3283910877187643,-0.475339135994114,-0.18893893462261002,-0.2244487862780006,0.00177034697802168,0.020585286966307507,-0.30413459928764913,-0.5263245561910986,0.08853673634111611,-0.24909659827516245,-0.09051958184736848,-0.016117876374323294,-0.20496632112086186,-0.06582776223776338,-0.15533979164577588,-0.2531725494437222,-0.51601017884088,-0.12899859511888226,-0.18201629962036872,-0.13086054318970022,-0.026884275806599002,0.21034202643564742,0.013287082868540297,-0.3463451693352867
L-F-TaG_x,0.7686514312773486,0.3047092529560839,-0.2309016739788899,0.8529251029132743,0.537871337556101,-0.11924146162014959,1.0,0.4245711059138409,-0.15334549451064944,0.44915564332072666,0.18228850710202696,-0.06267290403424403,0.9631267884360182,0.39682057759147205,-0.06665378575268073,0.37962134161410527,0.16769087558323628,-0.09473123933630757,0.004354264316509738,0.02672634299852174,-0.13214481753205576,0.04122995862186441,0.09071596616529336,-0.15755786823812015,0.40946548386747283,0.2794123623531819,0.29727972979523715,0.07921744382769468,0.045398016432684915,-0.13599289556054817,0.4191826498575853,0.2609626266972998,-0.25232631524196714,-0.02277121033711627,0.08210950254462351,-0.20149247279153185,0.28212381946917586,0.1031228512686184,-0.31535432461435653,0.3814234396929909,0.17197570166267273,-0.4396361791368182,0.25799371550317807,0.11603658885984909,-0.22394379578349183,0.06568483542050826,0.1545041834382387,-0.30662063909341936,-0.4082880777734295,-0.32895217230559126,0.2837759369689835,0.3529223349634082,0.054266977840763606,0.1423844642306548,0.29699875244683144,-0.06491021749239848,0.23088732145698437,0.23324017343536668,-0.05518083730135961,0.23780934512822835,0.4426293692398384,0.36563924336327475,0.23576711468055128,0.24275915047792546,-0.07268131236366514,0.20967783746582097,0.3119887256077174,0.032340096596558565,-0.11402201561258263,-0.131399848612739,-0.21699110399779056,0.10762787462821953,-0.11199004012457656,-0.16167639997034206,0.18436686159677368,0.41546630341635143,0.3552606649512417,-0.0018219888259990767,-0.1253093616728255,-0.1414318627810572,0.11750594951225864,0.405560775383082,0.22711587894856808,-0.2111539311677636,-0.04553770534144159,-0.12769893000442448,0.17516948935033075,0.1846214819221867,-0.09095771322810829,0.3412761256231577,0.4021129973391101,0.36608556053439417,-0.17447976069533783,0.10932161316996417,-0.09083829519433347,0.19425020274078383,-0.07839198788296048,-0.06128700418412502,0.43331251376563107
L-F-TaG_y,0.23614807065327537,0.7342958868958549,-0.7541236318810534,0.5361040372359895,0.8187570307030402,-0.24730611857869755,0.4245711059138409,1.0,-0.05357057177085866,0.07801810738748097,-0.029307089761944446,-0.08141564867461422,0.3850688532682538,0.9788116187289246,-0.21034689300028317,0.09504165086542436,0.10444586091581902,-0.12118948128636992,0.03508369096119033,-0.02597084950362718,-0.15834491212875276,0.008866749038513581,0.06320089142553431,-0.2318199769351579,0.10792255828877272,-0.04619242720759408,0.047736740909883085,0.02576188588809891,0.003745034392691199,-0.19684364695980627,0.17693173529517947,0.04641008682184204,-0.08408389340807822,-0.09991530294988936,0.11435716126405492,0.0061438597463925404,0.008600802834400035,0.1277632992167979,-0.10115169086214529,0.065233032597255,-0.06461130156522332,-0.044504120631596054,0.022072658947899605,0.119480738832872,-0.02791184358796649,-0.10152206230708007,0.050086467314937766,-0.1453086202827647,-0.09610473309499289,-0.04712301210276543,-0.05893654171133815,0.08254805320892653,0.038191808271986795,-0.02241111485518067,0.024705410900369765,0.018077659114671032,0.1757800740626497,-0.01240765147520907,0.06918501908970151,0.21905691258069515,0.10096550248707216,-0.042456796789865706,0.07156024789223975,0.0016892930260067485,0.037947005975487766,0.19874399476601334,0.021711635439405762,0.04005020740471786,-0.13287371857450775,-0.08455389227041063,-0.09756683802755899,-0.033772336054051735,-0.026342623840673002,0.031890109178121906,-0.1570361663613284,0.040386018913875776,-0.03619212778239127,-0.07700086688339224,-0.04362152347138609,0.011802105866593854,-0.11152758845756969,0.08027754852500868,-0.05499869816197574,-0.0592126779945368,-0.03455712708974559,0.013988377220055224,0.05548128480122272,0.06341236230164728,0.06288493098082215,0.06627697230798399,0.06992982133027134,-0.0400209534854957,-0.06288726302113495,0.04172165224800141,0.053733317236539,0.06020562351659655,0.08165861658670281,-0.09298459716512365,0.05431431311416396
L-F-TaG_z,-0.23659426657162366,-0.5111715725774342,0.37038282099384884,-0.023330227783302782,-0.3915770101504595,0.8934662119986497,-0.15334549451064944,-0.05357057177085866,1.0,-0.29542109276892464,-0.5067762927738212,-0.01858803500066202,-0.07715167154261204,-0.17723137852087395,0.9429406098120527,-0.3073791599544865,-0.2401843904350568,0.28090029882939493,-0.1910011040184313,0.18840192489821883,0.21389404164649725,-0.2433245727548879,0.17029886794462804,0.07954850172532746,-0.24540203883419864,-0.4322865678302502,0.03088757554343611,-0.25714788755636575,0.15661208998001575,0.1417380460272742,-0.20252356367540406,-0.4813403692994761,0.3076637143122205,-0.010426504772857106,0.19802655830642912,0.3529981198274392,-0.2667835057899631,0.18463102317558114,0.4120005071347683,-0.3095247936675943,-0.5668449798822344,0.32145395199672305,-0.19111689505068324,0.1710042178455346,0.3785582711987871,-0.29641081886599385,-0.036159236602501456,-0.02557628107595019,0.30652813518517436,0.3661154809108732,-0.5254240332099906,-0.2274066162425339,-0.29881467342221374,0.007176674635029438,-0.19125141744881302,-0.19623144921042646,0.28816042152845406,-0.13496790226331362,-0.028696667737098232,0.2877635096174821,-0.2907517530425429,-0.5534301339037723,-0.12979720244091586,-0.1376455013871552,-0.1026527047796735,0.2924953687092394,-0.372388483795668,-0.33957404596053165,0.12240599788951172,-0.23468387898255316,0.0030236452840446196,0.019065989796748086,-0.25818610963990946,0.05716875423183295,-0.2174141007106287,-0.3213110432040807,-0.5062022576464204,-0.1817140670821243,-0.25534214285672097,0.025449651020442637,-0.014442621367563998,-0.29666210330330994,-0.5632296875716091,0.09406136802946358,-0.2348142082208405,-0.09018536010749115,-0.06576466271244666,-0.22169337761453733,-0.06189112267203359,-0.19060028246550575,-0.2433575155919467,-0.5423793721748039,-0.07968806322888872,-0.18971107382245525,-0.1178931353675892,-0.07119051588232375,0.3104894542994537,0.02278150767515573,-0.33995187195390264
L-F-ThC_x,0.6981198948632129,0.19877918293032074,-0.319649871996997,0.43457828540822113,0.2537189923587248,-0.292100133172507,0.44915564332072666,0.07801810738748097,-0.29542109276892464,1.0,0.2541567644950231,-0.2215192197437137,0.4957961727984587,0.0880120689216315,-0.26898331052475927,0.9008425982677986,0.006975711276447338,-0.15541940767053972,0.08170528415368995,-0.1857113339418103,-0.286791854078055,0.29706168837908525,-0.07529390307134953,-0.2731191927304142,0.9510358446072925,0.2375211699849372,0.3051407750364179,0.3090487263831999,-0.11620259729714999,-0.23092716899761018,0.8998236673119142,0.14156175780016883,-0.3807337091454889,-0.03163967417029093,-0.08101732004226098,-0.40246164445325455,0.4725479738214408,-0.06902108964877991,-0.5699159790305142,0.9269295420089523,0.10276797119226849,-0.9299582838329813,0.41980791683792656,-0.04881343290487426,-0.46641612107135283,-0.07158260910209258,0.06130562725057255,-0.7889479770605672,-0.783260839503325,-0.7638453524068355,0.5419683692157086,0.7301074913703963,0.28522431796796566,0.0007923778744040397,0.5357244739443566,0.17371793848925263,0.16637249379204874,0.4748910596591519,0.14849693320609644,0.1516735177533916,0.9641934905659864,0.6609781340619938,0.6438814257808325,0.4928164629439602,0.1384252763268022,0.07282559899328833,0.7450567953247359,0.268481816059289,-0.34902824721218895,0.21899362607711031,-0.26779740204632796,0.0905177182970885,0.18371315533485497,-0.2039894799551897,0.27586257561164096,0.9050849049324724,0.6436395012566644,0.3089904110651558,0.19981894190536179,-0.19547694278875127,0.11914296931454636,0.9275633535193141,0.4519303147573685,-0.4872523988432271,0.2059839260579277,-0.11604738481455638,0.263343394349429,0.5102161205496634,-0.05437027514177619,0.5370270570307693,0.9222246371884854,0.6998734345057329,0.01762642890243786,0.3932547395632489,-0.03512204978296077,0.23915806752401478,0.08214649570532151,-0.012819555124583675,0.960243683231795
